Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Current Charges,Criminal History,Substance Abuse,Employment and Living,Personality,Criminal Attitudes,Neighbourhood,Friends and Family,Social Life,Education
501,814,40-49,High School,Female,,>100000,false,false,false,true,false,,rec,fairness first,Fair,Fair,Somewhat Fair,Very Fair,Somewhat Unfair,Neutral,Somewhat Unfair,Very Unfair,Somewhat Unfair,Very Unfair
502,575,40-49,Bachelor,Male,,25000-50000,false,true,false,false,false,,rec,properties first,Somewhat Fair,Neutral,Somewhat Unfair,Unfair,Somewhat Unfair,Somewhat Fair,Unfair,Very Unfair,Very Unfair,Very Unfair
503,809,30-39,Bachelor,Male,,<25000,false,false,false,true,false,,rec,fairness first,Very Fair,Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Unfair,Very Unfair,Unfair,Unfair,Very Unfair
504,1408,18-29,Bachelor,Female,,25000-50000,false,true,false,true,false,,rec,properties first,Very Fair,Very Fair,Very Fair,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Unfair,Fair,Unfair,Unfair
505,2306,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,rec,fairness first,Very Fair,Very Unfair,Somewhat Fair,Somewhat Fair,Very Fair,Unfair,Very Fair,Unfair,Unfair,Somewhat Fair
506,2012,50-59,Bachelor,Female,,>100000,false,false,false,true,false,,rec,fairness first,Very Fair,Very Fair,Somewhat Unfair,Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair
507,3226,30-39,Graduate,Female,,<25000,false,false,false,true,false,,rec,properties first,Very Fair,Fair,Somewhat Fair,Somewhat Fair,Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Unfair,Somewhat Unfair
508,766,30-39,High School,Male,,25000-50000,false,false,false,true,false,,rec,properties first,Very Fair,Very Fair,Very Fair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair
509,936,40-49,High School,Female,,<25000,false,false,false,true,false,,rec,fairness first,Fair,Fair,Unfair,Somewhat Unfair,Very Unfair,Unfair,Unfair,Very Unfair,Very Unfair,Very Unfair
510,2120,30-39,Bachelor,Female,,50000-75000,false,false,true,false,false,,rec,properties first,Very Fair,Very Fair,Fair,Somewhat Fair,Somewhat Fair,Very Fair,Somewhat Unfair,Very Unfair,Somewhat Unfair,Unfair
561,2535,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,rec,fairness first,Very Fair,Neutral,Somewhat Unfair,Somewhat Fair,Fair,Somewhat Fair,Neutral,Very Unfair,Very Unfair,Very Unfair
562,667,30-39,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,rec,fairness first,Very Fair,Very Fair,Very Fair,Neutral,Somewhat Unfair,Fair,Neutral,Fair,Unfair,Unfair
563,1819,60-69,High School,Female,,50000-75000,false,false,false,true,false,,rec,properties first,Very Fair,Very Fair,Somewhat Fair,Somewhat Fair,Fair,Very Fair,Very Unfair,Somewhat Unfair,Somewhat Unfair,Very Unfair
564,1364,30-39,Graduate,Male,,50000-75000,false,false,false,true,false,,rec,fairness first,Fair,Fair,Somewhat Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair
565,1746,40-49,High School,Female,,<25000,false,false,true,false,false,,rec,fairness first,Fair,Very Fair,Very Fair,Very Fair,Fair,Very Fair,Fair,Very Unfair,Neutral,Neutral
566,427,50-59,Bachelor,Male,,<25000,false,true,false,false,false,,rec,properties first,Very Fair,Fair,Unfair,Somewhat Unfair,Unfair,Fair,Neutral,Unfair,Unfair,Unfair
