Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Child Demographics,Child CPS,Child Justice,Child Welfare,Parent Demographics,Parent Welfare,Perp Demographics,Perp Welfare,All CPS,All Health
521,1063,30-39,High School,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Very Fair,Fair,Fair,Somewhat Unfair,Very Fair,Somewhat Unfair,Very Fair,Fair,Very Fair
522,1534,50-59,Associate or Diploma,Female,,>100000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Very Fair,Somewhat Fair,Somewhat Fair,Very Unfair,Somewhat Unfair,Unfair,Very Unfair,Very Fair,Very Fair
523,638,30-39,Bachelor,Female,,75000-100000,false,true,false,false,false,,cps,properties first,Neutral,Very Fair,Somewhat Unfair,Very Fair,Neutral,Neutral,Neutral,Very Fair,Very Fair,Very Fair
524,1977,50-59,Associate or Diploma,Male,,<25000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Very Fair,Very Fair,Very Fair,Unfair,Very Fair,Unfair,Very Fair,Somewhat Fair,Very Fair
525,664,40-49,Graduate,Female,,<25000,false,false,false,true,false,,cps,properties first,Very Unfair,Very Fair,Very Fair,Very Fair,Very Unfair,Very Fair,Very Unfair,Very Fair,Neutral,Neutral
526,2735,40-49,Graduate,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Fair,Fair,Neutral,Neutral,Somewhat Unfair,Neutral,Somewhat Unfair,Somewhat Fair,Somewhat Fair
527,902,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Fair,Fair,Very Fair,Very Fair,Somewhat Fair,Very Fair,Fair,Very Fair,Very Fair,Very Fair
528,1354,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Very Unfair,Very Fair,Very Unfair,Very Fair,Very Unfair,Very Fair,Very Unfair,Very Fair,Very Unfair,Very Unfair
529,3108,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Very Unfair,Very Fair,Neutral,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Fair,Somewhat Unfair
530,1222,30-39,Bachelor,Male,,25000-50000,false,false,false,false,true,,cps,properties first,Very Unfair,Very Fair,Very Fair,Fair,Very Unfair,Fair,Unfair,Fair,Very Fair,Fair
707,547,40-49,Graduate,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair
708,718,40-49,Bachelor,Female,,>100000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Very Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Very Fair,Fair
709,583,40-49,High School,Female,,<25000,false,false,false,false,true,,cps,properties first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Fair,Fair,Fair,Very Fair,Very Fair
710,686,50-59,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Somewhat Unfair,Very Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Very Unfair,Somewhat Unfair,Very Unfair,Fair,Unfair
711,2262,18-29,Bachelor,Female,,25000-50000,false,false,true,false,false,,cps,properties first,Somewhat Unfair,Very Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Fair,Somewhat Unfair,Somewhat Fair,Very Fair,Very Fair
713,1110,30-39,Bachelor,Female,,25000-50000,false,true,false,false,true,,cps,fairness first,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Unfair,Neutral,Neutral,Somewhat Fair,Neutral,Fair
714,700,18-29,Graduate,Male,,75000-100000,false,true,false,false,false,,cps,properties first,Somewhat Unfair,Very Fair,Fair,Fair,Unfair,Somewhat Fair,Somewhat Unfair,Fair,Fair,Fair
715,897,30-39,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Fair,Fair,Neutral,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
716,1015,40-49,Bachelor,Female,,25000-50000,false,false,true,false,false,,cps,properties first,Somewhat Unfair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Fair,Fair,Fair
717,540,40-49,Bachelor,Female,,50000-75000,false,false,true,true,false,,cps,fairness first,Very Unfair,Very Fair,Very Fair,Very Fair,Very Unfair,Very Fair,Very Unfair,Very Fair,Very Fair,Very Fair
718,1344,40-49,Bachelor,Female,,>100000,false,false,false,true,false,,cps,properties first,Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Unfair,Somewhat Fair,Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Fair
719,912,40-49,Graduate,Female,,75000-100000,false,false,false,true,false,,cps,fairness first,Very Unfair,Very Fair,Somewhat Fair,Very Fair,Very Unfair,Unfair,Very Unfair,Somewhat Unfair,Very Fair,Very Fair
720,561,40-49,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Fair,Very Fair,Fair,Very Fair,Somewhat Fair,Fair,Very Fair,Fair,Very Fair,Somewhat Fair
721,1868,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Fair,Very Fair,Somewhat Unfair,Neutral,Unfair,Very Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
722,1285,50-59,High School,Male,,50000-75000,false,false,false,true,false,,cps,fairness first,Neutral,Somewhat Fair,Unfair,Unfair,Unfair,Fair,Somewhat Fair,Fair,Neutral,Fair
723,591,50-59,High School,Female,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Very Fair,Very Fair,Fair,Somewhat Unfair,Somewhat Fair,Unfair,Somewhat Fair,Fair,Somewhat Fair
724,367,30-39,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,properties first,Fair,Fair,Fair,Fair,Fair,Fair,Somewhat Fair,Fair,Neutral,Somewhat Fair
725,1817,30-39,Bachelor,Male,,50000-75000,false,true,true,false,false,,cps,properties first,Somewhat Fair,Very Fair,Somewhat Fair,Very Fair,Very Fair,Very Fair,Fair,Very Fair,Somewhat Fair,Neutral
726,1423,40-49,Bachelor,Female,,50000-75000,false,true,false,false,false,,cps,properties first,Very Unfair,Very Fair,Very Fair,Very Unfair,Very Unfair,Fair,Very Unfair,Very Unfair,Very Fair,Very Fair
727,2157,30-39,Bachelor,Male,,50000-75000,false,true,false,false,false,,cps,fairness first,Somewhat Unfair,Somewhat Fair,Fair,Unfair,Unfair,Unfair,Neutral,Somewhat Unfair,Unfair,Neutral
728,390,30-39,High School,Female,,<25000,false,false,false,true,false,,cps,fairness first,Fair,Fair,Somewhat Unfair,Unfair,Fair,Unfair,Fair,Somewhat Unfair,Very Fair,Very Fair
729,713,40-49,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,fairness first,Very Unfair,Unfair,Neutral,Neutral,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Unfair,Neutral
730,650,30-39,Graduate,Female,,<25000,false,true,false,false,false,,cps,properties first,Very Fair,Very Fair,Fair,Fair,Somewhat Fair,Fair,Somewhat Unfair,Somewhat Unfair,Fair,Fair
731,696,40-49,High School,Female,,<25000,false,false,false,true,false,,cps,properties first,Very Unfair,Very Fair,Fair,Somewhat Unfair,Very Unfair,Somewhat Unfair,Very Unfair,Somewhat Unfair,Very Fair,Very Unfair
732,478,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,cps,properties first,Unfair,Very Fair,Fair,Very Fair,Neutral,Somewhat Fair,Unfair,Somewhat Fair,Very Fair,Fair
733,541,30-39,High School,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Very Unfair,Neutral,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair,Very Fair,Fair,Fair,Fair
734,918,60-69,High School,Female,,75000-100000,false,false,false,true,false,,cps,properties first,Very Fair,Very Fair,Somewhat Unfair,Somewhat Fair,Very Fair,Somewhat Unfair,Very Fair,Somewhat Unfair,Very Fair,Fair
735,728,30-39,Bachelor,Male,,75000-100000,false,true,false,false,false,,cps,fairness first,Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
736,510,30-39,High School,Male,,50000-75000,false,false,false,true,false,,cps,fairness first,Very Unfair,Very Fair,Fair,Fair,Very Unfair,Fair,Very Unfair,Fair,Very Fair,Very Fair
737,732,18-29,High School,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Neutral,Very Fair,Neutral,Fair,Neutral,Fair,Neutral,Fair,Very Fair,Fair
738,2857,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Fair,Fair,Unfair,Very Unfair,Very Unfair,Very Unfair,Unfair,Fair,Very Unfair
739,1149,40-49,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Fair,Very Fair,Very Fair,Fair,Fair,Fair,Very Fair,Very Fair,Fair,Fair
740,722,30-39,High School,Male,,25000-50000,true,false,false,false,false,,cps,fairness first,Unfair,Somewhat Fair,Somewhat Fair,Unfair,Somewhat Unfair,Somewhat Unfair,Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Fair
741,737,50-59,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Fair,Fair,Fair,Very Fair,Very Fair,Somewhat Unfair,Very Fair,Fair,Very Fair
742,584,40-49,Bachelor,Male,,>100000,false,false,false,true,false,,cps,fairness first,Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair
743,1174,30-39,Associate or Diploma,Female,,25000-50000,false,true,false,false,false,,cps,fairness first,Somewhat Fair,Fair,Fair,Fair,Fair,Fair,Somewhat Fair,Fair,Fair,Fair
744,921,40-49,High School,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Unfair,Very Fair,Fair,Very Fair,Very Unfair,Very Unfair,Unfair,Very Unfair,Fair,Somewhat Fair
745,1693,60-69,High School,Female,,25000-50000,false,false,true,false,false,,cps,properties first,Unfair,Somewhat Fair,Somewhat Fair,Fair,Very Unfair,Somewhat Fair,Very Fair,Very Fair,Fair,Fair
746,538,60-69,Bachelor,Male,,<25000,false,false,false,true,false,,cps,properties first,Fair,Fair,Somewhat Fair,Fair,Fair,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
747,2966,60-69,Graduate,Female,,<25000,false,true,false,false,false,,cps,fairness first,Very Fair,Very Fair,Very Fair,Very Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Unfair,Unfair
748,1124,60-69,Bachelor,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Unfair,Fair,Neutral,Fair,Somewhat Unfair,Fair,Unfair,Somewhat Fair,Neutral,Somewhat Fair
749,1274,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,cps,fairness first,Somewhat Fair,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair
750,475,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,cps,properties first,Somewhat Unfair,Fair,Fair,Somewhat Fair,Somewhat Fair,Very Fair,Neutral,Very Fair,Somewhat Fair,Somewhat Fair
751,947,40-49,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Very Fair,Very Fair,Very Fair,Unfair,Very Fair,Unfair,Fair,Fair,Very Fair
752,2103,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,cps,fairness first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
753,1937,40-49,High School,Male,,<25000,false,true,false,false,false,,cps,properties first,Somewhat Fair,Very Fair,Somewhat Fair,Somewhat Unfair,Fair,Fair,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair
755,668,40-49,High School,Female,,25000-50000,false,false,false,true,false,,cps,fairness first,Fair,Very Fair,Fair,Somewhat Fair,Fair,Fair,Fair,Fair,Very Fair,Very Fair
756,1247,50-59,Graduate,Male,,<25000,false,true,false,false,false,,cps,fairness first,Fair,Fair,Fair,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair
757,506,30-39,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Very Unfair,Very Fair,Somewhat Fair,Very Unfair,Very Unfair,Fair,Very Unfair,Very Fair,Very Fair,Fair
758,1697,40-49,Bachelor,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Very Fair,Somewhat Fair,Very Fair,Somewhat Unfair,Very Fair,Somewhat Unfair,Very Fair,Very Fair,Somewhat Fair
759,389,30-39,Bachelor,Male,,25000-50000,false,false,false,false,true,,cps,fairness first,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Neutral,Fair
760,1118,30-39,Graduate,Male,,>100000,false,false,false,true,false,,cps,fairness first,Neutral,Fair,Somewhat Fair,Fair,Somewhat Unfair,Fair,Somewhat Unfair,Fair,Fair,Fair
761,827,40-49,Bachelor,Male,,75000-100000,false,true,false,false,false,White,cps,properties first,Somewhat Unfair,Fair,Fair,Very Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Fair,Fair,Very Fair
762,1894,40-49,Graduate,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Somewhat Fair,Fair,Neutral,Fair,Fair,Fair,Very Fair,Very Fair,Fair,Fair
763,499,40-49,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Very Fair,Very Fair,Very Fair,Fair,Fair,Somewhat Fair,Unfair,Somewhat Unfair,Somewhat Unfair,Unfair
764,1580,40-49,Graduate,Male,,25000-50000,false,true,false,false,false,,cps,properties first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
765,2564,50-59,Bachelor,Female,,<25000,false,true,false,false,false,,cps,properties first,Fair,Fair,Fair,Somewhat Fair,Fair,Fair,Very Fair,Very Fair,Fair,Fair
766,427,30-39,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Somewhat Fair,Somewhat Unfair,Somewhat Fair,,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
768,947,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Very Fair,Very Fair,Very Fair,Fair,Very Fair,Fair,Very Fair,Fair,Very Fair,Very Fair
769,1109,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,cps,fairness first,Unfair,Somewhat Fair,Neutral,Somewhat Fair,Unfair,Fair,Very Unfair,Fair,Very Fair,Very Fair
770,773,18-29,Bachelor,Female,,>100000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Fair,Somewhat Fair,Very Unfair,Unfair,Very Unfair,Very Unfair,Very Unfair,Fair,Very Fair
771,988,30-39,Graduate,Female,,<25000,false,true,false,false,false,,cps,properties first,Fair,Fair,Fair,Fair,Somewhat Fair,Fair,Fair,Somewhat Fair,Neutral,Fair
772,1774,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Fair,Fair,Somewhat Fair,Somewhat Fair,Fair,Fair,Somewhat Fair,Somewhat Fair,Fair,Fair
773,1209,50-59,Graduate,Male,,25000-50000,false,true,false,false,false,,cps,properties first,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Somewhat Fair,Very Fair,Fair
774,366,40-49,Bachelor,Female,,>100000,false,false,false,true,false,,cps,properties first,Very Fair,Very Fair,Very Fair,Fair,Somewhat Fair,Very Unfair,Somewhat Fair,Very Unfair,Very Fair,Very Fair
775,1202,30-39,Graduate,Male,,>100000,false,false,false,true,false,,cps,fairness first,Unfair,Very Fair,Fair,Neutral,Unfair,Unfair,Unfair,Unfair,Very Fair,Very Fair
776,709,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
777,578,50-59,Bachelor,Female,,25000-50000,false,true,false,false,false,,cps,fairness first,Very Fair,Fair,Very Fair,Very Fair,Unfair,Very Fair,Unfair,Very Fair,Somewhat Fair,Fair
778,664,40-49,Bachelor,Female,,>100000,false,false,false,true,false,,cps,properties first,Neutral,Very Fair,Very Fair,Very Fair,Neutral,Very Fair,Neutral,Very Fair,Very Fair,Very Fair
779,662,50-59,High School,Male,,25000-50000,false,false,false,true,false,,cps,properties first,Unfair,Fair,Fair,Unfair,Unfair,Unfair,Unfair,Unfair,Fair,Fair
1860,3084,18-29,High School,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Very Fair,Fair,Fair,Somewhat Unfair,Neutral,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Unfair
1861,1283,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Fair,Somewhat Fair,Fair,Somewhat Fair,Neutral,Very Fair,Fair,Somewhat Fair,Somewhat Unfair,Somewhat Fair
1862,307,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,cps,fairness first,Neutral,Fair,Neutral,Somewhat Fair,Fair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Neutral,Neutral
