Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Gender,Race,Residence,Hospital Treated,Admission,Number of Discharges,History of Health
531,1996,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,hos,fairness first,Neutral,Fair,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair
532,2081,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,hos,fairness first,Very Fair,Fair,Fair,Fair,Very Fair,Very Fair,Fair,Very Fair
533,2694,50-59,Bachelor,Female,,75000-100000,false,false,false,true,false,,hos,fairness first,Very Fair,Fair,Fair,Fair,Very Fair,Fair,Very Fair,Very Fair
534,1636,18-29,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Somewhat Unfair,Unfair,Very Unfair,Somewhat Unfair,Somewhat Fair,Very Fair,Somewhat Fair,Fair
535,2488,30-39,High School,Male,,50000-75000,false,false,false,true,true,,hos,properties first,Somewhat Fair,Neutral,Somewhat Unfair,Unfair,Fair,Very Fair,Neutral,Somewhat Fair
536,2348,30-39,High School,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Neutral,Very Unfair,Very Unfair,Neutral,Neutral,Neutral,Very Fair,Very Fair
537,528,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,hos,fairness first,Neutral,Very Unfair,Very Unfair,Unfair,Fair,Fair,Neutral,Somewhat Fair
538,1050,30-39,Associate or Diploma,Female,,<25000,false,false,false,true,false,,hos,fairness first,Very Fair,Unfair,Unfair,Unfair,Very Fair,Very Fair,Very Fair,Very Fair
539,1435,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Very Fair,Fair,Unfair,Fair,Very Fair,Very Fair,Very Fair,Very Fair
540,2262,30-39,High School,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Neutral,Neutral,Somewhat Unfair,Somewhat Unfair,Fair,Fair,Somewhat Fair,Fair
780,1625,40-49,Associate or Diploma,Male,,<25000,false,true,false,false,false,,hos,properties first,Fair,Neutral,Somewhat Fair,Neutral,Very Fair,Fair,Somewhat Fair,Somewhat Fair
781,3574,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Fair,Unfair,Unfair,Very Unfair,Fair,Neutral,Somewhat Fair,Unfair
782,759,18-29,Associate or Diploma,Male,,>100000,false,false,false,true,false,,hos,fairness first,Very Fair,Fair,Somewhat Fair,Somewhat Unfair,Fair,Very Fair,Fair,Very Fair
783,759,60-69,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Unfair,Fair,Unfair,Very Unfair,Unfair,Neutral,Fair,Fair
784,2045,40-49,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Fair,Somewhat Unfair,Somewhat Unfair,Unfair,Somewhat Fair,Very Fair,Fair,Fair
785,797,30-39,High School,Male,,<25000,false,false,false,true,false,,hos,fairness first,Very Fair,Very Fair,Neutral,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
786,547,30-39,Graduate,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Somewhat Unfair,Very Unfair,Very Unfair,Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Very Unfair
787,723,50-59,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Very Unfair,Very Unfair,Very Unfair,Somewhat Fair,Very Fair,Fair,Very Fair
788,453,40-49,Associate or Diploma,Female,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Very Fair,Very Fair,Very Fair,Neutral
789,399,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,hos,properties first,Fair,Neutral,Somewhat Unfair,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair,Very Fair
790,912,18-29,High School,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Very Fair,Neutral,Neutral,Somewhat Unfair,Very Fair,Fair,Very Fair,Very Fair
791,337,18-29,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Fair,Very Unfair,Very Unfair,Very Unfair,Somewhat Fair,Very Fair,Very Fair,Very Fair
792,464,30-39,Associate or Diploma,Female,,50000-75000,false,true,false,false,false,,hos,fairness first,Somewhat Unfair,Unfair,Very Unfair,Neutral,Somewhat Fair,Neutral,Fair,Very Fair
793,505,40-49,Bachelor,Male,,25000-50000,false,true,false,false,false,,hos,properties first,Somewhat Fair,Very Unfair,Very Unfair,Somewhat Fair,Fair,Fair,Fair,Fair
794,2057,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Unfair,Unfair,Very Unfair,Neutral,Somewhat Unfair,Somewhat Fair,Unfair,Somewhat Fair
795,992,50-59,Bachelor,Male,,<25000,false,false,false,true,false,,hos,properties first,Somewhat Unfair,Neutral,Somewhat Unfair,Neutral,Neutral,Fair,Neutral,Fair
796,848,40-49,High School,Female,,>100000,false,false,false,true,false,,hos,properties first,Very Fair,Very Unfair,Very Unfair,Unfair,Fair,Very Fair,Very Fair,Fair
797,533,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Fair,Fair,Fair
798,314,40-49,High School,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Fair,Unfair,Somewhat Unfair,Somewhat Fair,Fair,Somewhat Fair,Very Fair
799,1086,30-39,High School,Male,,75000-100000,false,false,false,true,false,,hos,properties first,Very Fair,Very Fair,Unfair,Unfair,Fair,Very Fair,Somewhat Fair,Very Fair
800,1912,40-49,High School,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Very Unfair,Unfair,Very Unfair,Unfair,Somewhat Fair,Somewhat Fair,Unfair,Very Unfair
