Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Gender,Marital and Family,Employment,Credit,Education,Residence,History of Health
551,860,30-39,Associate or Diploma,Male,,<25000,false,false,false,true,false,,ins,fairness first,Very Fair,Somewhat Unfair,Somewhat Fair,Fair,Somewhat Fair,Fair,Somewhat Fair,Fair
552,654,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,ins,properties first,Somewhat Fair,Somewhat Fair,Fair,Unfair,Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair
553,905,30-39,Bachelor,Male,,<25000,false,false,true,false,false,,ins,properties first,Very Unfair,Very Unfair,Somewhat Fair,Unfair,Very Fair,Very Unfair,Somewhat Fair,Fair
554,762,30-39,Bachelor,Male,,25000-50000,false,false,true,false,false,,ins,fairness first,Fair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair
555,2551,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Very Unfair,Unfair,Somewhat Unfair,Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair
556,521,50-59,High School,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Somewhat Fair
557,1851,30-39,High School,Female,,<25000,false,false,false,true,true,,ins,fairness first,Somewhat Unfair,Very Unfair,Very Unfair,Very Unfair,Unfair,Very Unfair,Neutral,Somewhat Fair
558,497,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Very Unfair,Very Unfair,Unfair,Very Fair,Very Fair,Fair,Very Unfair,Fair
559,1248,30-39,Bachelor,Male,,50000-75000,false,false,false,true,true,,ins,properties first,Fair,Somewhat Unfair,Somewhat Fair,Fair,Very Fair,Fair,Somewhat Fair,Fair
560,778,30-39,Graduate,Female,,25000-50000,false,false,true,true,false,,ins,properties first,Unfair,Unfair,Unfair,Somewhat Fair,Neutral,Neutral,Very Unfair,Very Unfair
928,320,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Fair,Neutral,Fair,Very Fair,Fair,Neutral,Very Fair,Fair
929,442,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,ins,fairness first,Fair,Fair,Unfair,Unfair,Very Unfair,Unfair,Somewhat Fair,Somewhat Unfair
930,337,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,ins,properties first,Unfair,Neutral,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Unfair,Somewhat Fair,Somewhat Fair
931,609,40-49,Bachelor,Male,,75000-100000,false,false,false,true,false,,ins,fairness first,Neutral,Very Unfair,Very Unfair,Somewhat Fair,Somewhat Unfair,Very Unfair,Fair,Very Unfair
