Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Accuracy,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Employment,Employment Reliability,Employment Accuracy,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Accuracy,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Education,Education Reliability,Education Accuracy,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Residence,Residence Reliability,Residence Accuracy,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,History of Health,History of Health Reliability,History of Health Accuracy,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
2151,2433,18-29,Bachelor,Female,,<25000,false,false,false,true,false,,ins,fairness first,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Agree,Strongly Agree,Agree,,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree
2152,1754,40-49,Bachelor,Female,,25000-50000,false,false,true,false,false,,ins,properties first,Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Fair,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Unfair,Agree,Neutral,Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Unfair,Neutral,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Unfair,Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,,Somewhat Unfair,Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,,Neutral,Somewhat Disagree,Somewhat Unfair,Neutral,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Disagree,,Neutral,Somewhat Unfair,Somewhat Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree
2161,1224,50-59,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Very Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Agree,Agree,Unfair,Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Very Unfair,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,,Disagree,Disagree,Strongly Agree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
2162,894,18-29,Associate or Diploma,Female,,75000-100000,false,false,false,true,false,,ins,fairness first,Somewhat Unfair,Agree,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Unfair,Somewhat Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Fair,Neutral,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Unfair,Somewhat Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Unfair,Neutral,Neutral,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral
2166,1970,40-49,High School,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Neutral,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Unfair,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Agree,,Somewhat Agree,Agree,Agree,Somewhat Agree,Unfair,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Unfair,Somewhat Disagree,Disagree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree
2168,1260,18-29,Bachelor,Female,,25000-50000,false,false,true,false,false,,ins,properties first,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,,Very Fair,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Fair,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Unfair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Very Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral
2169,1468,18-29,High School,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Unfair,Neutral,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Unfair,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Somewhat Fair,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Agree,Neutral,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Fair,Neutral,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Disagree
2175,458,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,ins,fairness first,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Unfair,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Strongly Agree,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Somewhat Fair,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree
2176,590,18-29,High School,Female,,<25000,false,false,false,true,true,,ins,properties first,Unfair,Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Agree,Agree,Somewhat Unfair,Agree,Agree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Unfair,Disagree,Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Agree,Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Unfair,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Very Unfair,Disagree,Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree
2178,2071,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,ins,fairness first,Unfair,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Agree,Agree,Very Unfair,Strongly Agree,Neutral,Strongly Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Somewhat Unfair,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Very Unfair,Somewhat Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Agree,Very Unfair,Disagree,Disagree,Neutral,Somewhat Agree,Strongly Disagree,Neutral,Disagree,Somewhat Agree,Very Unfair,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Agree,Strongly Agree,Strongly Disagree,,Somewhat Agree,Strongly Agree,Strongly Agree
