Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount,Income,Age,Gender,Marital and Family,Dependents,Education,Employment,Credit,Property
541,3248,40-49,Bachelor,Nonbinary,Agender,25000-50000,false,false,false,true,false,,loan,properties first,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair
542,544,18-29,High School,Male,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Fair,Neutral,Unfair,Fair,Very Fair,Somewhat Fair,Very Fair,Fair,Fair
543,2196,18-29,High School,Female,,>100000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Fair,Neutral,Somewhat Fair,Fair,Neutral,Very Fair,Very Fair,Fair
544,1898,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Neutral,Very Unfair,Fair,Very Fair,Neutral,Very Fair,Very Fair,Fair
545,2503,18-29,High School,Male,,25000-50000,false,false,false,true,true,,loan,fairness first,Very Fair,Very Fair,Fair,Unfair,Fair,Very Fair,Fair,Very Fair,Very Fair,Fair
546,604,40-49,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Very Fair,Very Unfair,Fair,Very Fair,Fair,Very Fair,Very Fair,Very Fair
547,2016,50-59,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Somewhat Fair,Very Unfair,Unfair,Somewhat Fair,Unfair,Very Fair,Very Fair,Fair
548,919,18-29,Associate or Diploma,Male,,50000-75000,false,false,false,false,true,,loan,fairness first,Very Fair,Fair,Somewhat Fair,Very Unfair,Very Unfair,Somewhat Fair,Fair,Very Fair,Very Fair,Very Fair
549,322,40-49,Bachelor,Female,,>100000,false,false,false,true,false,,loan,fairness first,Fair,Very Fair,Somewhat Fair,Very Unfair,Unfair,Somewhat Fair,Somewhat Unfair,Very Fair,Very Fair,Somewhat Fair
550,868,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Fair,Very Unfair,Very Unfair,Very Unfair,Unfair,Very Unfair,Fair,Fair,Unfair
853,711,50-59,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,fairness first,Somewhat Fair,Fair,Somewhat Unfair,Very Unfair,Neutral,Unfair,Unfair,Somewhat Fair,Neutral,Neutral
854,1053,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,loan,fairness first,Very Fair,Very Fair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Unfair,Neutral,Very Fair
855,773,50-59,Associate or Diploma,Female,,>100000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Somewhat Unfair,Very Unfair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Very Fair,Very Fair,Very Fair
856,571,30-39,Bachelor,Female,,<25000,false,false,true,false,false,,loan,fairness first,Fair,Fair,Unfair,Very Unfair,Very Unfair,Very Unfair,Unfair,Fair,Somewhat Fair,Unfair
857,366,40-49,Graduate,Female,,75000-100000,false,false,false,true,false,,loan,properties first,Fair,Very Fair,Unfair,Very Unfair,Unfair,Somewhat Unfair,Somewhat Unfair,Very Fair,Somewhat Fair,Fair
858,341,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Somewhat Fair,Very Fair,Neutral,Unfair,Unfair,Neutral,Unfair,Very Fair,Fair,Somewhat Fair
859,353,40-49,Graduate,Female,,>100000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Somewhat Unfair,Very Unfair,Unfair,Somewhat Unfair,Somewhat Unfair,Fair,Very Fair,Fair
860,1130,30-39,Graduate,Male,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Fair,Very Unfair,Very Fair,Very Fair,Somewhat Fair,Neutral,Neutral,Very Fair
861,2414,40-49,Associate or Diploma,Male,,<25000,false,false,false,true,false,,loan,fairness first,Very Fair,Fair,Fair,Neutral,Neutral,Fair,Fair,Fair,Fair,Very Fair
862,1086,50-59,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Somewhat Fair,Very Unfair,Fair,Fair,Somewhat Fair,Fair,Fair,Somewhat Fair
863,470,18-29,Associate or Diploma,Male,,50000-75000,false,true,false,false,false,,loan,properties first,Very Fair,Very Fair,Somewhat Unfair,Very Unfair,Fair,Neutral,Neutral,Very Fair,Very Fair,Fair
864,813,40-49,Bachelor,Male,,>100000,false,false,false,true,false,,loan,properties first,Fair,Very Fair,Somewhat Fair,Very Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Neutral
