Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount,Loan Amount Reliability,Loan Amount Relevance,Loan Amount Privacy,Loan Amount Volitionality,Loan Amount Causes Outcome,Loan Amount Causes Cycle,Loan Amount Causes Disparity,Loan Amount Caused by Group,Income,Income Reliability,Income Relevance,Income Privacy,Income Volitionality,Income Causes Outcome,Income Causes Cycle,Income Causes Disparity,Income Caused by Group,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Dependents,Dependents Reliability,Dependents Relevance,Dependents Privacy,Dependents Volitionality,Dependents Causes Outcome,Dependents Causes Cycle,Dependents Causes Disparity,Dependents Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Employment,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Property,Property Reliability,Property Relevance,Property Privacy,Property Volitionality,Property Causes Outcome,Property Causes Cycle,Property Causes Disparity,Property Caused by Group
545,2503,18-29,High School,Male,,25000-50000,false,false,false,true,true,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,,Strongly Agree,Strongly Disagree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Disagree,Disagree,Strongly Disagree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Agree,Neutral,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Fair,Agree,Strongly Agree,Neutral,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
548,919,18-29,Associate or Diploma,Male,,50000-75000,false,false,false,false,true,,loan,fairness first,Very Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Fair,Agree,Strongly Agree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Very Unfair,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Somewhat Disagree,Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Fair,Somewhat Agree,Somewhat Agree,,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Very Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Neutral,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Agree,Disagree,Disagree,Somewhat Agree,Neutral,Neutral,Neutral
854,1053,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,loan,fairness first,Very Fair,,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Very Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Agree,Very Unfair,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Neutral,Very Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Disagree,,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Very Unfair,Strongly Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral
856,571,30-39,Bachelor,Female,,<25000,false,false,true,false,false,,loan,fairness first,Fair,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Unfair,Strongly Agree,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Neutral,Very Unfair,Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Very Unfair,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Agree,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
863,470,18-29,Associate or Diploma,Male,,50000-75000,false,true,false,false,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Fair,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Fair,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree
868,1751,30-39,Graduate,Female,,25000-50000,false,true,false,false,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Disagree,Disagree,Disagree,Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree
871,551,18-29,Bachelor,Female,,>100000,false,false,true,false,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Strongly Agree,Strongly Agree,Unfair,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Neutral,Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral
874,940,30-39,Graduate,Male,,<25000,false,true,false,false,false,,loan,fairness first,Neutral,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Agree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Disagree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Unfair,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,,Disagree,Agree,Strongly Disagree,Disagree
876,773,18-29,Graduate,Female,,75000-100000,false,true,false,false,false,,loan,properties first,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Very Fair,Strongly Agree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Agree,Agree,Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Fair,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral
883,428,50-59,Graduate,Female,,>100000,false,true,false,false,false,,loan,fairness first,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
