Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Current Charges,Current Charges Reliability,Current Charges Privacy,Current Charges Volitionality,Current Charges Causes Outcome,Current Charges Causes Cycle,Current Charges Causes Disparity,Current Charges Caused by Group,Criminal History,Criminal History Reliability,Criminal History Privacy,Criminal History Volitionality,Criminal History Causes Outcome,Criminal History Causes Cycle,Criminal History Causes Disparity,Criminal History Caused by Group,Substance Abuse,Substance Abuse Reliability,Substance Abuse Privacy,Substance Abuse Volitionality,Substance Abuse Causes Outcome,Substance Abuse Causes Cycle,Substance Abuse Causes Disparity,Substance Abuse Caused by Group,Employment and Living,Employment and Living Reliability,Employment and Living Privacy,Employment and Living Volitionality,Employment and Living Causes Outcome,Employment and Living Causes Cycle,Employment and Living Causes Disparity,Employment and Living Caused by Group,Personality,Personality Reliability,Personality Privacy,Personality Volitionality,Personality Causes Outcome,Personality Causes Cycle,Personality Causes Disparity,Personality Caused by Group,Criminal Attitudes,Criminal Attitudes Reliability,Criminal Attitudes Privacy,Criminal Attitudes Volitionality,Criminal Attitudes Causes Outcome,Criminal Attitudes Causes Cycle,Criminal Attitudes Causes Disparity,Criminal Attitudes Caused by Group,Neighbourhood,Neighbourhood Reliability,Neighbourhood Privacy,Neighbourhood Volitionality,Neighbourhood Causes Outcome,Neighbourhood Causes Cycle,Neighbourhood Causes Disparity,Neighbourhood Caused by Group,Friends and Family,Friends and Family Reliability,Friends and Family Privacy,Friends and Family Volitionality,Friends and Family Causes Outcome,Friends and Family Causes Cycle,Friends and Family Causes Disparity,Friends and Family Caused by Group,Social Life,Social Life Reliability,Social Life Privacy,Social Life Volitionality,Social Life Causes Outcome,Social Life Causes Cycle,Social Life Causes Disparity,Social Life Caused by Group,Education,Education Reliability,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group
1061,1604,40-49,High School,Female,,<25000,false,false,false,true,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Unfair,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Very Unfair,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Very Unfair,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1062,1205,40-49,Bachelor,Female,,>100000,false,false,false,true,false,,rec,properties first,Very Fair,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Very Fair,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Unfair,Somewhat Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Somewhat Fair,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Agree,Very Unfair,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Unfair,Disagree,,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
1069,2001,30-39,Associate or Diploma,Female,,25000-50000,false,false,true,false,false,,rec,properties first,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Unfair,Agree,Agree,,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Agree,,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Very Unfair,Neutral,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Unfair,Agree,Disagree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Strongly Agree,Very Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Very Unfair,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
1073,755,60-69,Bachelor,Female,,25000-50000,false,false,false,true,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Somewhat Fair,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,,Very Fair,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Unfair,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Disagree
1074,1211,40-49,High School,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Fair,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Fair,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Unfair,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Fair,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,,Somewhat Agree,Disagree,Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Unfair,Disagree,Somewhat Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Very Unfair,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree
1075,1699,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Very Fair,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Very Fair,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Fair,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Fair,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Fair,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree
1076,810,30-39,Bachelor,Female,,>100000,false,false,false,true,false,,rec,fairness first,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1078,2524,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,rec,fairness first,Very Fair,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Fair,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral
1081,595,30-39,High School,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Very Fair,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Unfair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Unfair,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Unfair,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
1083,1073,40-49,High School,Female,,50000-75000,false,false,false,true,false,,rec,properties first,Fair,Agree,Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Agree,Very Fair,Agree,Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Fair,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Fair,Agree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Agree,Fair,Somewhat Agree,Disagree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Fair,Agree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Very Unfair,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Unfair,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Disagree,Agree,Somewhat Unfair,Agree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree
