Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Child Demographics,Child Demographics Reliability,Child Demographics Privacy,Child Demographics Volitionality,Child Demographics Causes Outcome,Child Demographics Causes Cycle,Child Demographics Causes Disparity,Child Demographics Caused by Group,Child CPS,Child CPS Reliability,Child CPS Privacy,Child CPS Volitionality,Child CPS Causes Outcome,Child CPS Causes Cycle,Child CPS Causes Disparity,Child CPS Caused by Group,Child Justice,Child Justice Reliability,Child Justice Privacy,Child Justice Volitionality,Child Justice Causes Outcome,Child Justice Causes Cycle,Child Justice Causes Disparity,Child Justice Caused by Group,Child Welfare,Child Welfare Reliability,Child Welfare Privacy,Child Welfare Volitionality,Child Welfare Causes Outcome,Child Welfare Causes Cycle,Child Welfare Causes Disparity,Child Welfare Caused by Group,Parent Demographics,Parent Demographics Reliability,Parent Demographics Privacy,Parent Demographics Volitionality,Parent Demographics Causes Outcome,Parent Demographics Causes Cycle,Parent Demographics Causes Disparity,Parent Demographics Caused by Group,Parent Welfare,Parent Welfare Reliability,Parent Welfare Privacy,Parent Welfare Volitionality,Parent Welfare Causes Outcome,Parent Welfare Causes Cycle,Parent Welfare Causes Disparity,Parent Welfare Caused by Group,Perp Demographics,Perp Demographics Reliability,Perp Demographics Privacy,Perp Demographics Volitionality,Perp Demographics Causes Outcome,Perp Demographics Causes Cycle,Perp Demographics Causes Disparity,Perp Demographics Caused by Group,Perp Welfare,Perp Welfare Reliability,Perp Welfare Privacy,Perp Welfare Volitionality,Perp Welfare Causes Outcome,Perp Welfare Causes Cycle,Perp Welfare Causes Disparity,Perp Welfare Caused by Group,All CPS,All CPS Reliability,All CPS Privacy,All CPS Volitionality,All CPS Causes Outcome,All CPS Causes Cycle,All CPS Causes Disparity,All CPS Caused by Group,All Health,All Health Reliability,All Health Privacy,All Health Volitionality,All Health Causes Outcome,All Health Causes Cycle,All Health Causes Disparity,All Health Caused by Group
1261,1188,18-29,High School,Female,,>100000,false,false,false,true,false,,cps,properties first,Very Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Somewhat Fair,Agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat Agree,Fair,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree
1263,567,18-29,Graduate,Female,,25000-50000,false,true,false,false,false,,cps,fairness first,Unfair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Unfair,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Very Unfair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Unfair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Unfair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Very Unfair,Agree,,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,,Somewhat Agree,Agree,Somewhat Agree,Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree
1266,1395,18-29,Bachelor,Female,,50000-75000,false,true,false,true,false,,cps,fairness first,Unfair,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,,Agree,Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree
1268,1392,30-39,High School,Female,,25000-50000,false,true,false,false,false,,cps,properties first,Somewhat Unfair,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Very Fair,Strongly Agree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Fair,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Fair,Agree,Somewhat Agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat Fair,Disagree,Somewhat Agree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,Disagree,Neutral,Agree,Somewhat Agree,Fair,Strongly Agree,Disagree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Agree,Agree,Somewhat Unfair,Disagree,Agree,Strongly Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree
1270,2145,18-29,Bachelor,Female,,<25000,false,true,false,false,false,,cps,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
1275,532,40-49,Bachelor,Female,,>100000,false,true,false,false,false,,cps,properties first,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree
1283,2617,30-39,Bachelor,Female,,25000-50000,false,true,false,false,false,,cps,fairness first,Neutral,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Neutral,Fair,Neutral,Somewhat Agree,Agree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Fair,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Fair,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral
1290,3003,40-49,Graduate,Female,,75000-100000,false,false,false,false,true,,cps,fairness first,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Neutral,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Fair,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Fair,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Fair,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Fair,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree
1294,2437,18-29,Bachelor,Female,,<25000,false,true,false,false,false,,cps,fairness first,Fair,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Unfair,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree
1296,1803,30-39,Bachelor,Female,,25000-50000,false,false,true,false,false,,cps,properties first,Somewhat Fair,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Unfair,Agree,Agree,Agree,Agree,Strongly Agree,,Agree,Somewhat Fair,Agree,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat Agree,Fair,Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Very Fair,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Fair,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Agree,Somewhat Disagree
