Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Employment,Employment Reliability,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Education,Education Reliability,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Residence,Residence Reliability,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,History of Health,History of Health Reliability,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
1557,1905,18-29,Bachelor,Female,,>100000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Very Unfair,Strongly Agree,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Neutral,Neutral,Somewhat Fair,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Neutral,Somewhat Fair,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Neutral
1558,1646,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Unfair,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Unfair,Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Unfair,Strongly Agree,Disagree,Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Unfair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Disagree,Unfair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Strongly Agree
1560,1650,30-39,Bachelor,Female,,50000-75000,false,false,true,false,false,,ins,fairness first,Very Fair,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Very Unfair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Agree,Agree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Somewhat Fair,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Fair,Strongly Agree,Strongly Agree,,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Unfair,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Unfair,Agree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Neutral
1563,3139,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Neutral,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Unfair,Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Unfair,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Fair,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree
1564,2237,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,ins,properties first,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree
1566,1378,18-29,High School,Female,,75000-100000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Neutral,Somewhat Unfair,Strongly Agree,Strongly Disagree,Agree,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Fair,Agree,Neutral,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Very Fair,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Unfair,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Disagree,Disagree,Strongly Disagree,Unfair,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Unfair,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
1568,749,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Unfair,Strongly Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Neutral,Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Strongly Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Disagree,Agree,,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Very Unfair,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree
1574,545,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,ins,fairness first,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
1579,3470,30-39,Bachelor,Female,,25000-50000,false,true,false,false,false,,ins,properties first,Fair,Strongly Agree,Disagree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Strongly Agree,Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Unfair,Agree,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Unfair,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Neutral,Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Fair,Disagree,Somewhat Disagree,Agree,Agree,Neutral,Neutral,Somewhat Disagree
1582,485,30-39,Bachelor,Female,,25000-50000,true,false,false,false,false,,ins,fairness first,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,,Somewhat Agree,Somewhat Agree,Unfair,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Unfair,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Very Unfair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
