Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Current Charges,Current Charges Reliability,Current Charges Accuracy,Current Charges Privacy,Current Charges Volitionality,Current Charges Causes Outcome,Current Charges Causes Cycle,Current Charges Causes Disparity,Current Charges Caused by Group,Criminal History,Criminal History Reliability,Criminal History Accuracy,Criminal History Privacy,Criminal History Volitionality,Criminal History Causes Outcome,Criminal History Causes Cycle,Criminal History Causes Disparity,Criminal History Caused by Group,Substance Abuse,Substance Abuse Reliability,Substance Abuse Accuracy,Substance Abuse Privacy,Substance Abuse Volitionality,Substance Abuse Causes Outcome,Substance Abuse Causes Cycle,Substance Abuse Causes Disparity,Substance Abuse Caused by Group,Employment and Living,Employment and Living Reliability,Employment and Living Accuracy,Employment and Living Privacy,Employment and Living Volitionality,Employment and Living Causes Outcome,Employment and Living Causes Cycle,Employment and Living Causes Disparity,Employment and Living Caused by Group,Personality,Personality Reliability,Personality Accuracy,Personality Privacy,Personality Volitionality,Personality Causes Outcome,Personality Causes Cycle,Personality Causes Disparity,Personality Caused by Group,Criminal Attitudes,Criminal Attitudes Reliability,Criminal Attitudes Accuracy,Criminal Attitudes Privacy,Criminal Attitudes Volitionality,Criminal Attitudes Causes Outcome,Criminal Attitudes Causes Cycle,Criminal Attitudes Causes Disparity,Criminal Attitudes Caused by Group,Neighbourhood,Neighbourhood Reliability,Neighbourhood Accuracy,Neighbourhood Privacy,Neighbourhood Volitionality,Neighbourhood Causes Outcome,Neighbourhood Causes Cycle,Neighbourhood Causes Disparity,Neighbourhood Caused by Group,Friends and Family,Friends and Family Reliability,Friends and Family Accuracy,Friends and Family Privacy,Friends and Family Volitionality,Friends and Family Causes Outcome,Friends and Family Causes Cycle,Friends and Family Causes Disparity,Friends and Family Caused by Group,Social Life,Social Life Reliability,Social Life Accuracy,Social Life Privacy,Social Life Volitionality,Social Life Causes Outcome,Social Life Causes Cycle,Social Life Causes Disparity,Social Life Caused by Group,Education,Education Reliability,Education Accuracy,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group
1663,1495,40-49,Bachelor,Female,,25000-50000,false,false,false,false,true,,rec,fairness first,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Neutral,Somewhat Agree,,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral
1665,2304,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,rec,properties first,Somewhat Fair,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Unfair,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Unfair,Agree,Neutral,Somewhat Disagree,Neutral,Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Neutral,Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Unfair,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Unfair,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Very Unfair,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral
1666,1223,40-49,Bachelor,Female,,50000-75000,false,true,false,false,false,,rec,properties first,Very Fair,Agree,Somewhat Agree,Disagree,Disagree,Agree,Somewhat Agree,Neutral,Neutral,Fair,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Unfair,Disagree,Neutral,Neutral,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Very Unfair,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Somewhat Agree
1668,450,30-39,Bachelor,Female,,75000-100000,false,true,false,false,false,,rec,properties first,Very Fair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Very Unfair,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Neutral,Strongly Disagree,Agree,Neutral,Agree,Agree,Neutral,Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Very Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Neutral,Somewhat Agree,Neutral,Very Unfair,Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree
1674,771,18-29,High School,Female,,75000-100000,false,false,false,false,true,,rec,properties first,Very Fair,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Somewhat Disagree,Neutral,Neutral,Fair,Neutral,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Unfair,Somewhat Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Disagree,Neutral,Disagree,Somewhat Disagree,Strongly Agree,Disagree,Neutral,Neutral,Very Unfair,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Agree,Very Unfair,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Agree,Neutral,Very Unfair,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Unfair,Strongly Disagree,Disagree,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
1675,2466,18-29,Bachelor,Female,,25000-50000,false,false,true,false,false,,rec,fairness first,Very Fair,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Unfair,Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Unfair,Disagree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Somewhat Unfair,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Very Unfair,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Agree,Very Unfair,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree
1679,3036,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,rec,fairness first,Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Agree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree
1681,879,30-39,High School,Male,,25000-50000,false,false,true,false,false,,rec,fairness first,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Very Fair,Strongly Agree,Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Unfair,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Unfair,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Somewhat Fair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Very Fair,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
1683,2489,18-29,Bachelor,Male,,50000-75000,false,false,true,false,false,,rec,properties first,Very Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Very Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Unfair,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Very Unfair,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Unfair,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
1685,2815,30-39,Bachelor,Male,,50000-75000,false,false,true,false,false,,rec,fairness first,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Fair,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Very Unfair,Somewhat Disagree,Strongly Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Fair,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Neutral,Very Unfair,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Unfair,Agree,Agree,Somewhat Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree
