Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Race,Race Reliability,Race Accuracy,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Residence,Residence Reliability,Residence Accuracy,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Hospital Treated,Hospital Treated Reliability,Hospital Treated Accuracy,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Admission,Admission Reliability,Admission Accuracy,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Number of Discharges,Number of Discharges Reliability,Number of Discharges Accuracy,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,History of Health,History of Health Reliability,History of Health Accuracy,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
1960,1240,30-39,High School,Female,,50000-75000,false,false,true,false,false,,hos,properties first,Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Very Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Unfair,Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Disagree,Very Unfair,,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Very Unfair,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree
1961,1456,18-29,Bachelor,Female,,50000-75000,false,true,false,false,false,,hos,properties first,Somewhat Unfair,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Fair,Neutral,,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree
1973,1926,18-29,Bachelor,Female,,50000-75000,false,true,false,false,false,,hos,fairness first,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Strongly Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Unfair,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,,Somewhat Agree,Agree
1974,1133,40-49,High School,Female,,25000-50000,false,false,false,false,false,,hos,properties first,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Unfair,Agree,Neutral,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Unfair,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Unfair,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Unfair,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Fair,Somewhat Agree,Agree,Disagree,,Agree,Neutral,Disagree,Disagree
1983,1363,40-49,Associate or Diploma,Male,,25000-50000,false,false,false,false,true,,hos,properties first,Somewhat Fair,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Very Unfair,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,,Strongly Disagree,Agree,Agree,Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Fair,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Fair,,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
1988,654,18-29,Bachelor,Male,,25000-50000,false,false,true,false,false,,hos,fairness first,Somewhat Unfair,Strongly Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Very Unfair,Strongly Agree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Unfair,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,,Somewhat Agree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Fair,,Strongly Agree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Strongly Disagree
1991,665,18-29,Bachelor,Female,,50000-75000,false,true,false,false,false,,hos,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Strongly Disagree,Disagree,Strongly Disagree,Fair,Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Fair,Strongly Agree,Neutral,Somewhat Disagree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Fair,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
1992,1095,18-29,Bachelor,Male,,<25000,false,false,false,false,true,,hos,properties first,Fair,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,,Agree,Strongly Agree,Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree
1998,1979,18-29,Bachelor,Female,,<25000,false,false,true,false,false,,hos,properties first,Somewhat Unfair,Strongly Disagree,Disagree,Agree,Disagree,Neutral,Somewhat Agree,Strongly Agree,Agree,Very Unfair,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Very Unfair,Strongly Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Unfair,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Unfair,Disagree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Neutral,Somewhat Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral
2005,1217,18-29,Graduate,Male,,<25000,false,true,false,false,false,,hos,fairness first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Somewhat Fair,Agree,,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Disagree,Neutral,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Unfair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Somewhat Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Neutral,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
