Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount,Loan Amount Reliability,Loan Amount Accuracy,Loan Amount Privacy,Loan Amount Volitionality,Loan Amount Causes Outcome,Loan Amount Causes Cycle,Loan Amount Causes Disparity,Loan Amount Caused by Group,Income,Income Reliability,Income Accuracy,Income Privacy,Income Volitionality,Income Causes Outcome,Income Causes Cycle,Income Causes Disparity,Income Caused by Group,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Accuracy,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Dependents,Dependents Reliability,Dependents Accuracy,Dependents Privacy,Dependents Volitionality,Dependents Causes Outcome,Dependents Causes Cycle,Dependents Causes Disparity,Dependents Caused by Group,Education,Education Reliability,Education Accuracy,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Employment,Employment Reliability,Employment Accuracy,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Accuracy,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Property,Property Reliability,Property Accuracy,Property Privacy,Property Volitionality,Property Causes Outcome,Property Causes Cycle,Property Causes Disparity,Property Caused by Group
2056,1188,18-29,Associate or Diploma,Female,,25000-50000,true,false,false,false,false,,loan,fairness first,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Fair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Strongly Disagree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Strongly Disagree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Unfair,Somewhat Disagree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Agree,Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Unfair,Disagree,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Fair,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree
2059,643,18-29,Bachelor,Female,,75000-100000,false,true,false,false,false,,loan,fairness first,Somewhat Unfair,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Agree,Agree
2065,1751,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Fair,Somewhat Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Unfair,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Very Unfair,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Neutral,Agree,Agree,Somewhat Unfair,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Unfair,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Very Fair,Agree,Agree,Disagree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Fair,Agree,Agree,Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral
2068,339,18-29,Graduate,Female,,25000-50000,false,true,false,false,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2073,1505,50-59,High School,Female,,25000-50000,false,false,false,true,true,,loan,properties first,Very Fair,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Very Fair,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Very Unfair,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Very Unfair,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Very Fair,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Very Fair,Agree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral
2078,805,18-29,Bachelor,Female,,25000-50000,false,true,false,true,false,,loan,properties first,Unfair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Fair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Fair,Neutral,Somewhat Agree,,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Unfair,Strongly Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Agree
2079,1459,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Agree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Very Unfair,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Agree,Strongly Agree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Fair,Agree,Agree,Somewhat Agree,Agree,Disagree,,Strongly Disagree,Somewhat Agree,Fair,Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Disagree,Agree,Somewhat Agree,Neutral,Disagree,Disagree
2083,1016,30-39,Bachelor,Female,,75000-100000,false,false,true,false,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Very Unfair,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Very Unfair,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
2085,1754,18-29,Bachelor,Female,,<25000,false,false,false,true,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Unfair,Agree,Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Fair,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Disagree,Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Fair,Agree,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Very Fair,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Disagree,Agree,Disagree
2088,2078,30-39,Graduate,Female,,75000-100000,false,false,false,true,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Very Fair,,,,,,,,,Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
2094,502,30-39,Graduate,Female,,50000-75000,false,false,true,false,false,,loan,properties first,Somewhat Fair,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Fair,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Fair,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Fair,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree
2095,839,50-59,High School,Female,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Disagree,Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,,Disagree,Disagree,Agree,Very Unfair,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Unfair,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Unfair,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,,Agree,Agree,Very Fair,Agree,Agree,Somewhat Agree,Agree,Agree,Disagree,Neutral,Neutral,Very Fair,Agree,Agree,Somewhat Agree,Agree,Agree,Neutral,Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree
2096,921,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,loan,properties first,Unfair,Agree,Agree,Somewhat Agree,,Agree,Neutral,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Disagree,Disagree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Fair,Strongly Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree
2099,1751,18-29,Less than high School,Female,,25000-50000,false,false,false,true,false,,loan,fairness first,Fair,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Fair,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Unfair,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Very Unfair,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Very Unfair,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Very Fair,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Very Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Very Fair,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree,Neutral,Very Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,,Disagree,Disagree,Somewhat Disagree,Fair,Somewhat Disagree,Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral
