Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Education,Education Reliability,Education Accuracy,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Work History,Work History Reliability,Work History Accuracy,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Skills,Skills Reliability,Skills Accuracy,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Disability,Disability Reliability,Disability Accuracy,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Time Unemployed,Time Unemployed Reliability,Time Unemployed Accuracy,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Residence,Residence Reliability,Residence Accuracy,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Reason,Reason Reliability,Reason Accuracy,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Initiative,Initiative Reliability,Initiative Accuracy,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group
1761,3111,40-49,High School,Female,,<25000,false,false,false,true,false,,unem,fairness first,Unfair,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Very Unfair,Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Very Unfair,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Agree,Neutral,Neutral,Neutral,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Unfair,Agree,Neutral,Somewhat Disagree,Disagree,Agree,Neutral,Disagree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Disagree,Unfair,Neutral,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Very Fair,Disagree,Disagree,Neutral,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Disagree,,Strongly Disagree,Strongly Disagree
1767,2495,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,unem,fairness first,Very Unfair,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Neutral,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Somewhat Fair,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Very Fair,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Neutral,Somewhat Fair,Disagree,Neutral,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree
1770,1458,30-39,Graduate,Female,,50000-75000,false,false,false,true,false,,unem,properties first,Somewhat Fair,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Neutral,Somewhat Disagree,Unfair,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Fair,Strongly Agree,Agree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Fair,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Very Fair,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Fair,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,,Agree
1771,819,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,unem,properties first,Unfair,Strongly Agree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Unfair,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Agree,Agree,Neutral,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Very Unfair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,,
1777,3205,40-49,High School,Female,,25000-50000,false,false,false,true,false,,unem,fairness first,Very Unfair,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Very Unfair,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Somewhat Unfair,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Fair,Agree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1779,919,60-69,High School,Female,,50000-75000,false,false,false,true,false,,unem,properties first,Somewhat Unfair,Agree,Agree,Somewhat Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Unfair,Agree,Agree,Somewhat Disagree,Strongly Disagree,,Neutral,Neutral,Neutral,Fair,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Very Fair,Strongly Agree,Strongly Agree,Disagree,,Neutral,Disagree,Somewhat Disagree,Neutral,Very Fair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Somewhat Unfair,Neutral,Neutral,Neutral,Neutral,,Somewhat Disagree,Neutral,Neutral,Unfair,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Fair,Agree,Agree,Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Neutral,Neutral
1780,3285,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,unem,fairness first,Somewhat Unfair,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neutral,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Fair,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Fair,Neutral,Neutral,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Agree,Agree,Very Fair,Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Disagree,Neutral,Neutral,Fair,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree
1783,1412,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,unem,properties first,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Fair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree
1787,2202,50-59,Bachelor,Female,,25000-50000,false,false,false,true,false,,unem,fairness first,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Very Unfair,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Very Fair,Agree,Agree,Disagree,Neutral,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Somewhat Agree,Strongly Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,Somewhat Unfair,Neutral,Somewhat Agree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1788,453,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,unem,properties first,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Unfair,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree
