Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Current Charges,Current Charges Reliability,Current Charges Relevance,Current Charges Privacy,Current Charges Volitionality,Current Charges Causes Outcome,Current Charges Causes Cycle,Current Charges Causes Disparity,Current Charges Caused by Group,Criminal History,Criminal History Reliability,Criminal History Relevance,Criminal History Privacy,Criminal History Volitionality,Criminal History Causes Outcome,Criminal History Causes Cycle,Criminal History Causes Disparity,Criminal History Caused by Group,Substance Abuse,Substance Abuse Reliability,Substance Abuse Relevance,Substance Abuse Privacy,Substance Abuse Volitionality,Substance Abuse Causes Outcome,Substance Abuse Causes Cycle,Substance Abuse Causes Disparity,Substance Abuse Caused by Group,Employment and Living,Employment and Living Reliability,Employment and Living Relevance,Employment and Living Privacy,Employment and Living Volitionality,Employment and Living Causes Outcome,Employment and Living Causes Cycle,Employment and Living Causes Disparity,Employment and Living Caused by Group,Personality,Personality Reliability,Personality Relevance,Personality Privacy,Personality Volitionality,Personality Causes Outcome,Personality Causes Cycle,Personality Causes Disparity,Personality Caused by Group,Criminal Attitudes,Criminal Attitudes Reliability,Criminal Attitudes Relevance,Criminal Attitudes Privacy,Criminal Attitudes Volitionality,Criminal Attitudes Causes Outcome,Criminal Attitudes Causes Cycle,Criminal Attitudes Causes Disparity,Criminal Attitudes Caused by Group,Neighbourhood,Neighbourhood Reliability,Neighbourhood Relevance,Neighbourhood Privacy,Neighbourhood Volitionality,Neighbourhood Causes Outcome,Neighbourhood Causes Cycle,Neighbourhood Causes Disparity,Neighbourhood Caused by Group,Friends and Family,Friends and Family Reliability,Friends and Family Relevance,Friends and Family Privacy,Friends and Family Volitionality,Friends and Family Causes Outcome,Friends and Family Causes Cycle,Friends and Family Causes Disparity,Friends and Family Caused by Group,Social Life,Social Life Reliability,Social Life Relevance,Social Life Privacy,Social Life Volitionality,Social Life Causes Outcome,Social Life Causes Cycle,Social Life Causes Disparity,Social Life Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group
502,575,40-49,Bachelor,Male,,25000-50000,false,true,false,false,false,,rec,properties first,Somewhat Fair,Agree,Agree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Unfair,Neutral,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Neutral,Neutral,Unfair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Agree,Agree,Agree,Very Unfair,Agree,Somewhat Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Very Unfair,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Neutral,Very Unfair,Somewhat Agree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral
504,1408,18-29,Bachelor,Female,,25000-50000,false,true,false,true,false,,rec,properties first,Very Fair,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Fair,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Unfair,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree
510,2120,30-39,Bachelor,Female,,50000-75000,false,false,true,false,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Very Fair,Somewhat Disagree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Very Unfair,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree
565,1746,40-49,High School,Female,,<25000,false,false,true,false,false,,rec,fairness first,Fair,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Very Fair,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Very Fair,Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Agree,Neutral,Neutral,Fair,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Very Fair,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Fair,Agree,Agree,Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Very Unfair,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral
566,427,50-59,Bachelor,Male,,<25000,false,true,false,false,false,,rec,properties first,Very Fair,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Unfair,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
572,836,40-49,Bachelor,Female,,<25000,false,false,true,false,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Fair,Agree,Neutral,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Disagree,Strongly Disagree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Very Unfair,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
573,958,50-59,High School,Female,,50000-75000,false,true,false,false,false,,rec,fairness first,Somewhat Unfair,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Unfair,Somewhat Agree,Agree,,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Fair,Neutral,Somewhat Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Somewhat Unfair,Agree,Strongly Disagree,Agree,Neutral,Agree,Somewhat Agree,Agree,Agree,Neutral,Neutral,,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
576,1988,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,rec,properties first,Somewhat Unfair,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Fair,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Fair,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Very Unfair,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Very Unfair,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Somewhat Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Disagree,Very Unfair,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Fair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Disagree,Very Unfair,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Very Unfair,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree
579,783,30-39,Bachelor,Male,,50000-75000,false,true,false,false,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Disagree,Very Fair,Somewhat Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Neutral,Neutral,Very Fair,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Disagree,Disagree,Somewhat Unfair,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Fair,Neutral,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Agree,Somewhat Unfair,Agree,Neutral,Strongly Disagree,Agree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Unfair,Strongly Disagree,Disagree,Agree,Strongly Agree,Somewhat Disagree,Neutral,Agree,Agree,Neutral,Strongly Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree
582,863,40-49,Bachelor,Male,,75000-100000,false,true,false,false,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Fair,Agree,Agree,Disagree,Somewhat Agree,Strongly Agree,Agree,Disagree,Somewhat Agree,Very Fair,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Very Fair,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Somewhat Agree,Somewhat Fair,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Fair,Strongly Agree,Somewhat Disagree,Disagree,Strongly Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree
591,1885,30-39,High School,Female,,50000-75000,false,false,true,false,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Somewhat Agree,Somewhat Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Unfair,Neutral,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree
