Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Race,Race Reliability,Race Relevance,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Hospital Treated,Hospital Treated Reliability,Hospital Treated Relevance,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Admission,Admission Reliability,Admission Relevance,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Number of Discharges,Number of Discharges Reliability,Number of Discharges Relevance,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,History of Health,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
531,1996,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,hos,fairness first,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Fair,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,,Neutral,Somewhat Agree,Neutral,Neutral,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree
533,2694,50-59,Bachelor,Female,,75000-100000,false,false,false,true,false,,hos,fairness first,Very Fair,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Fair,Agree,Agree,Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Fair,Agree,Agree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Very Fair,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Fair,Agree,Agree,Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Somewhat Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Disagree
534,1636,18-29,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Somewhat Unfair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Agree,Strongly Agree,Unfair,Agree,Somewhat Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Fair,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Fair,Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree
537,528,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,hos,fairness first,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Very Unfair,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Unfair,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Fair,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Fair,Agree,Agree,Disagree,Disagree,Agree,,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Disagree,Agree
538,1050,30-39,Associate or Diploma,Female,,<25000,false,false,false,true,false,,hos,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
539,1435,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Very Fair,Agree,Somewhat Agree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Agree,Fair,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Unfair,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Fair,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Disagree,Neutral,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree
781,3574,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Fair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Unfair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Neutral,Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Very Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Fair,Agree,Agree,Neutral,Agree,Agree,Somewhat Agree,Agree,Neutral,Neutral,Agree,Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Neutral
783,759,60-69,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Unfair,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Fair,Somewhat Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Unfair,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Very Unfair,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Unfair,Agree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Fair,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree
786,547,30-39,Graduate,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Very Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,,Disagree,Somewhat Disagree,Neutral,Very Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Unfair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral
787,723,50-59,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Very Unfair,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Very Unfair,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Neutral,Agree,Very Fair,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree
788,453,40-49,Associate or Diploma,Female,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Unfair,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Very Fair,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Disagree
791,337,18-29,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Fair,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Very Unfair,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Very Unfair,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
792,464,30-39,Associate or Diploma,Female,,50000-75000,false,true,false,false,false,,hos,fairness first,Somewhat Unfair,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Strongly Agree,Agree,Very Unfair,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Fair,Agree,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Neutral
796,848,40-49,High School,Female,,>100000,false,false,false,true,false,,hos,properties first,Very Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Agree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree
797,533,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Fair,Agree,Agree,Somewhat Agree,Agree,Agree,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Disagree,Somewhat Agree,,Somewhat Fair,Agree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Disagree,Disagree,Fair,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Fair,Agree,Agree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Fair,Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree
798,314,40-49,High School,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Unfair,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Unfair,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Fair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree
800,1912,40-49,High School,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Very Unfair,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Very Unfair,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Agree,Unfair,Somewhat Agree,,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Very Unfair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
801,516,50-59,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Unfair,Strongly Agree,Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Neutral,Somewhat Fair,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Very Unfair,Agree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Fair,Agree,Agree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Neutral
