Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Employment,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,History of Health,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
552,654,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,ins,properties first,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,,,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Unfair,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Unfair,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Somewhat Unfair,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree
555,2551,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Agree,Somewhat Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Unfair,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Unfair,Neutral,Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral
556,521,50-59,High School,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree
557,1851,30-39,High School,Female,,<25000,false,false,false,true,true,,ins,fairness first,Somewhat Unfair,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Very Unfair,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Strongly Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Somewhat Disagree,Strongly Agree,Neutral,Neutral,Very Unfair,Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
558,497,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Very Unfair,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Somewhat Agree,Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Agree,Agree,Unfair,Strongly Disagree,Disagree,Agree,Somewhat Agree,,Neutral,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Disagree,Somewhat Agree,,Agree,Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,,Somewhat Agree,Disagree,Disagree,Fair,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Somewhat Agree,Disagree,Fair,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree
560,778,30-39,Graduate,Female,,25000-50000,false,false,true,true,false,,ins,properties first,Unfair,Somewhat Disagree,Somewhat Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Agree,Unfair,Disagree,Somewhat Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Unfair,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Somewhat Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Very Unfair,Somewhat Disagree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Somewhat Agree,Neutral
929,442,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,ins,fairness first,Fair,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Fair,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Unfair,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Unfair,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Very Unfair,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Unfair,Agree,Agree,Agree,Agree,,Strongly Agree,Strongly Agree,Agree,Somewhat Fair,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Unfair,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree
935,654,70 up,High School,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Agree,Neutral,Unfair,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Very Unfair,Agree,Strongly Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Very Unfair,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Very Unfair,Somewhat Agree,Strongly Disagree,Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Agree,Somewhat Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Fair,Neutral,Agree,Agree,Somewhat Disagree,Agree,Neutral,Neutral,Neutral
936,1007,18-29,Associate or Diploma,Female,,25000-50000,false,false,false,true,true,,ins,properties first,Somewhat Unfair,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Unfair,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Unfair,Somewhat Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Unfair,Neutral,Somewhat Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Unfair,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Unfair,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Unfair,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Unfair,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree
937,330,30-39,Bachelor,Female,,>100000,false,false,false,true,false,,ins,fairness first,Fair,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Unfair,Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Fair,Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Somewhat Disagree,Agree,Agree,Neutral,Agree,Neutral,Somewhat Agree,Neutral
