Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Employment,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,History of Health,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
552,654,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,ins,properties first,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,,,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Unfair,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Unfair,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Somewhat Unfair,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree
553,905,30-39,Bachelor,Male,,<25000,false,false,true,false,false,,ins,properties first,Very Unfair,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Disagree,Unfair,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
554,762,30-39,Bachelor,Male,,25000-50000,false,false,true,false,false,,ins,fairness first,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Very Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Very Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Very Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral
557,1851,30-39,High School,Female,,<25000,false,false,false,true,true,,ins,fairness first,Somewhat Unfair,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Very Unfair,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Strongly Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Somewhat Disagree,Strongly Agree,Neutral,Neutral,Very Unfair,Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
559,1248,30-39,Bachelor,Male,,50000-75000,false,false,false,true,true,,ins,properties first,Fair,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Unfair,Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Fair,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Neutral,Strongly Agree,Agree,Disagree,Disagree,Fair,Strongly Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Fair,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree
560,778,30-39,Graduate,Female,,25000-50000,false,false,true,true,false,,ins,properties first,Unfair,Somewhat Disagree,Somewhat Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Agree,Unfair,Disagree,Somewhat Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Unfair,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Somewhat Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Very Unfair,Somewhat Disagree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Somewhat Agree,Neutral
930,337,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,ins,properties first,Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Unfair,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Unfair,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Unfair,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Agree,Neutral,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree
936,1007,18-29,Associate or Diploma,Female,,25000-50000,false,false,false,true,true,,ins,properties first,Somewhat Unfair,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Unfair,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Unfair,Somewhat Agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Unfair,Neutral,Somewhat Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Unfair,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Unfair,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Unfair,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Unfair,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree
940,1760,30-39,Bachelor,Male,,25000-50000,false,false,false,false,true,,ins,properties first,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Unfair,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Very Unfair,Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Neutral,Disagree,Very Unfair,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Very Unfair,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree
942,1204,30-39,Graduate,Female,,<25000,false,true,false,false,false,,ins,fairness first,Fair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Very Fair,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Agree,Somewhat Disagree,Neutral,Agree,Agree,Agree,Agree,Fair,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree
