Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Work History,Work History Reliability,Work History Relevance,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Skills,Skills Reliability,Skills Relevance,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Disability,Disability Reliability,Disability Relevance,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Time Unemployed,Time Unemployed Reliability,Time Unemployed Relevance,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Reason,Reason Reliability,Reason Relevance,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Initiative,Initiative Reliability,Initiative Relevance,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group
512,2189,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,unem,fairness first,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Unfair,Agree,Disagree,Strongly Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Agree,Neutral,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Very Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Disagree,Somewhat Disagree,Very Unfair,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Unfair,Neutral,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Disagree,Disagree,Neutral,Agree,Somewhat Disagree,Neutral,Disagree,Disagree
513,1930,50-59,Graduate,Female,,75000-100000,true,false,false,true,false,,unem,properties first,Neutral,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Strongly Disagree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Very Fair,Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Fair,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Very Unfair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral
515,2035,30-39,High School,Female,,75000-100000,false,false,false,true,false,,unem,fairness first,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Somewhat Agree,Neutral,,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Unfair,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Disagree,Disagree,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Agree,Strongly Agree,Strongly Agree
519,3068,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,unem,fairness first,Very Unfair,Strongly Agree,Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Neutral,Very Fair,Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Very Fair,Neutral,Neutral,Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
520,1650,60-69,Bachelor,Female,,<25000,false,false,false,true,false,,unem,fairness first,Somewhat Fair,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Unfair,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Unfair,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Agree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Disagree,Fair,Agree,Somewhat Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Fair,Somewhat Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
634,689,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,unem,fairness first,Somewhat Fair,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Strongly Disagree,Neutral,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree
635,1742,40-49,Graduate,Female,,>100000,false,false,true,false,false,,unem,fairness first,Somewhat Fair,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Somewhat Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Fair,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Agree,Disagree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Fair,Somewhat Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Fair,Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Unfair,Neutral,Disagree,Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Very Unfair,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree
637,715,40-49,Associate or Diploma,Female,,>100000,false,false,false,true,false,,unem,properties first,Somewhat Unfair,Agree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Strongly Agree,Unfair,Agree,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Agree,Fair,Somewhat Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Fair,Disagree,Agree,,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Disagree,Very Fair,Disagree,Somewhat Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Fair,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Very Unfair,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Very Fair,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree
638,993,30-39,High School,Female,,25000-50000,false,false,false,true,false,,unem,fairness first,Neutral,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Very Unfair,Somewhat Agree,Strongly Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Very Fair,Somewhat Agree,Strongly Agree,Agree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Very Fair,Agree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Fair,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Fair,Agree,Disagree,Somewhat Agree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Agree,Somewhat Agree,Somewhat Fair,Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree
639,553,30-39,Associate or Diploma,Female,,<25000,false,false,false,true,false,,unem,fairness first,Unfair,Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Unfair,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Unfair,Neutral,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Fair,Agree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Very Fair,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Very Unfair,Disagree,Neutral,Strongly Agree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Very Unfair,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Somewhat Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Agree,Neutral
