Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.8113619227144204,0.0002746707261419763,,0.9119557216771418,,,,,,
All Domains,0.6920056550424128,0.0003322424163662402,,,-0.11584165611711922,-0.007698659925256407,0.4923123989144227,-0.08930203481982352,-0.2621997073268347,-0.01225090687242344
All Domains,0.7194938737040527,0.0003088457588390884,0.3429691578844102,,,-0.01251356266168196,0.48942236380098353,-0.06210442717857085,-0.2750491218681564,-0.0072671265831557325
All Domains,0.7216861451460886,0.00033201195718879226,0.33722604691706465,,-0.10228868922203531,,0.4804544967411767,-0.04744242606003642,-0.27411710497725345,-0.004640462345276599
All Domains,0.6683656927426955,0.00033892640269477187,0.35821856325740736,,-0.12946686364638746,0.0678835386593238,,0.05694059119847977,-0.3011113220345306,0.04749181002424397
All Domains,0.721181903864279,0.0003206733776611227,0.341969703973804,,-0.10615711776332264,-0.004530631330363954,0.47334690978347144,,-0.2986318771177828,-0.00651876595283974
All Domains,0.7165070688030162,0.00032777456436080095,0.3323973655105633,,-0.10341751682227228,0.009483260731601769,0.4865502886826902,-0.14507442623437491,,-0.15515669369576582
All Domains,0.7223261074458058,0.000336215811771395,0.33718483713383,,-0.10200245324555636,-0.003251086167358645,0.48080063960283564,-0.04743144250791379,-0.2775890616266433,
All Domains,0.6955296889726674,0.0003400496047478727,,,,-0.01819807190117848,0.5024436023942366,-0.10676736740477918,-0.2656216717503623,-0.013893136748580243
All Domains,0.6926465598491989,0.0003434534896675242,,,-0.11663777661362501,,0.49088946894123425,-0.08982187063204257,-0.26140724902751994,-0.012400817764638253
All Domains,0.6404806786050896,0.0003926071079144019,,,-0.1471667308756856,0.05930269929599754,,0.015165307335394815,-0.28985474961919416,0.0397805494525153
All Domains,0.6942742695570217,0.0003286661170187394,,,-0.12404448760311834,-0.010612535678433217,0.47809182442993936,,-0.3079929399372433,-0.01711871653296059
All Domains,0.6885532516493873,0.00034488660327107625,,,-0.11995261571685534,0.002041842951989288,0.4978313536449618,-0.1816563535347554,,-0.15737617719415728
All Domains,0.6921178133836003,0.00033512171430643677,,,-0.11592664899362164,-0.007832523432748572,0.49160598583133075,-0.08988029823108916,-0.27038025723970377,
All Domains,0.7196286522148917,0.0003210608009652801,0.34349555250628666,,,,0.48694495008850525,-0.06300358964426937,-0.27324863036626396,-0.0075912681969208485
All Domains,0.6635777568331762,0.00036120744212737096,0.3675017880963665,,,0.0602133070860104,,0.042105235980460336,-0.30739596818723064,0.04836803225806057
All Domains,0.7201215834118756,0.0003195134029352288,0.34978013943458286,,,-0.01479274674083935,0.4792777496898655,,-0.3070126486519612,-0.009693895092871241
All Domains,0.7221253534401508,0.00031939618334392495,0.3394480642919912,,,0.0011666619170849198,0.49561847191107683,-0.1592522655057992,,-0.15899300316280965
All Domains,0.7200047125353439,0.00031615724505505265,0.34303025322984554,,,-0.012601648631262384,0.4889616324741422,-0.06236680463936185,-0.2799192993979607,
All Domains,0.6658557964184731,0.00035319463756946384,0.3549746157085988,,-0.12469582421518922,,,0.06471059040074496,-0.30931612525781077,0.05102686879766239
