Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.8131932139491047,0.0002894210270556814,0.09608906427638038,0.7901907903878108,-0.10578160010478975,-0.03561363802634714,0.19899567334696205,0.017611484299504238,-0.18552027781361527,-0.02942191164211051
All Domains,0.8115174363807729,0.0002802211511863529,,0.8189629468342043,-0.11034639748551309,-0.03972286472671257,0.19567093762913684,0.004659703741842814,-0.17921453342955787,-0.03087152512059083
All Domains,0.7213025447690857,0.0003179485769338538,0.33711713869713894,,-0.10195261674047212,-0.0032105708850771754,0.4810868061706906,-0.04725373854209987,-0.2745373211952922,-0.004581408518505134
All Domains,0.8137719132893496,0.0002592183993729294,0.10395052580852503,0.7887363403577029,,-0.044227512624818624,0.2042753782147433,0.0022516068398881874,-0.1890615097593279,-0.02696296053009339
All Domains,0.8136060320452402,0.0002733277071141705,0.09897116755146149,0.7884730129273866,-0.10923364308185772,,0.19218120010239376,0.016772865076578554,-0.18134995581844468,-0.030664688671231777
All Domains,0.8141310084825636,0.00027316800135916404,0.0874213957740205,0.8677953340353026,-0.11182463906497121,-0.011712024189353845,,0.056601053707674466,-0.1784650002566295,-0.015099971000714104
All Domains,0.8136145146088595,0.00027610276346018176,0.09396333196779613,0.788979760722071,-0.1042296959611896,-0.03541606087138819,0.2020441946652828,,-0.177111861347972,-0.028386737273633132
All Domains,0.815339302544769,0.00028573868262448467,0.08817834059581893,0.8015387843246696,-0.10841117333263435,-0.027772013537577578,0.1950300066821183,-0.04625742145415989,,-0.1301920244441498
All Domains,0.8130772855796418,0.0002681931071896217,0.096391803100106,0.7897799781318936,-0.10534503331213023,-0.036082908620405016,0.19749673717041968,0.0161287985928315,-0.20501823573450362,
All Domains,0.6565815268614515,0.0003280648577140311,0.3784085297488988,,,,,,,
All Domains,0.8120056550424128,0.00026365750560358503,,0.9119557216771418,,,,,,
All Domains,0.5825777568331763,0.00033774407398801906,,,-0.17022285848534552,,,,,
All Domains,0.5818934967012253,0.0003458710028745675,,,,0.053810115304356684,,,,
All Domains,0.6748784165881243,0.0003122724593820368,,,,,0.42888914527008154,,,
All Domains,0.5962676720075402,0.00041024492945276344,,,,,,-0.15631937243528185,,
All Domains,0.6372158341187559,0.0003533221733793198,,,,,,,-0.2705164905033061,
All Domains,0.6086182846371349,0.0003773758531324635,,,,,,,,-0.16949855915551862
Within Bail,0.8187222222222221,0.0007060858298921478,0.2116232229565532,0.8702755751474052,-0.19720836386992116,0.12299038586698605,0.168187752132346,-0.127375657352988,0.00758199002507237,-0.1776301001921169
Within Bail,0.82085,0.0006707414261303636,,0.9373326978525975,-0.2520954904841078,0.11873911705196732,0.13960151710783944,-0.11339561618396037,0.0193784038475736,-0.19291750269386418
Within Bail,0.7317055555555555,0.0007827421331290213,0.43888123570996784,,-0.24313532030393795,-0.004221683822943795,0.543149481779279,-0.06728949782086978,-0.19749950379420364,-0.08013079350244866
Within Bail,0.8193333333333332,0.0006595849727570392,0.26140141558295055,0.8802353199044688,,0.13206570935802026,0.1882145992931445,-0.16972734206291037,0.006896538890563624,-0.14585437406215632
Within Bail,0.8195888888888889,0.000662942457969862,0.20723107895196388,0.8434897904414037,-0.2051001373935776,,0.20855275792485178,-0.12406686412816986,-0.008894651346446819,-0.17723977351522105
Within Bail,0.8193166666666666,0.0006926201374155381,0.19252255259203274,0.9374864270035238,-0.21147823754279124,0.15908443493514363,,-0.1082041912054257,0.008428429817686971,-0.15336585984235598
Within Bail,0.8200777777777778,0.0006867863588214002,0.2053516640243743,0.8603665477330031,-0.22140630885136559,0.12044795833437286,0.1532922711085607,,-0.06503747750781012,-0.16910221361002967
Within Bail,0.8192944444444444,0.0006804653743713274,0.2118129525001288,0.869458311281157,-0.1971969460011882,0.12272091401109246,0.1680691923011222,-0.12501693572461173,,-0.17302657327158788
Within Bail,0.82675,0.000663395540402362,0.2204010034502039,0.8579192077036064,-0.18051458016326588,0.12200897384636461,0.15204523410534088,-0.12009275867178723,-0.11623650958904785,
Within Bail,0.7011722222222222,0.0007869409350736266,0.5028460376099275,,,,,,,
Within Bail,0.81955,0.0006205362852651837,,1.0054573420258681,,,,,,
Within Bail,0.6619666666666667,0.0007921024650915392,,,-0.44530153691688906,,,,,
Within Bail,0.5587222222222221,0.0008292004437076602,,,,0.07948024145198919,,,,
Within Bail,0.6801722222222223,0.000814732133245504,,,,,0.5148665036175019,,,
Within Bail,0.5531388888888888,0.000851709940885775,,,,,,-0.10425187927921002,,
Within Bail,0.577461111111111,0.0008357812819984624,,,,,,,-0.2323433701786423,
Within Bail,0.5641944444444443,0.0009715959976931516,,,,,,,,-0.14693639712157228
Within Unem,0.7889533678756475,0.0007164755391787573,0.055987294223592665,0.7602016307676129,-0.14208230817473907,-0.07432692222868494,0.1210865765273787,-0.009340979137323626,-0.029741757942497764,-0.18843185098874032
Within Unem,0.7891709844559585,0.0007170327594854236,,0.766570486877637,-0.14986287176553276,-0.08085029994107067,0.12257017734794698,-0.02017214475113091,-0.028558088669036426,-0.18477407760148215
Within Unem,0.6465803108808291,0.0008177145341943304,0.14005461054549442,,-0.22814593771358976,0.02168850727389732,0.29719155079159343,-0.11338025404907881,-0.18347310369379732,0.0015056247133377935
Within Unem,0.7916476683937822,0.0006732949186372959,0.08197665138777452,0.7748307399402274,,-0.08806858101235175,0.14315504900006995,-0.028523402693334563,-0.03454068335019627,-0.202102296692866
Within Unem,0.7928704663212434,0.0007115308868294855,0.07017645746461568,0.7497743723456569,-0.15026802598159006,,0.12185113040972469,-0.00044400669704033544,-0.005324737623264353,-0.19309053384114896
Within Unem,0.7893523316062174,0.0006884298361555856,0.05885663552611583,0.7888989251438909,-0.15876678457284646,-0.07516216934463611,,0.024222198405566997,-0.026036839917333646,-0.17791116066741675
Within Unem,0.7921139896373056,0.0007127703411601555,0.05769141689019922,0.7611052245909616,-0.14294181110893606,-0.07368625549845427,0.11907882451520287,,-0.03491988858095133,-0.18787599784466966
Within Unem,0.7920880829015543,0.0007311904502273206,0.055613148024974614,0.7629669546659752,-0.14255231598315646,-0.07037769950538841,0.12040086050511992,-0.020560780488602524,,-0.20442005450106654
Within Unem,0.7880362694300517,0.0006962075305558449,0.04387552590168268,0.7318148577453616,-0.15125179864537577,-0.07929969159762401,0.11050010439546956,0.0010765039957019867,-0.16922813447986718,
Within Unem,0.5674404145077722,0.0011943975423131996,0.25545479870520027,,,,,,,
Within Unem,0.800082901554404,0.0006624284811498076,,0.8045993898486316,,,,,,
Within Unem,0.6349119170984456,0.0008647792945829294,,,-0.35893989637560547,,,,,
Within Unem,0.5053108808290155,0.0012084627003417772,,,,0.07122967921558554,,,,
Within Unem,0.591455958549223,0.0008078334618460105,,,,,0.26227589136582147,,,
Within Unem,0.5786735751295339,0.0007797676616692995,,,,,,-0.23047445795791324,,
Within Unem,0.5825803108808292,0.0008000442616752068,,,,,,,-0.255461197642747,
Within Unem,0.5249896373056995,0.0010011403871690201,,,,,,,,-0.15608464628762808
Within CPS,0.799,0.0007510835530465875,-0.06731375005361456,0.6872653567410892,-0.03248094322364486,-0.06022532459510505,0.03621749346089082,-0.007159579208034751,-0.17874604028852742,0.06818982397110078
Within CPS,0.8020483870967742,0.000703775030798509,,0.663157930957429,-0.04565953276132627,-0.045975469143206237,0.04340747359556142,-0.010956221247431036,-0.17399030005233151,0.0638294926863641
Within CPS,0.73047311827957,0.0007819157830724315,0.1945728301503309,,-0.07669396049957625,0.06714072126974134,0.24920722539520826,-0.05092446787100825,-0.1924102690598932,-0.016050842275581907
Within CPS,0.8000752688172043,0.0007352847484826938,-0.0766156773519875,0.6896168880493299,,-0.06842812011206106,0.03843539372740757,-0.013599606951641975,-0.1756278559595808,0.07079435163840148
Within CPS,0.801494623655914,0.0007059030282576807,-0.04921797436233202,0.6726085563142994,-0.047270612868675455,,0.025719548069169016,-0.0055012835848685165,-0.1826164025990021,0.0573216792313908
Within CPS,0.8022634408602151,0.0007508746328924987,-0.07221704978465926,0.7003407767479265,-0.034527301642866236,-0.054746889665503805,,0.006674038627051706,-0.18129592624479518,0.06481172523908782
Within CPS,0.8003387096774193,0.0007282233272080908,-0.06758586686293046,0.6877635689549583,-0.03317200848170956,-0.06011078623647751,0.03463445376162265,,-0.1822063202111691,0.06648481481183728
Within CPS,0.7994516129032256,0.0007483007336494801,-0.05791355432513503,0.6858225615375636,-0.023952687818507786,-0.06694022269164253,0.04421927187241569,-0.10105467724893079,,0.006574195318695449
Within CPS,0.7989301075268816,0.0007428093631785111,-0.06307827410932706,0.6797101765462005,-0.036401237929953895,-0.05216389408593686,0.031124279755103044,0.015249114821079298,-0.15049036175621616,
Within CPS,0.7236989247311828,0.0007501841182606374,0.17817423440655136,,,,,,,
Within CPS,0.8096666666666668,0.0007123595445462976,,0.6794938146463007,,,,,,
Within CPS,0.7238118279569892,0.0007127445519489619,,,-0.031987769403631426,,,,,
Within CPS,0.7226881720430108,0.0007066749143180647,,,,0.030058270159111996,,,,
Within CPS,0.7235645161290322,0.0007501219228292659,,,,,0.22843901414801684,,,
Within CPS,0.7221935483870968,0.0007250813702907687,,,,,,-0.1421089482670869,,
Within CPS,0.7211666666666667,0.0007567104707425562,,,,,,,-0.21304994189088516,
Within CPS,0.7235752688172045,0.0007438793088567442,,,,,,,,-0.16422830515426065
Within Hos,0.7677,0.0008295234899214384,0.33219492430125275,0.4948868548279251,0.0071473548086380964,0.0409943413550076,0.30252575468994153,0.24527542425904028,-0.3849422041148661,0.11830554945436544
Within Hos,0.7613000000000001,0.0008712712310196218,,0.563763577303863,0.008814542896422077,0.0393861642234074,0.2895249505011681,0.16764842026713347,-0.36222552718288936,0.09015040085097968
