Prediction,Accuracy,Error,Reliability,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.6866753246753247,0.00035874907361645826,0.26938298982482495,-0.007652189306925072,0.06883325447466176,0.4568574303971585,-0.04681399569122278,-0.2387247985779486,0.05194109164972144
All Domains,0.6752456709956709,0.00037156619954027806,,-0.031895960431143865,0.08162247673554182,0.4699991058636912,-0.07142527349854007,-0.2272789745040281,0.05796424747849942
All Domains,0.6880995670995671,0.00035675935439080864,0.27020410453123606,,0.067597963609092,0.4568968340258116,-0.04812712129425454,-0.23949824016902768,0.05160102657877706
All Domains,0.6839274891774891,0.00035762068027805183,0.2740777788425074,0.004832981157248906,,0.4641634058536065,-0.04653458163411567,-0.24856233252661367,0.06125589208850456
All Domains,0.6530411255411256,0.000397760738614688,0.29211111721454636,-0.006502782013182855,0.10522183084609346,,0.0917108267019161,-0.27168026716137506,0.0819674780459746
All Domains,0.6890335497835498,0.0003592654837078132,0.2723449411376805,-0.011939319832292091,0.06862263955867302,0.44674769593177305,,-0.2596986005142513,0.04919795525143429
All Domains,0.6906103896103896,0.0003537644774768743,0.2628816894943705,-0.017683487008194988,0.08037194469046191,0.4649594711538554,-0.13665587216877798,,-0.07399158304585403
All Domains,0.6894361471861472,0.00036219935555116285,0.27006510664540895,-0.0064196212438398645,0.07219174649463261,0.45926880817207527,-0.04378499034811017,-0.2058814861610652,
All Domains,0.6349935064935065,0.00036974988717655,0.29054985131118233,,,,,,
All Domains,0.5794015151515152,0.00034895217729394496,,-0.03359355876821592,,,,,
All Domains,0.5812142857142858,0.0004081399085809343,,,0.11635323530181932,,,,
All Domains,0.6653993506493506,0.00040298474566143397,,,,0.42429928308290316,,,
All Domains,0.5797575757575758,0.00035293323202074354,,,,,-0.053322005149784114,,
All Domains,0.6105075757575757,0.0006943977981558441,,,,,,-0.1629798107073416,
All Domains,0.5805,0.0003701980315632136,,,,,,,-0.055693489006901326
Within Bail,0.715032786885246,0.0008106019807504952,0.424150697946646,-0.1344288947770853,0.09758706511984067,0.46125646222055255,-0.07172208370684464,-0.14247687080719548,0.08105905999594248
Within Bail,0.6697978142076503,0.0009156674861859718,,-0.16629847145447677,0.14176662139426338,0.5069028365325584,-0.11072889245088857,-0.12666501253134402,0.1266833063956202
Within Bail,0.7194754098360656,0.0007958715084614601,0.4308595038264178,,0.062257818155490086,0.46369340309626617,-0.10237915997112768,-0.17236077404146222,0.08908303987336356
Within Bail,0.7167759562841529,0.0007808955688833644,0.4341058876446996,-0.10879951580080231,,0.48556750704517354,-0.09502288716865442,-0.14330102992169502,0.10651918281810212
Within Bail,0.6827103825136612,0.0008782992935616943,0.46725750409882283,-0.1448423552909812,0.18784904013927128,,0.047665934459138914,-0.15019470805147536,0.03609926351016014
Within Bail,0.7217704918032787,0.0008261637619814424,0.42811362753736226,-0.14395981598462776,0.10708768073236564,0.4480418011242809,,-0.1761579817467505,0.07619435211969325
Within Bail,0.7126448087431695,0.0007931156966524114,0.42179932868040027,-0.14891090075343533,0.09815784360714015,0.46315814294239,-0.12451191701102585,,-0.005442911834611352
Within Bail,0.7172896174863388,0.0008212897134153012,0.42811230342780665,-0.13693722733865016,0.10752299969355894,0.4576421858911325,-0.06737756513855583,-0.09293382150249326,
Within Bail,0.6837049180327869,0.0007679846786593818,0.49242403896291675,,,,,,
Within Bail,0.5439344262295082,0.0008822127160234934,,-0.14564329024393471,,,,,
Within Bail,0.5830655737704918,0.0009473218220627046,,,0.18609311885780955,,,,
Within Bail,0.6605355191256831,0.0008085032690821637,,,,0.496469368068133,,,
Within Bail,0.5330054644808743,0.0008593168374523917,,,,,-0.09630845085471457,,
Within Bail,0.5374316939890712,0.0008934757807759734,,,,,,-0.10544207344606968,
Within Bail,0.5204590163934426,0.0011198915218214264,,,,,,,-0.01345928332866591
Within Unem,0.6036195121951219,0.0008674847030119965,0.18058039263951536,-0.054751578641798915,0.161504803829567,0.22496954800993474,0.02222971596480644,-0.3973403080577585,0.17564403762652767
Within Unem,0.5956536585365853,0.0008172324007379128,,-0.07813428100507853,0.1491761749266121,0.24298745968289648,0.018715462153403615,-0.38620061874032574,0.16990359608487407
Within Unem,0.6049560975609755,0.0009292142616649936,0.18837671951370075,,0.1559988278533027,0.2365034667868731,0.007670322862917789,-0.40359072991717543,0.17475335614861356
Within Unem,0.5856439024390243,0.0008630846283501828,0.16686534302881756,-0.03687038380250523,,0.26004103541888846,-0.020840165397334277,-0.4196971077367009,0.20718829924462906
Within Unem,0.6116097560975609,0.0008839697174422161,0.1955094075120438,-0.082328872697375,0.18896544901996049,,0.11511240742624262,-0.39950603934096585,0.17682016528597744
Within Unem,0.6073999999999998,0.0008902006539981197,0.18040584053580214,-0.051650701924684135,0.1587568617718395,0.23300349584905056,,-0.38841244925810225,0.17585194184862907
Within Unem,0.5898487804878048,0.0009538634384787604,0.1705141351194277,-0.0714715625395204,0.1792934266238686,0.22544379022363273,-0.10891295593406827,,-0.04628444064910446
Within Unem,0.6056439024390242,0.0008947995564695796,0.17762479485288488,-0.052801807214415304,0.1778887202966929,0.22690638700552487,0.024030184411849887,-0.2709046441487887,
Within Unem,0.555180487804878,0.0009619227911193045,0.18388872274826026,,,,,,
Within Unem,0.521560975609756,0.0008891550283731501,,-0.12554829751816596,,,,,
Within Unem,0.5832731707317073,0.0008463247353384444,,,0.1903305704566911,,,,
Within Unem,0.5473756097560974,0.0008987399600486475,,,,0.2093420229195974,,,
Within Unem,0.522609756097561,0.0010981944888042098,,,,,-0.0958311868576411,,
Within Unem,0.5975121951219511,0.000890791642351464,,,,,,-0.23775043693714812,
Within Unem,0.516609756097561,0.0012005010013203343,,,,,,,-0.06571084327762834
Within CPS,0.7720915032679739,0.0009569425780238593,0.5012414133568014,-0.06681430591165184,0.15278182153514844,0.6602626126738188,0.047794365590631376,-0.149952408396664,-0.004766323005916301
Within CPS,0.7389607843137254,0.0008271859970832519,,-0.12983574696093378,0.2857008894627199,0.5616031714407406,0.05132458101931092,-0.20880986541534416,-0.04533848443293138
Within CPS,0.7707450980392156,0.0008925068353017323,0.5105628909869165,,0.14432833911355383,0.6477101126789219,0.05236885000745664,-0.15838082602351566,-0.014237451860956322
Within CPS,0.7648692810457517,0.0008567218082185136,0.5624476172851406,-0.045821090076212004,,0.7078277754455109,0.06548801812139958,-0.14056730166542744,3.256976949634344e-05
Within CPS,0.7002222222222222,0.000963199174136077,0.323068544927029,0.033938677044073405,0.32768912891785984,,0.19407490973230254,-0.38267358156966547,0.07918467610017163
