Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.7439931972789116,0.00032441973100524847,,0.6544568316047045,,,,,,
All Domains,0.6973854875283446,0.0003641103079037618,,,0.06185708048956805,0.1310967258092764,0.46345760526916907,-0.227060548749019,-0.15437764117406402,-0.020533600949968443
All Domains,0.7048696145124717,0.000369823771452582,0.2173525679602925,,,0.15269071613247973,0.4338937395650274,-0.17582047386514962,-0.13409088429699206,-0.02777624212427088
All Domains,0.6995759637188208,0.00036560944691442976,0.21809075389029733,,0.10685070660621347,,0.44052616604843453,-0.17994502817409438,-0.17295210542559808,-0.011464265609069251
All Domains,0.670578231292517,0.00040006453838645613,0.2979679076842837,,0.09406434505139369,0.16379892156621273,,-0.07311271056417717,-0.1530525203300831,0.019509018812677956
All Domains,0.7066451247165533,0.0003707462307715267,0.24411690599131644,,0.05468271001873992,0.12907072155668345,0.39543517253325805,,-0.23247214433306146,-0.041265797799306586
All Domains,0.7021870748299319,0.0003595862613213608,0.23038931313719624,,0.07699621835895683,0.15107219376858458,0.4317442718161061,-0.2451645012945652,,-0.11153446357206157
All Domains,0.7103979591836735,0.0003726814558771054,0.22342711526965037,,0.07692163948319108,0.13606589204212946,0.42780786195587256,-0.19481243503844872,-0.16032825443848628,
All Domains,0.6972018140589569,0.000364693322819213,,,,0.14246753891537198,0.4648708264533621,-0.21142017032669036,-0.15058056997164568,-0.0153738266305531
All Domains,0.6857380952380951,0.0003726572861536609,,,0.08913828510424071,,0.47213245335114246,-0.21084633299583544,-0.1902342343388113,0.00255019539234354
All Domains,0.6509773242630386,0.00040492115191698884,,,0.06946435365278639,0.15625058094603508,,-0.10358508475692063,-0.17884643578163104,0.04563955421079209
All Domains,0.6883027210884353,0.0003745604325360332,,,0.03173518478220266,0.11753421523145868,0.42560250520781623,,-0.2716600676547746,-0.025131475581298992
All Domains,0.691795918367347,0.0003701665564586975,,,0.058236404453985535,0.14572068854939224,0.46599398778229306,-0.28690389804284827,,-0.10604610691386596
All Domains,0.6988446712018141,0.0003558544036064878,,,0.06102763694929313,0.12952498589560438,0.46186270837771387,-0.22735802962703844,-0.16823274424582127,
All Domains,0.6945895691609977,0.00036021704760365715,0.20673602926409967,,,,0.4468330310937304,-0.15110598231760453,-0.17389693948410473,0.002902281704216597
All Domains,0.6679671201814059,0.00036859248275610755,0.28867673577332237,,,0.1812442493328455,,-0.051623937138546704,-0.14904334116372545,0.03009578743705151
All Domains,0.7045748299319727,0.0003864399780662995,0.23729763985345537,,,0.13939958229672592,0.4004441318022608,,-0.2241195157145009,-0.03579063181465214
All Domains,0.701232426303855,0.00034855111861225224,0.22251837454504395,,,0.164488718566224,0.4349981458607178,-0.22656842163628543,,-0.10277669580909822
All Domains,0.7052460317460318,0.0003704813056773649,0.21645146729462145,,,0.15040934691010366,0.431782648594411,-0.17684963991016792,-0.15286270359742962,
All Domains,0.6537777777777778,0.0003900307784663603,0.29207392249917835,,0.12886080554997226,,,-0.05106360326501084,-0.19625467973977964,0.046478575015582065
All Domains,0.6957494331065759,0.0003534003881767164,0.23562679671940326,,0.08179083663104252,,0.4070963536672585,,-0.2594667240393958,-0.01855813196285467
All Domains,0.694107709750567,0.0003626063673601145,0.22526391996773204,,0.10756115481946679,,0.443425473534327,-0.2445535379623784,,-0.10753951004801161
All Domains,0.6999501133786848,0.0003616104454758096,0.21764178388145738,,0.106097165515116,,0.4396921593914516,-0.1803057578268943,-0.18058174020688983,
All Domains,0.669343537414966,0.00040145990970736776,0.30334344965742105,,0.08442428202110347,0.15883686631091673,,,-0.19201185698445325,0.016157481303939694
All Domains,0.6713356009070295,0.0004031413574047532,0.30495969294735503,,0.0912070132705611,0.1776543722970774,,-0.13087135578595352,,-0.06573365713224762
All Domains,0.6718344671201815,0.0003968110252129125,0.2990384228234794,,0.09517373201496034,0.1651773328087386,,-0.07239361162527999,-0.13967346293643707,
All Domains,0.6925385487528345,0.00036546673007136073,0.2683417009650906,,0.0369812701290385,0.14933910150655982,0.379728794344617,,,-0.20147093276073075
All Domains,0.7085691609977324,0.00038232319021791965,0.24254248087500457,,0.052719648618332116,0.12598458471146234,0.3921149238919936,,-0.26054617606211394,
All Domains,0.7011757369614513,0.0003705017275893187,0.2282812294482377,,0.0666462143877189,0.14899645216073207,0.4205425546450402,-0.2937990175714641,,
All Domains,0.6766247165532879,0.000368317498196517,,,,,0.47492802344708407,-0.18465209385194678,-0.18875942250304684,0.013544964979075322
All Domains,0.6475566893424036,0.0003730421167274049,,,,0.16857125004368795,,-0.0861656617573768,-0.17432658161281972,0.05229254100121963
All Domains,0.6890408163265306,0.0003932811688252289,,,,0.12384572260797025,0.4277834498087079,,-0.2651173020781929,-0.022448637193481363
All Domains,0.692700680272109,0.000358374341688385,,,,0.15602291161621065,0.4671004169722268,-0.27075797872583696,,-0.0990639924415723
All Domains,0.6985,0.00035261280408929925,,,,0.14117259153850759,0.46365950894587166,-0.21184411628438635,-0.16099667153841254,
All Domains,0.6282165532879819,0.0004659468390604113,,,0.1012082394326626,,,-0.0797226345315698,-0.22030197501132032,0.07184145898304695
All Domains,0.681577097505669,0.00035128404496417593,,,0.05754137861962172,,0.4354879721804048,,-0.2956330891918323,-0.00398930085819263
All Domains,0.6784569160997732,0.0003578843334841559,,,0.0880240137449906,,0.4763682835390334,-0.2837751780641731,,-0.10259836702875336
All Domains,0.6853412698412698,0.0003680960202899296,,,0.08929135709601385,,0.47234266832137756,-0.21078912093922125,-0.1885405990179844,
All Domains,0.6472278911564626,0.00042437882092314185,,,0.05476825976448868,0.14821602602827616,,,-0.23574412123252156,0.04251821899880644
All Domains,0.6405328798185941,0.0004061835426538929,,,0.06455526882858743,0.17274265547502038,,-0.17261923551851385,,-0.053939445883603276
All Domains,0.6533571428571429,0.00042143185357474094,,,0.07165027663472642,0.15960485203287728,,-0.10252240518400495,-0.14741116489758008,
All Domains,0.6804092970521542,0.0003701791660260807,,,0.003910086961384637,0.14062512107547517,0.4105548198977078,,,-0.21304908745953743
All Domains,0.6879455782312925,0.00035533031109789885,,,0.030738220777417453,0.11557980232856595,0.42343330817280556,,-0.28859103735217884,
All Domains,0.6873888888888889,0.000358305603079081,,,0.047997050997061676,0.1438185233622173,0.4551110445650603,-0.3325899069501728,,
All Domains,0.6368321995464853,0.000381850309112432,0.2766536295657847,,,,,-0.015710719387332917,-0.19540392542767393,0.06558838007046217
All Domains,0.6920793650793651,0.0003670413285412624,0.22408774690988945,,,,0.41655654568608363,,-0.24884505847086696,-0.0068730936254002535
All Domains,0.6945691609977325,0.00036854100249978527,0.21311417227062088,,,,0.44940306689832193,-0.21590910242911776,,-0.0935307356462661
All Domains,0.6944126984126985,0.000355480635877023,0.20681622497305274,,,,0.4470699143097552,-0.15098700051874225,-0.17192776529675738,
All Domains,0.6654126984126983,0.0003755941786289407,0.2932070925602111,,,0.17620200364216473,,,-0.17763181933832603,0.02676346984287078
All Domains,0.6712380952380952,0.0003880336551490468,0.29532713857519494,,,0.19395963818516376,,-0.10831857412312494,,-0.05377058349581507
All Domains,0.6687154195011338,0.00039547782271571075,0.29011147387678554,,,0.18370598157262744,,-0.05007961275423063,-0.1281680346765215,
All Domains,0.6945895691609977,0.0003637681495376141,0.2623880078907107,,,0.1556036714460399,0.38331803886322535,,,-0.1939862718712008
All Domains,0.7059603174603175,0.00036754011717014074,0.23616850400188144,,,0.13636685190345718,0.39735578294694446,,-0.24882100890119183,
All Domains,0.6998526077097506,0.00033820327672741293,0.22122799215450611,,,0.16068536053996005,0.4240111160676996,-0.2744214227049973,,
All Domains,0.6503004535147393,0.00038600019711465815,0.29573493764891184,,0.12103522135541504,,,,-0.2226572817649396,0.043538990935312806
All Domains,0.6526179138321995,0.0003799157174388081,0.3009684170770231,,0.1280591006311724,,,-0.12493863212803924,,-0.06115155514048058
All Domains,0.656312925170068,0.0003952806410546099,0.29467963287954857,,0.13228927732939091,,,-0.04885440675733708,-0.16510317161329524,
All Domains,0.6929659863945579,0.0003543356093948225,0.2617134735707557,,0.06498922863067139,,0.39165529773467617,,,-0.1964943417176353
All Domains,0.69640589569161,0.0003631937397757299,0.23493750459582594,,0.08055281575111427,,0.4055303600952277,,-0.2719781623609939,
All Domains,0.692439909297052,0.0003634258602305021,0.2232293027326037,,0.09644657493074427,,0.4329630895004469,-0.2913042914363723,,
All Domains,0.6663083900226758,0.00040507109735673033,0.3215617688809865,,0.06721312015214044,0.17459484906564046,,,,-0.12050333002583438
All Domains,0.6705850340136056,0.00039762966935144085,0.3042092517737192,,0.08542193263837462,0.16002861479541317,,,-0.1806494773818988,
