Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.7546269841269841,0.0003285741367076189,-0.06549645146057818,0.5647532205332196,0.038701644641340904,0.10864298704653877,0.26288362126486736,-0.0825183791829831,-0.06861656502520934,-0.05718236707140663
All Domains,0.755202947845805,0.00032765183224415135,,0.5310176853671529,0.044070566636111114,0.11185206603095495,0.26479169481022546,-0.08135028029617614,-0.06946687927597173,-0.05777592655248769
All Domains,0.7088503401360544,0.00036217632416637915,0.2247628959346434,,0.07856280516827176,0.1386290290136489,0.4303557529924558,-0.19392643030407805,-0.13658482739851635,-0.03525784421580842
All Domains,0.7538231292517007,0.00033279642263101976,-0.07101358909330527,0.5691579316904324,,0.11521927222987084,0.2635078377829238,-0.07243707321769172,-0.06690431077013381,-0.05372470405664604
All Domains,0.7545328798185942,0.0003311381612839375,-0.0757053982812486,0.5746558912710588,0.05971572544060983,,0.27065795247639807,-0.07083704890434403,-0.09476655684164934,-0.03976854898529648
All Domains,0.7502959183673469,0.00034986299708054876,-0.07718139656791322,0.6713167907737081,0.04134432389133012,0.12179391157159616,,-0.002233660026661052,-0.06088067327078695,-0.031319930073790976
All Domains,0.7548321995464853,0.00032246669601611837,-0.06432729144806393,0.578372224970594,0.02760711173104983,0.10440729703332413,0.24554731333335442,,-0.10665041042186446,-0.0607905914027256
All Domains,0.7552777777777778,0.00033139643002543033,-0.06614777060325319,0.5705989353822003,0.037438977065838874,0.11441812155400283,0.26163002426620036,-0.10789212291015993,,-0.09424861264040466
All Domains,0.7558560090702947,0.00034184318514816794,-0.06587232416329913,0.5624063382850913,0.03614499643555763,0.10464280733322297,0.2592154610501655,-0.0849908198298462,-0.10641634960154239,
All Domains,0.6449795918367347,0.0004682775798022675,0.3042556953090871,,,,,,,
All Domains,0.7433786848072561,0.00032212942169628026,,0.6544568316047045,,,,,,
All Domains,0.594092970521542,0.00038062594432692205,,,0.03289129961491141,,,,,
All Domains,0.6095997732426304,0.00047505218213766883,,,,0.16048720278650097,,,,
All Domains,0.6725521541950114,0.0003556132812566045,,,,,0.37383342679459763,,,
All Domains,0.6041848072562359,0.0005832799258706841,,,,,,-0.15175713005686745,,
All Domains,0.6128287981859409,0.0005066663394754819,,,,,,,-0.1877142390664109,
All Domains,0.593407029478458,0.00036521408398622877,,,,,,,,-0.09928530340491554
Within Bail,0.7256369426751593,0.000856052814072294,0.027791020310157347,0.5674730958307724,0.04838775967164156,0.05459424100568079,0.21150128127389553,-0.2517288819031532,0.16033624209656294,-0.13068893305891993
Within Bail,0.7292356687898088,0.0008403131704328032,,0.5854518844873717,0.04594267932359564,0.055527512184924334,0.20934667776037158,-0.2514432994866935,0.159361723314467,-0.12691064599154792
Within Bail,0.6874331210191083,0.0009281219518880752,0.3395531551020617,,0.03947408653061071,0.04929972200386659,0.4109547209157888,-0.34017805990365146,0.10468194184087383,-0.12164777436360334
Within Bail,0.727248407643312,0.0008630673531435317,0.02156639168501568,0.5646727869514913,,0.06505025488837085,0.21884460860775126,-0.24146774795313328,0.16017846628386317,-0.12017922157616283
