Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.8004224270353303,0.00035653780982846403,,0.8751304625650451,,,,,,
All Domains,0.7176221198156681,0.0003979103011964843,,,0.029825697224735184,0.09471158545060576,0.5253794942890609,-0.0776507917222626,-0.2792320257642039,-0.0019828617495587573
All Domains,0.7437972350230414,0.0004185333561163077,0.35625947810133496,,,0.09294633839195666,0.4935248233652615,-0.08139009250951655,-0.22038856123893244,-0.02686882188001566
All Domains,0.743321044546851,0.00041639280678750385,0.3577462356993861,,0.04575829618923975,,0.5096311084782621,-0.08720359553521465,-0.22495491253808517,-0.01298737328564683
All Domains,0.7010752688172044,0.0004167942328358467,0.4094810941417108,,0.03335102420389011,0.15339409823604636,,0.04677576381479102,-0.2171249114980526,-0.016767077849881375
All Domains,0.7430107526881722,0.0004131857539558051,0.3548529000122151,,0.028419980093726167,0.08934198315927432,0.47771098985199983,,-0.2667394311747626,-0.03357742172104459
All Domains,0.7350460829493088,0.0003977896622371879,0.37855834410054817,,0.027735182561298644,0.0910137320574334,0.4886939862744659,-0.18380413219989608,,-0.12570271372535388
All Domains,0.7442135176651306,0.000404501833085017,0.35476901030659874,,0.03296352478579928,0.08587923121236592,0.49324313436442463,-0.08703007742274849,-0.23697222186690484,
All Domains,0.717362519201229,0.00041438729609567847,,,,0.09927845830665628,0.5255529156864681,-0.07454623442053912,-0.2778618755381037,-0.0011055767089774233
All Domains,0.7153609831029187,0.0004346753116395684,,,0.044509398424506484,,0.5403330065144084,-0.07847804961475749,-0.2813272673174017,0.015131530325547676
All Domains,0.6674193548387097,0.0004231826667069374,,,0.02988829869880997,0.15378699815070088,,0.06639623712737493,-0.275001300423287,0.007954940854101013
All Domains,0.7168556067588325,0.00041602301271700167,,,0.025514235596448588,0.09493956609443344,0.5108361294774826,,-0.3206916737529411,-0.00695935659844713
All Domains,0.7147019969278033,0.00043219463363609954,,,0.021504122155104388,0.09607563122763024,0.5217296557931607,-0.20120266449476382,,-0.12882092393656316
All Domains,0.718247311827957,0.00041119666561676186,,,0.02979377908761825,0.09452202497168662,0.5253764372016403,-0.0777853494904414,-0.2803414218688581,
All Domains,0.7422457757296467,0.00040599823150955233,0.3579104845697084,,,,0.5110647824763491,-0.0826098060593877,-0.2233148375522202,-0.010168664821861871
All Domains,0.7053195084485406,0.00040529145411002194,0.4092452556820393,,,0.15765339159349886,,0.05033770690752747,-0.2159348139453341,-0.01495765369872044
All Domains,0.744136712749616,0.0004018944092618825,0.35474592097151925,,,0.09321339536490598,0.47855957489425505,,-0.2643228380298268,-0.032489744034166275
All Domains,0.736115207373272,0.00041686925391962203,0.37816335390978617,,,0.09461738924185117,0.4889191481786202,-0.18091698109767368,,-0.12408646088522243
All Domains,0.7456236559139786,0.0003991897568373081,0.3546179937092418,,,0.09038155019263229,0.49346850405794296,-0.0834604183305105,-0.23526693504355622,
All Domains,0.6940675883256529,0.00042491454245037203,0.4093902625425523,,0.05370912888388112,,,0.05762756164269733,-0.2214114804167085,0.012622467118196352
All Domains,0.7429462365591398,0.00041543487904352363,0.355962604041144,,0.0409151566684526,,0.4934226050786767,,-0.2713814095101825,-0.018674106742496446
All Domains,0.7345345622119815,0.0004126333919026303,0.37931029733729266,,0.039823040070564086,,0.5053785188198822,-0.18773603319169313,,-0.11205022258858177
All Domains,0.7438433179723501,0.00040567883265164867,0.35692338679696795,,0.045315689534386965,,0.5093916832079516,-0.08816957566292233,-0.2322423205653002,
All Domains,0.7022196620583718,0.00042750869019852415,0.41137545064007,,0.035996525458653145,0.1551285415430221,,,-0.19044186420296025,-0.01397211915696304
All Domains,0.7018325652841781,0.00042326540595296475,0.4295265573581286,,0.027433122879791254,0.1542094116256955,,-0.04824093874916195,,-0.11748747854796433
