Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.8070752688172043,0.0003453718695172839,0.030592892934086104,0.7577742818308684,0.037878374848312184,0.07077688292053205,0.2770239735572165,-0.025921986665088933,-0.17839319205578044,-0.07454988161093346
All Domains,0.8072227342549924,0.0003566524684531233,,0.7704819837487522,0.037380029030577466,0.07159439261626013,0.2771394340323565,-0.026011718730601527,-0.18129232276771753,-0.07407764217914532
All Domains,0.7438279569892472,0.00040353857868548977,0.35649392212844006,,0.03349504734712102,0.08844442534774585,0.4932474860889847,-0.08493841837401746,-0.22152009111756876,-0.027931063707356128
All Domains,0.806505376344086,0.0003680075132750693,0.029550323271244537,0.7577515109879167,,0.07552721157866583,0.2784483536817042,-0.022669105728100263,-0.17675998246888472,-0.0737484940945235
All Domains,0.8058202764976958,0.000369494515917253,0.03375954321995914,0.7580450598131977,0.04748537108033076,,0.28920679052730447,-0.028317708587474212,-0.1823112308145387,-0.06071618425708626
All Domains,0.8093886328725038,0.00037252543706398956,0.02933536319034392,0.8526934145810645,0.04218784696317352,0.10175445485208637,,0.04730435063535861,-0.1543322450979434,-0.08440725417455301
All Domains,0.8078924731182796,0.0003503455162082346,0.030684476069800393,0.7590464296819138,0.036622767551756426,0.07112096745359298,0.2719656801688147,,-0.19178972667578523,-0.0769102637094799
All Domains,0.8063333333333333,0.00033777898762061615,0.04392762710165435,0.7643091194798008,0.032122265499435414,0.07462384131451244,0.2673671379453261,-0.10586926382144564,,-0.14919152022862886
All Domains,0.8079631336405529,0.0003621458064432695,0.029447250923685737,0.75312058910697,0.03647753712232048,0.06288340770735786,0.27889086789522005,-0.03350132426541841,-0.217076280869364,
All Domains,0.7004715821812596,0.0004105562497823814,0.4309676576195797,,,,,,,
All Domains,0.8003932411674348,0.00035726409569263756,,0.8751304625650451,,,,,,
All Domains,0.6508509984639017,0.0004281833304458863,,,0.020135055044849484,,,,,
All Domains,0.6511490015360983,0.00040681304989756233,,,,0.12628429464401772,,,,
All Domains,0.6984715821812596,0.00040014648307581626,,,,,0.4523810942885064,,,
All Domains,0.651242703533026,0.0004315869314033274,,,,,,-0.0764886879237551,,
All Domains,0.6512811059907835,0.0004121834259376175,,,,,,,-0.19625325858320156,
All Domains,0.6519385560675882,0.00041554067295069966,,,,,,,,-0.10559422570316664
Within Bail,0.790201923076923,0.0009807052034927193,-0.18822290396721125,0.8727618417521745,-0.021715997992954143,-0.025512514863051578,0.2900099665961446,0.10729253158187098,-0.14205297212028034,-0.1340927507417843
Within Bail,0.7952692307692307,0.0009952480219191644,,0.8057721290762465,0.007440168603445257,-0.043524429344737235,0.28427761105121835,0.07382916945278474,-0.1130255523281037,-0.12747135526036266
Within Bail,0.6760961538461538,0.0011687411273188736,0.14171606424095545,,-0.12051137769164368,-0.020804846195225303,0.5209202381212648,0.027931043826940654,-0.11225482418248323,-0.057689662861345456
Within Bail,0.7972115384615385,0.0009522487645895502,-0.18393137753426164,0.8764775480270207,,-0.025471692021548475,0.2914715511794194,0.10424394215352231,-0.1459459278633354,-0.13789375785157623
Within Bail,0.794673076923077,0.000967424618583361,-0.19337717864313922,0.8748237304517572,-0.021581593490892562,,0.2831838175710593,0.11497059706158447,-0.14003240258619148,-0.14246333289648877
Within Bail,0.7915480769230769,0.0009542904134078452,-0.18360635292901084,0.9681690998388621,-0.04441872057890389,0.022795325220506105,,0.17537933028519012,-0.11524122416531568,-0.14441721586347223
Within Bail,0.7939711538461538,0.0009489761792463193,-0.1708348388770724,0.8641671152640853,-0.012105327532514556,-0.04374228138928704,0.31223733814365484,,-0.0896821715086951,-0.12976401143095648
Within Bail,0.7949711538461539,0.0009645497910147947,-0.17107813197314403,0.8671612575536483,-0.03679670011925719,-0.01946269277796698,0.28208891666674274,0.04934911430512179,,-0.18667678519518416
Within Bail,0.7942884615384616,0.0009450717127281948,-0.18258954543613756,0.8577992437391256,-0.038509488847023945,-0.0494201619560092,0.2940873784587589,0.09991708922476776,-0.20284907288167575,
Within Bail,0.5938076923076923,0.0011216696296783462,0.25636156638782287,,,,,,,
Within Bail,0.8070192307692308,0.000890120291679887,,0.9004847490098441,,,,,,
Within Bail,0.5843269230769231,0.0012366012530279724,,,-0.2188705497931744,,,,,
Within Bail,0.5072403846153847,0.0012860151459130054,,,,0.0632337370608744,,,,
Within Bail,0.6760576923076924,0.0010147323187521622,,,,,0.5305290601147502,,,
Within Bail,0.5171634615384615,0.0013122587267811751,,,,,,0.03975523908300979,,
Within Bail,0.54175,0.001214624922054228,,,,,,,-0.149872237961149,
Within Bail,0.5282596153846154,0.0013911508159622794,,,,,,,,-0.11767379872409109
Within Unem,0.7765238095238096,0.0008859609337371676,0.11447143651234362,0.747083836774202,-0.18238616223304108,0.1789472280836916,0.2390048790530644,-0.016821371836160517,-0.04208882273961608,-0.11149984535586586
Within Unem,0.7768571428571429,0.0009359849377834014,,0.7879429509507583,-0.17986376023632947,0.17295090542840139,0.24278585416644585,-0.014060910988481782,-0.050222359436886854,-0.10484580516719415
Within Unem,0.7381507936507935,0.0009872079085674835,0.39338549202911444,,-0.15234688777396288,0.25055754691903087,0.3928246433241546,-0.22240250185163957,-0.10899842303081322,-0.02558408376067547
Within Unem,0.7773095238095239,0.0008874002919877921,0.10551324931953367,0.7328021965449246,,0.1341414935698883,0.2688049378532113,-0.032861727452032995,-0.0726411436824196,-0.0951576073054369
Within Unem,0.7643571428571428,0.0008850524834139857,0.09662508622021448,0.7617810068704857,-0.13869819298666744,,0.256367114289535,0.007235871274416169,-0.0732635479707368,-0.10304277683435792
Within Unem,0.7847936507936508,0.0008893529507564573,0.12379089440777948,0.8091345348840953,-0.22142195145522764,0.19341174466816974,,0.05983586344991214,0.008625982530858823,-0.11076123537968327
Within Unem,0.7802222222222224,0.0008948865771745441,0.11402590051385433,0.7510186941769857,-0.1833618722668812,0.17759405296352976,0.23502213949446446,,-0.05015218702132139,-0.11327733511443346
Within Unem,0.779968253968254,0.0008844219622139078,0.117286019496357,0.7501573506999579,-0.186062322608424,0.18241351018662552,0.23224324073757183,-0.034390259045938947,,-0.12707551953202018
Within Unem,0.7758492063492064,0.0009003940034311806,0.10538130391685765,0.7339781548187333,-0.1763765902793814,0.1750671582023468,0.23855576572290194,-0.029435665760144687,-0.09603509924778762,
Within Unem,0.6989920634920633,0.0009654026279384435,0.4287744445669823,,,,,,,
Within Unem,0.7807301587301588,0.0008593204019726099,,0.8408630393124805,,,,,,
Within Unem,0.6580238095238095,0.0009923718160153353,,,-0.20378559721568903,,,,,
Within Unem,0.6512380952380952,0.0009861187698052148,,,,0.17725127471806879,,,,
Within Unem,0.6681507936507936,0.00100245305654355,,,,,0.3331916356365749,,,
Within Unem,0.6672539682539682,0.0011062237167777588,,,,,,-0.1576193245751126,,
Within Unem,0.6713492063492063,0.0010879296844951943,,,,,,,-0.1815877421164734,
Within Unem,0.6666984126984127,0.0009089675679725429,,,,,,,,-0.035267380719719264
Within CPS,0.8288888888888889,0.0006696141793532697,-0.009509478345403666,0.6005423912078789,0.09754192286579201,0.22329171181809182,0.29544577665549593,-0.22217669848820576,-0.36581769846175466,-0.09333718271110414
Within CPS,0.8302160493827161,0.0007161940157366378,,0.5954035954734114,0.09559123073570452,0.22408915378568056,0.2968683640581887,-0.22307298285438523,-0.3649026167774298,-0.09361174925611797
Within CPS,0.8153827160493827,0.0007416139392890323,0.32240508235866083,,0.010216994612496843,0.2960182486689932,0.3833092164348529,-0.2350496767855244,-0.32671257855630065,-0.10231489456607307
Within CPS,0.83179012345679,0.0007168201732904777,0.019957788063517758,0.5824715947463268,,0.25427873080216484,0.31068625029628466,-0.216380846955264,-0.37365441448525333,-0.08716915935013955
Within CPS,0.8312283950617284,0.0007337335194771483,-0.03390820134437647,0.6433061197465564,0.161520652256876,,0.33434541579410154,-0.25732420211551654,-0.3387851689688245,-0.018336065837922806
Within CPS,0.8197345679012347,0.000700138675260789,-0.06644779112267664,0.6591238857165951,0.1348786688082995,0.27938911865606675,,-0.07533046084199016,-0.37509244246011303,-0.12268805260992979
Within CPS,0.825320987654321,0.0007287384923047729,-0.027513689664639063,0.6112972470906967,0.09041217883043615,0.24553954003853082,0.2317038524209795,,-0.472495037307369,-0.12355856338923193
Within CPS,0.8290740740740742,0.0007373422080588497,0.014993470955165754,0.5788438433316144,0.10926172166938254,0.19128318877562953,0.3040302068805651,-0.43292992865088314,,-0.16087768124319748
Within CPS,0.8310987654320987,0.0007093707850019747,-0.012697511303574235,0.6025242543135854,0.09197893021361585,0.19276883807776582,0.30272832064371047,-0.24224683147508647,-0.3855530631507094,
Within CPS,0.8131481481481481,0.0007320259775602321,0.33845593813212305,,,,,,,
Within CPS,0.8245432098765432,0.0006758684854169469,,0.6293489382885266,,,,,,
Within CPS,0.8087222222222221,0.0006632967346513229,,,0.19847543984322724,,,,,
Within CPS,0.8084691358024692,0.000716333561177244,,,,0.23016267408275773,,,,
Within CPS,0.8092530864197531,0.0006748794580438084,,,,,0.22089190729678257,,,
Within CPS,0.8094074074074074,0.0006647842141994624,,,,,,-0.2486173316927245,,
Within CPS,0.8086975308641975,0.0007468257410995131,,,,,,,-0.32799693482407366,
Within CPS,0.8090617283950616,0.0007049593091717846,,,,,,,,-0.16592220658489532
Within Hos,0.7681282051282052,0.001207136179692687,0.177258156745052,0.3897724059815319,0.18127611365758425,0.14966950818787608,0.36709823528156066,0.3177926327925534,-0.10807287295477401,-0.2624822594312459
Within Hos,0.7765897435897436,0.0012710006018772943,,0.4394122536045014,0.17691123305633819,0.14188590993024994,0.3599999731325144,0.2941647760491465,-0.12095995663967388,-0.259643138055383
Within Hos,0.7440512820512821,0.0012171871922723476,0.33736908113908864,,0.1834853201149386,0.14039825763519678,0.5150364442507349,0.30983681914599265,-0.1981262195580519,-0.25499323661881407
Within Hos,0.7726666666666667,0.001229257175444136,0.17008581849441368,0.3914797277095927,,0.1783702291965315,0.41719287392652465,0.299700385056753,-0.1038425431922117,-0.3104709617063386
Within Hos,0.7682948717948718,0.0012849784990613985,0.16094153189367838,0.3805263300206943,0.21078219962904404,,0.35708797892419836,0.33942872647593286,-0.12334077891342628,-0.23383045355957421
Within Hos,0.7592564102564103,0.0012155648536772315,0.15038097835477582,0.5479430790919861,0.25604538017125544,0.1355411877354002,,0.36644905338434863,-0.07822042948175083,-0.21638746099519268
Within Hos,0.7768461538461539,0.001279556876289195,0.14792099158703598,0.3901996331720347,0.16735998861270393,0.1621229691454025,0.39299068842357415,,0.048318389527705556,-0.27355211352971076
