Prediction,Accuracy,Error,Reliability,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.7635124481327801,0.00031608578352243456,0.3299352837900473,0.0826745323120623,0.06787425996718194,0.46095915040881297,-0.02576305869433489,-0.1532483286554378,0.070473826550939
All Domains,0.7567209543568465,0.0003330224862778025,,0.06729975061913311,0.09399757927326347,0.5121391934094185,-0.025180955916414727,-0.14432143030080719,0.08375245303541051
All Domains,0.7646224066390042,0.00031405752411389835,0.3262454227966133,,0.08911673744514431,0.4662117426282769,-0.012862487705016128,-0.1482636357927049,0.07775769346964105
All Domains,0.7632053941908714,0.0003256958744522208,0.3362711059069998,0.10059339721511222,,0.4765021206264402,-0.023618915757117998,-0.15922756469435725,0.07978674137335699
All Domains,0.7380954356846473,0.00031823578606387165,0.399677966270235,0.1051631971245875,0.1461152145385103,,0.11632715337201427,-0.19196298248960614,0.09266755356079508
All Domains,0.7641659751037345,0.0003315119542721641,0.32980779496586654,0.0802510238262281,0.06733545698190362,0.4551081842812455,,-0.16413040054629277,0.06673340927994292
All Domains,0.7618257261410788,0.00032255687656410255,0.327174684728639,0.07756905582206523,0.07366723801497115,0.46699740233333403,-0.08088732744971416,,-0.007837541378955759
All Domains,0.7630746887966806,0.00032153536619376863,0.3322399859318,0.08624307799625597,0.07304736492319319,0.4633297088617341,-0.01569980992462724,-0.11166739859184442,
All Domains,0.7376120331950208,0.0003187181115809205,0.4327642136424566,,,,,,
All Domains,0.7119325726141078,0.000335288036948519,,0.17273905711750953,,,,,
All Domains,0.7106836099585062,0.00031594922860329113,,,0.2401839065195114,,,,
All Domains,0.7496296680497926,0.0003066663506866045,,,,0.5360697605955647,,,
All Domains,0.7123755186721992,0.00034062656616833814,,,,,0.1565768581787264,,
All Domains,0.7112437759336099,0.00031948444698053075,,,,,,0.04641017496910789,
All Domains,0.7118226141078837,0.000331080381145805,,,,,,,0.12735853787810594
Within Bail,0.698036231884058,0.0009215423387343751,0.28558196088446886,0.05242285650894836,0.01608455261853369,0.5186595285458497,-0.09783114085622006,-0.06074141630498001,-0.11050752501941434
Within Bail,0.6926014492753624,0.0009023198259358189,,0.005901700330269446,0.038258092366602374,0.5531864647945715,-0.10046966777263824,-0.04667337836164367,-0.06112874265702427
Within Bail,0.697768115942029,0.0009297188201273049,0.2765329184094221,,0.02675899824864685,0.5236547232125768,-0.08607213682998881,-0.05670025432033272,-0.10975762922875443
Within Bail,0.703159420289855,0.0009761073679813056,0.2868490254188415,0.055476260765982395,,0.5244576088291119,-0.09814568342664333,-0.061673582999546485,-0.10758574013386463
Within Bail,0.669608695652174,0.001026769435513723,0.34775522608220977,0.07927447709977808,0.17406894471690101,,-0.02283387104925931,-0.11402849986471676,-0.062319965128952576
Within Bail,0.7017246376811594,0.0009513748492638727,0.28540937553376894,0.03964827780253711,0.016927476500267585,0.5082322590665304,,-0.09559595134605034,-0.14054199447305415
Within Bail,0.6972971014492754,0.0008891078604532292,0.2840539413173821,0.05015776483514018,0.017814275528326866,0.5221025089326143,-0.11590771910512707,,-0.14397086265632758
Within Bail,0.7067391304347826,0.0009297856432222065,0.2753262008500381,0.05119935246389856,0.006037382399396333,0.5113530007504636,-0.12560278148576148,-0.1203938352575266,
Within Bail,0.6806884057971015,0.0009862875294522429,0.3227622891509031,,,,,,
Within Bail,0.6398695652173912,0.000902116996467066,,0.0503687328775451,,,,,
Within Bail,0.6357971014492754,0.0009007059779174677,,,0.18813358101825453,,,,
Within Bail,0.700268115942029,0.0009166948564787944,,,,0.5136234405891758,,,
Within Bail,0.6423333333333333,0.0008900049713510953,,,,,-0.011904292284911189,,
Within Bail,0.640427536231884,0.0009295102638731298,,,,,,-0.05522991689220532,
Within Bail,0.642,0.000913407814146537,,,,,,,-0.007960067942641067
Within Unem,0.7424787878787878,0.0008521067003093517,0.3537397990053545,0.06441459519745138,0.36059760022291154,0.38373510994304244,0.0450232692761191,-0.25187892187627403,0.02129154635568635
Within Unem,0.722860606060606,0.0008269704106204018,,0.03958764316395451,0.3551393824234354,0.4011166875572575,0.057052460208409275,-0.2262440022393983,0.02793317036087942
Within Unem,0.7461272727272728,0.0008491406407106507,0.35046176410277263,,0.3694117060922078,0.37624323256032977,0.057446103766503685,-0.2482284025199149,0.032435776335561835
Within Unem,0.7106848484848486,0.0008543886532416331,0.3459865914088342,0.12728618884826232,,0.4092407052483117,0.05383587496124184,-0.3392929957568788,0.13647403234059435
Within Unem,0.7148303030303029,0.000840556604833574,0.37459512464365397,0.0367316494086257,0.3764393347632639,,0.1689253933245949,-0.2600107282566142,0.06525840274839345
Within Unem,0.7438242424242424,0.0008629271284921302,0.354595449986524,0.07069935054719491,0.3614883787641321,0.39716724469988435,,-0.22902346657046468,0.017693417219317643
Within Unem,0.7386969696969697,0.0008835405033431468,0.3436849017609314,0.05613148261188507,0.38403267543916575,0.3845550466624421,-0.044594359727225925,,-0.10472613336390237
Within Unem,0.7456484848484848,0.000822041923895499,0.3539589889912064,0.06685287176036198,0.3642514955217902,0.3861758264914791,0.043484306699774496,-0.23780563122344195,
Within Unem,0.7073575757575757,0.0008054877861637992,0.3651732330063439,,,,,,
Within Unem,0.6926666666666668,0.000783029191119217,,0.10656959672660148,,,,,
Within Unem,0.7155333333333334,0.0008220878799089113,,,0.39203808777760996,,,,
Within Unem,0.7116242424242424,0.0008095644765287492,,,,0.41940954018664706,,,
Within Unem,0.6926303030303032,0.0008024039380584294,,,,,0.11990456368001304,,
Within Unem,0.6940242424242424,0.000805661224263603,,,,,,-0.049278740829177436,
Within Unem,0.6945818181818182,0.0007915026176514649,,,,,,,0.08429115059992981
Within CPS,0.8572663043478261,0.0006274564242056514,0.49098574105333775,0.1714547266194532,0.1639744520944421,0.3006238214816869,0.09025687832098413,-0.261706550099999,-0.25141859410624084
Within CPS,0.8471358695652175,0.0006395221578909785,,0.2877928093897974,0.2116439357472942,0.45049969818108754,0.1302897759531579,-0.2201708135127137,-0.25120212173902357
Within CPS,0.857358695652174,0.0006150265271390017,0.531690246082183,,0.20396477542498834,0.31958966828359414,0.08731802311653439,-0.24007333828678581,-0.23375395884768937
Within CPS,0.8547771739130435,0.0006318077645339819,0.5119256072724655,0.20796915774268288,,0.3605850505340947,0.10968364786966539,-0.2877804219023877,-0.22358241302430631
Within CPS,0.8564565217391304,0.0006072074864124896,0.545427030891147,0.18587088939126314,0.243682701994701,,0.15891151700457143,-0.3047812191475711,-0.2239347978187771
Within CPS,0.858766304347826,0.0006115880062341976,0.4958256678578308,0.1709770501020353,0.16992130739738087,0.3160018981941989,,-0.21981685936781786,-0.2441669180206228
Within CPS,0.8558532608695653,0.0006499912473685182,0.48086837735821414,0.15114891635411482,0.18848766543726678,0.3269508598138865,-0.049047907925241635,,-0.3680159946840424
Within CPS,0.8535597826086957,0.0006236787580906395,0.486422827804711,0.15614634205900244,0.13990385722256019,0.2871584338313847,0.06289399934963572,-0.3693096714810733,
Within CPS,0.8457826086956522,0.0005808877092173285,0.632611352567239,,,,,,
Within CPS,0.8205869565217391,0.0006630153847117334,,0.3604910981730683,,,,,
Within CPS,0.8212010869565217,0.0006519743850166283,,,0.39681264618255263,,,,
Within CPS,0.8296141304347826,0.0006275499054776134,,,,0.5952781641619731,,,
Within CPS,0.8282663043478261,0.0006058411724839683,,,,,0.18048606196707648,,
Within CPS,0.8298260869565217,0.0006276172043140567,,,,,,-0.07848499051300786,
Within CPS,0.8291413043478261,0.0006341665174840089,,,,,,,-0.01723528505544829
Within Hos,0.7138897637795277,0.0009750574776172697,0.5211307430043709,-0.048459884078079836,-0.0036304695589718535,0.43757143668718207,0.013410852673075055,-0.2044933892073732,0.2175177546411054
Within Hos,0.7036614173228347,0.001018049382555465,,-0.0709912906489085,-0.0049578698251660025,0.5023759274165004,-0.05579074734095511,-0.16833410860765885,0.2694769313651429
Within Hos,0.7165590551181104,0.000974926573073874,0.5224891608731647,,-0.018228695094545215,0.4340825774211511,0.009627906932827746,-0.20638177980947076,0.21198577891848233
Within Hos,0.7192519685039371,0.0009349236753313546,0.5212741492405969,-0.04995016750998902,,0.43686353617820994,0.013851113934422742,-0.205455941738515,0.21765891970985043
Within Hos,0.6794488188976378,0.0010186016996089258,0.6034873873304483,-0.006315354386240779,0.04772369385390108,,0.20285214950735822,-0.30759442140082155,0.23534923985797218
Within Hos,0.7184251968503939,0.0009597018640604808,0.5191170193860485,-0.04776574343627968,-0.004504954528385805,0.44222191152553647,,-0.19810958999586514,0.21915356148841453
Within Hos,0.7134409448818899,0.0009926396446648814,0.5074719093693396,-0.052638724896207294,-0.02240631136557117,0.46096255005569997,-0.051473321452664374,,0.09412182564943378
Within Hos,0.7111889763779528,0.000997921487391615,0.5344274783661663,-0.03352977783702753,-0.00734244221494995,0.4418241403742769,0.03237909740619268,-0.04381139724046067,
Within Hos,0.7023228346456694,0.0010193653082996386,0.5974723351304181,,,,,,
Within Hos,0.6284488188976378,0.001050047010240954,,0.050467034871389635,,,,,
Within Hos,0.6319212598425197,0.0009724564612468856,,,0.05583969813165541,,,,
Within Hos,0.7224960629921261,0.0009582635680058806,,,,0.4835103885321931,,,
Within Hos,0.6282204724409448,0.0010854823601245235,,,,,0.1437824436460634,,
Within Hos,0.6332283464566929,0.0009514274658852655,,,,,,0.06831869293132177,
Within Hos,0.6285669291338584,0.001082306573920817,,,,,,,0.15904489271848204
