Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.7619846938775511,0.00030564195742022236,,0.6602164387028032,,,,,,
All Domains,0.71145,0.00033160874131811535,,,0.11501056706431594,0.12918270792439,0.4188167926814895,-0.08206580966453686,-0.13966633860411196,0.05007465808227293
All Domains,0.7210336734693877,0.00034847776734009915,0.2933321045961999,,,0.13709734389077713,0.39022983208593887,-0.034125554001112036,-0.1285109706192727,0.03881461916246238
All Domains,0.72885,0.0003451739294080605,0.3166144574966845,,0.16513858617179708,,0.3979789071055687,-0.04814902776863085,-0.13658020472793617,0.022636670392878772
All Domains,0.6993091836734694,0.0003399286476178649,0.35233721820424374,,0.1578085667713421,0.1522272807152862,,0.07101700888014315,-0.09939883087999965,0.016481384411722293
All Domains,0.7281867346938775,0.0003386848846635753,0.3106042263949321,,0.1373686552081071,0.10773820880406444,0.36770668710528154,,-0.15159717553231575,0.001203042042854933
All Domains,0.7213142857142857,0.0003372610244943192,0.3089412720294502,,0.14115732315021348,0.11232453846674142,0.37291144370477686,-0.10088928259909118,,-0.05551195883249243
All Domains,0.7274602040816326,0.0003389712835336103,0.3079328683137363,,0.1424523291077644,0.109582179856167,0.3802115484620208,-0.052008835863989376,-0.12641360849836192,
All Domains,0.7129051020408164,0.0003377411411858865,,,,0.15347871040195687,0.42501897859851395,-0.06616881396337529,-0.13589345921673068,0.07444060439601202
All Domains,0.7105561224489795,0.0003427125177472723,,,0.14478184786235135,,0.44132870231211596,-0.07713783183796291,-0.14811609733122735,0.07076716097020662
All Domains,0.6630989795918367,0.0003504361139848036,,,0.12921209257399244,0.18104752294002824,,0.045861288619726805,-0.09860692138427274,0.06481281213304478
All Domains,0.7093438775510205,0.00033363017295747486,,,0.10830832143799096,0.12732930827260192,0.4011582709156729,,-0.17346287463112248,0.040033035079137504
All Domains,0.7111979591836735,0.0003536939438906001,,,0.11327064820493074,0.13309387472711962,0.4099685998736067,-0.1341841605145954,,-0.01609029576509649
All Domains,0.7118438775510204,0.0003269213163129055,,,0.12109021583895474,0.1334734412559994,0.4202623893732791,-0.07612480095833671,-0.11329117507223979,
All Domains,0.7190163265306123,0.00032211483777410337,0.30419341286122015,,,,0.4154897960871563,-0.022025750126244872,-0.136884680859384,0.06758981914750363
All Domains,0.7006102040816327,0.00033572614060801357,0.3381071297099938,,,0.18610778913555495,,0.09596868593085214,-0.09136245394495673,0.04749736230852999
All Domains,0.7220561224489795,0.00034237599006021883,0.29576485929162416,,,0.1354959816322285,0.38185861079922717,,-0.14207625011595543,0.03404535586221191
All Domains,0.7209540816326531,0.00032049495838644496,0.2945722882172588,,,0.1404875837818975,0.38221804084861744,-0.08127662419522029,,-0.022732331857340284
All Domains,0.7212602040816326,0.0003554700329499192,0.2967392930146094,,,0.14136063517002675,0.3911445732983079,-0.028594384148777196,-0.1077320186193535,
All Domains,0.6923724489795918,0.0003624669548691154,0.36896654636068055,,0.1936886910969161,,,0.0855667311175741,-0.10599263303270008,0.03953703199710633
All Domains,0.7296316326530612,0.0003319783509415667,0.3195650560075603,,0.1608535746308974,,0.38656420470026465,,-0.156061098062409,0.017096025845996496
All Domains,0.723819387755102,0.0003474685395679558,0.31877513051141304,,0.16573642170527814,,0.390886819370062,-0.09873912462979995,,-0.04256440186485055
All Domains,0.7286265306122449,0.0003387590623270803,0.31904543520601425,,0.16856404206270312,,0.39876283554159914,-0.045532041090654,-0.12459545264011686,
All Domains,0.7006214285714286,0.00034716059365550356,0.34870452144955466,,0.16491508037212316,0.15604707439654938,,,-0.06711394593051899,0.026186357227389403
All Domains,0.7006173469387755,0.0003622851774501857,0.35239344894114244,,0.1555707947961122,0.1539886242733631,,0.03322713484290873,,-0.03237564694380777
All Domains,0.6993581632653061,0.000332028392195461,0.3539107345689005,,0.1596736966401212,0.15348433065944464,,0.07317762557164423,-0.09051667866475802,
All Domains,0.7238479591836735,0.00032927337632774706,0.3174938945637259,,0.13094975159910568,0.1107563826915413,0.3423057859826896,,,-0.09137914930504097
All Domains,0.7294581632653062,0.00033890172400732416,0.3107198123795303,,0.13754550609476898,0.10783391452167965,0.3677625187242409,,-0.15090100587397404,
All Domains,0.7223183673469387,0.00033357903626038583,0.30193353936809914,,0.13099827763405245,0.10768477577419482,0.36931704842298274,-0.12350980759423097,,
All Domains,0.7099642857142858,0.00035416872898586806,,,,,0.4538102026067639,-0.0531547658967647,-0.14523378783530555,0.1094569670512487
