Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.7678469387755101,0.00032646405293933455,0.04781634488582591,0.5221894863169304,0.06819514245765845,0.05764242970251815,0.24283716420592857,-0.012586140095402707,-0.05932472024454051,0.00637768641688993
All Domains,0.7686959183673469,0.0003169657872584724,,0.546984851611107,0.06291052911972914,0.05776744282466853,0.24138892043982033,-0.013690594299081768,-0.057557118577022295,0.010696667743954698
All Domains,0.7260255102040817,0.0003335983436863917,0.30722210025740265,,0.14153193056659735,0.1090432282344247,0.3800625707828555,-0.0528176446760342,-0.13021919053798783,0.007170302332198105
All Domains,0.7660479591836735,0.00032512450918264005,0.03590028883117517,0.5370470687995931,,0.06976406320072724,0.2447384766186335,-0.0025429105828581,-0.0572078551501986,0.020867946482437363
All Domains,0.7694479591836735,0.00030941337272190176,0.04788070024955405,0.5325351040477778,0.07936598185988895,,0.25069066886406616,-0.009735810291457338,-0.06145932312684742,0.013360396638589941
All Domains,0.7661775510204082,0.0003023965543441998,0.03790016108456393,0.6010790497367858,0.0722691945195274,0.07915706004520008,,0.06313854304368745,-0.030112799515635565,0.013664486442150897
All Domains,0.7683183673469389,0.0003197736826951539,0.04807341565523522,0.5231098053581452,0.06711148632904783,0.057296769714661994,0.23980960920550146,,-0.06422270884803725,0.00486401508293022
All Domains,0.7675785714285714,0.0003279890703458496,0.045967857667067326,0.5283795714906572,0.0672827284504935,0.05857577835953476,0.23757872941126118,-0.03406769723898687,,-0.020944866852358548
All Domains,0.7691969387755102,0.00031511518622190837,0.048352358658427505,0.5222640567165734,0.06899856680383763,0.058060803282479895,0.24300971301292823,-0.011796266582608315,-0.05607610511871264,
All Domains,0.6972775510204081,0.0003452876048586326,0.3630692703230311,,,,,,,
All Domains,0.7621408163265306,0.00030750099197736597,,0.6602164387028032,,,,,,
All Domains,0.6548255102040816,0.0003329847586402735,,,0.19257678026380207,,,,,
All Domains,0.6626561224489795,0.0003532446607217687,,,,0.2280289126620209,,,,
All Domains,0.7024826530612245,0.0004627651509632566,,,,,0.4104468333446559,,,
All Domains,0.6584775510204081,0.000339066677109353,,,,,,0.11005714958747968,,
All Domains,0.6589357142857143,0.0003369031118098302,,,,,,,0.053712935548081306,
All Domains,0.6589908163265307,0.00033962282631710354,,,,,,,,0.12106526185211548
Within Bail,0.720044776119403,0.0008241455338673744,0.15951860272884544,0.4138694785665464,0.007398135181938856,0.07421557232317483,0.23271222677245215,0.023646210536140355,0.05258402073567712,-0.22252505391560518
Within Bail,0.7203532338308457,0.0008397474813891457,,0.4968169268333138,0.002826439059133463,0.08035053515675895,0.21603854129500388,0.02615273150770903,0.07046080681681566,-0.21349095796869663
Within Bail,0.6892885572139303,0.0008527538816667501,0.36823346030196075,,0.05926451810936266,0.06799975541381419,0.3925492454856516,-0.0011494953541177327,0.009290279431236746,-0.18167910916696448
Within Bail,0.7203681592039802,0.0008114512685386559,0.1591906390482643,0.4150093362352697,,0.07642443723471933,0.2339128386769544,0.0254600451627237,0.052459265918324796,-0.22121649453472944
Within Bail,0.725407960199005,0.0008485882822759894,0.16413701444864065,0.41285019279480695,0.03361560113158066,,0.24545574514671278,0.017612793986582276,0.0548506640369927,-0.20976339691986856
Within Bail,0.7194925373134329,0.0007781982387306333,0.13371300806320993,0.5136911998726694,0.043254051424631006,0.10257992066652247,,0.06096114844622158,0.07298552733659666,-0.22044095990879378
Within Bail,0.7212985074626865,0.0008070282341574289,0.15984228856932126,0.412971281544529,0.011512570610457133,0.0731306983720582,0.23567078040114228,,0.061308690220008885,-0.21990994138206274
