Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Child Demographics,Child Demographics Reliability,Child Demographics Accuracy,Child Demographics Privacy,Child Demographics Volitionality,Child Demographics Causes Outcome,Child Demographics Causes Cycle,Child Demographics Causes Disparity,Child Demographics Caused by Group,Child CPS,Child CPS Reliability,Child CPS Accuracy,Child CPS Privacy,Child CPS Volitionality,Child CPS Causes Outcome,Child CPS Causes Cycle,Child CPS Causes Disparity,Child CPS Caused by Group,Child Justice,Child Justice Reliability,Child Justice Accuracy,Child Justice Privacy,Child Justice Volitionality,Child Justice Causes Outcome,Child Justice Causes Cycle,Child Justice Causes Disparity,Child Justice Caused by Group,Child Welfare,Child Welfare Reliability,Child Welfare Accuracy,Child Welfare Privacy,Child Welfare Volitionality,Child Welfare Causes Outcome,Child Welfare Causes Cycle,Child Welfare Causes Disparity,Child Welfare Caused by Group,Parent Demographics,Parent Demographics Reliability,Parent Demographics Accuracy,Parent Demographics Privacy,Parent Demographics Volitionality,Parent Demographics Causes Outcome,Parent Demographics Causes Cycle,Parent Demographics Causes Disparity,Parent Demographics Caused by Group,Parent Welfare,Parent Welfare Reliability,Parent Welfare Accuracy,Parent Welfare Privacy,Parent Welfare Volitionality,Parent Welfare Causes Outcome,Parent Welfare Causes Cycle,Parent Welfare Causes Disparity,Parent Welfare Caused by Group,Perp Demographics,Perp Demographics Reliability,Perp Demographics Accuracy,Perp Demographics Privacy,Perp Demographics Volitionality,Perp Demographics Causes Outcome,Perp Demographics Causes Cycle,Perp Demographics Causes Disparity,Perp Demographics Caused by Group,Perp Welfare,Perp Welfare Reliability,Perp Welfare Accuracy,Perp Welfare Privacy,Perp Welfare Volitionality,Perp Welfare Causes Outcome,Perp Welfare Causes Cycle,Perp Welfare Causes Disparity,Perp Welfare Caused by Group,All CPS,All CPS Reliability,All CPS Accuracy,All CPS Privacy,All CPS Volitionality,All CPS Causes Outcome,All CPS Causes Cycle,All CPS Causes Disparity,All CPS Caused by Group,All Health,All Health Reliability,All Health Accuracy,All Health Privacy,All Health Volitionality,All Health Causes Outcome,All Health Causes Cycle,All Health Causes Disparity,All Health Caused by Group
1860,3084,18-29,High School,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Somewhat Disagree,Disagree,Very Fair,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Somewhat Agree,Agree,Fair,Strongly Agree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Fair,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Unfair,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Fair,Disagree,Somewhat Agree,Agree,Disagree,,Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Agree,Agree,Disagree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Unfair,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree
1861,1283,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Fair,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Fair,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,,Somewhat Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neutral,Very Fair,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Unfair,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Fair,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree
1862,307,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,cps,fairness first,Neutral,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Fair,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,,Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Unfair,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree
1863,3127,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Neutral,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Fair,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Fair,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Neutral,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral
1864,712,18-29,High School,,transfemale,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Fair,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Fair,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Agree,,Somewhat Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Agree,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Fair,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,Strongly Agree,Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
1865,2384,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Somewhat Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Very Fair,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Very Fair,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Fair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Strongly Agree
1866,2460,40-49,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,fairness first,Fair,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Unfair,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Fair,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree
1867,1934,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Very Unfair,Somewhat Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Somewhat Agree,Fair,Strongly Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Neutral,Fair,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Strongly Agree,Agree,Somewhat Disagree,,Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Agree,Strongly Agree,Very Fair,Agree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Neutral,Somewhat Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Fair,Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Unfair,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree
1868,1325,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,cps,fairness first,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Agree,Very Unfair,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Unfair,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Unfair,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Very Unfair,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree
1869,1058,50-59,Bachelor,Male,,50000-75000,false,true,false,false,false,,cps,fairness first,Fair,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Fair,Somewhat Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Neutral,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree
