Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Race,Race Reliability,Race Accuracy,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Residence,Residence Reliability,Residence Accuracy,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Hospital Treated,Hospital Treated Reliability,Hospital Treated Accuracy,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Admission,Admission Reliability,Admission Accuracy,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Number of Discharges,Number of Discharges Reliability,Number of Discharges Accuracy,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,History of Health,History of Health Reliability,History of Health Accuracy,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
1959,470,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Fair,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Agree,Disagree,Disagree,Strongly Disagree,Somewhat Fair,Agree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Unfair,Neutral,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Agree,Neutral,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Disagree
1960,1240,30-39,High School,Female,,50000-75000,false,false,true,false,false,,hos,properties first,Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Very Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Unfair,Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Disagree,Very Unfair,,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Very Unfair,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree
1961,1456,18-29,Bachelor,Female,,50000-75000,false,true,false,false,false,,hos,properties first,Somewhat Unfair,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Fair,Neutral,,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree
1962,1082,40-49,High School,Male,,75000-100000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Agree,Neutral,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Fair,Neutral,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Unfair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,Disagree,Disagree,Very Fair,Somewhat Agree,Agree,Agree,Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
1963,2139,40-49,Graduate,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Fair,Agree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Unfair,Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Agree,Neutral,Somewhat Disagree,Fair,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Very Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Fair,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,,Fair,Agree,Strongly Agree,Somewhat Agree,Neutral,Agree,Neutral,Agree,Somewhat Agree
1964,3055,50-59,Graduate,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Very Fair,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree
1965,2536,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Agree,Agree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Agree,Somewhat Agree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral
1966,1797,30-39,Associate or Diploma,Male,,>100000,false,false,false,true,false,,hos,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Somewhat Fair,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1967,943,40-49,High School,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Somewhat Agree,Agree,Agree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Agree,Agree,Neutral,Agree,Somewhat Disagree,Neutral,Neutral
1968,731,18-29,Bachelor,Male,,<25000,false,false,false,true,false,,hos,properties first,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Strongly Agree,Unfair,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Disagree,,Strongly Agree,Strongly Agree,Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Neutral,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Very Fair,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Disagree
