Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Accuracy,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Employment,Employment Reliability,Employment Accuracy,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Accuracy,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Education,Education Reliability,Education Accuracy,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Residence,Residence Reliability,Residence Accuracy,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,History of Health,History of Health Reliability,History of Health Accuracy,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
2151,2433,18-29,Bachelor,Female,,<25000,false,false,false,true,false,,ins,fairness first,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Agree,Strongly Agree,Agree,,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree
2152,1754,40-49,Bachelor,Female,,25000-50000,false,false,true,false,false,,ins,properties first,Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Fair,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Unfair,Agree,Neutral,Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Unfair,Neutral,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Unfair,Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,,Somewhat Unfair,Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,,Neutral,Somewhat Disagree,Somewhat Unfair,Neutral,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Disagree,,Neutral,Somewhat Unfair,Somewhat Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree
2153,1078,18-29,High School,Male,,25000-50000,false,false,false,false,true,,ins,fairness first,Somewhat Fair,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Very Unfair,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Fair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Unfair,Somewhat Agree,Neutral,Strongly Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Unfair,Neutral,Agree,Somewhat Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Somewhat Unfair,Agree,Somewhat Disagree,Agree,Neutral,Agree,Agree,Somewhat Agree,Agree
2154,2065,18-29,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,ins,properties first,Fair,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Neutral,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Fair,Agree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Fair,Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Unfair,Agree,Agree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree
2155,1144,30-39,Graduate,Male,,>100000,false,true,false,false,false,,ins,fairness first,Somewhat Fair,Disagree,Neutral,Neutral,Strongly Agree,Somewhat Agree,Agree,Agree,Disagree,Fair,Disagree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Unfair,Strongly Agree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Agree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Fair,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Fair,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Agree,Agree,Fair,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Somewhat Disagree
2156,1365,30-39,Bachelor,Male,,25000-50000,false,false,false,true,true,,ins,properties first,Somewhat Fair,Agree,Agree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Disagree,Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Unfair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Somewhat Agree
2157,458,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Fair,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Unfair,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Unfair,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Fair,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Fair,Strongly Agree,Agree,Disagree,Somewhat Disagree,Neutral,Neutral,Disagree,Somewhat Disagree
2158,446,30-39,Associate or Diploma,Male,,<25000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Unfair,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Unfair,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Disagree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Unfair,Agree,Neutral,Neutral,Somewhat Agree,Disagree,Neutral,Agree,Neutral,Somewhat Unfair,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Neutral,Fair,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Somewhat Agree,Neutral
2159,1026,50-59,Bachelor,Male,,<25000,false,false,true,true,false,,ins,properties first,Somewhat Fair,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Very Unfair,Agree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Somewhat Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Unfair,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Unfair,Somewhat Agree,,Somewhat Disagree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Unfair,Agree,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Fair,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
2160,3501,30-39,Graduate,Male,,>100000,false,false,true,false,false,,ins,fairness first,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
