Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Education,Education Reliability,Education Accuracy,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Work History,Work History Reliability,Work History Accuracy,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Skills,Skills Reliability,Skills Accuracy,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Disability,Disability Reliability,Disability Accuracy,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Time Unemployed,Time Unemployed Reliability,Time Unemployed Accuracy,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Residence,Residence Reliability,Residence Accuracy,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Reason,Reason Reliability,Reason Accuracy,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Initiative,Initiative Reliability,Initiative Accuracy,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group
1761,3111,40-49,High School,Female,,<25000,false,false,false,true,false,,unem,fairness first,Unfair,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Very Unfair,Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Very Unfair,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Agree,Neutral,Neutral,Neutral,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Unfair,Agree,Neutral,Somewhat Disagree,Disagree,Agree,Neutral,Disagree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Disagree,Unfair,Neutral,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Very Fair,Disagree,Disagree,Neutral,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Disagree,,Strongly Disagree,Strongly Disagree
1762,1827,30-39,Bachelor,Male,,<25000,false,false,false,true,false,,unem,properties first,Somewhat Unfair,Agree,Neutral,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Agree,Disagree,Strongly Disagree,Somewhat Unfair,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Very Unfair,Strongly Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Unfair,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Neutral,Agree,Disagree,Disagree,Unfair,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree
1763,1106,40-49,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,unem,fairness first,Somewhat Unfair,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Agree,Neutral,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Unfair,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Unfair,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree
1764,794,18-29,High School,Male,,25000-50000,false,false,false,true,false,,unem,fairness first,Somewhat Unfair,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Disagree,Very Unfair,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,,,,,,,,,Very Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Very Unfair,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Unfair,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Unfair,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree
1765,538,18-29,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,unem,fairness first,Unfair,Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Very Unfair,Somewhat Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Agree,Fair,Strongly Agree,Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Unfair,Agree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Very Fair,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Unfair,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Neutral,Agree
1766,1620,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,unem,properties first,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Fair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Fair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree
1767,2495,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,unem,fairness first,Very Unfair,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Neutral,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Somewhat Fair,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Very Fair,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Neutral,Somewhat Fair,Disagree,Neutral,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree
1768,974,30-39,High School,Male,,25000-50000,false,false,false,true,false,,unem,fairness first,Neutral,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Very Unfair,Strongly Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Agree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Unfair,Neutral,Agree,Disagree,Somewhat Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Somewhat Agree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree
1769,2063,40-49,High School,Male,,25000-50000,false,false,false,true,false,,unem,fairness first,Very Unfair,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Agree,Somewhat Agree,Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Very Fair,Agree,Somewhat Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Agree,Agree,Neutral,Somewhat Disagree,Agree,Strongly Agree,Neutral,Neutral,Very Unfair,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Unfair,Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Neutral,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral
1770,1458,30-39,Graduate,Female,,50000-75000,false,false,false,true,false,,unem,properties first,Somewhat Fair,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Neutral,Somewhat Disagree,Unfair,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Fair,Strongly Agree,Agree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Fair,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Very Fair,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Fair,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,,Agree
