Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,MLBias,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Age Other,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Gender Other,Marital and Family,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Marital and Family Other,Employment,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Employment Other,Credit,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Credit Other,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Education Other,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Residence Other,History of Health,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group,History of Health Other
94,685,30-39,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,ins,not-mentioned,version 2,Fair,true,true,false,false,true,false,false,false,,Unfair,false,false,false,false,false,false,true,false,,Fair,true,true,false,true,false,false,false,false,,Fair,true,true,false,false,true,false,false,false,,Unfair,false,true,true,false,true,false,false,false,May have poor credit history for things outside their control (identity theft),Somewhat Unfair,false,false,true,false,false,true,true,true,,Somewhat Unfair,false,false,false,false,false,true,true,true,,Unfair,true,false,true,false,false,true,false,false,
95,427,30-39,High School,Male,,>100000,false,false,false,true,false,,ins,mentioned,version 2,Somewhat Unfair,false,false,false,true,false,true,true,false,,Unfair,false,false,false,true,false,false,true,false,,Fair,true,false,true,true,false,true,true,true,,Somewhat Unfair,false,true,false,false,false,true,false,true,,Fair,true,true,false,true,true,false,false,false,,Very Unfair,false,true,true,false,true,false,false,false,,Very Fair,true,true,false,true,true,false,false,false,,Very Fair,false,true,false,false,true,false,false,false,
97,409,40-49,High School,Male,,25000-50000,false,false,false,true,false,,ins,mentioned,version 2,Fair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Fair,false,true,false,false,false,false,false,false,
98,1456,30-39,Bachelor,Male,,<25000,false,false,false,true,false,,ins,mentioned,version 2,Very Fair,true,true,true,false,true,false,true,false,,Very Unfair,false,true,false,true,true,false,false,false,,Fair,true,true,false,true,false,false,true,false,,Fair,true,true,false,false,true,false,false,false,,Somewhat Unfair,true,true,true,false,true,false,false,false,,Somewhat Fair,false,false,false,false,true,false,true,false,,Somewhat Unfair,false,false,false,true,false,true,false,false,,Very Fair,true,true,false,false,true,false,false,false,
436,399,40-49,Associate or Diploma,Female,,<25000,false,false,false,true,false,,ins,mentioned,version 2,Fair,true,true,true,false,true,false,false,false,,Unfair,false,false,false,true,false,true,true,false,,Somewhat Unfair,true,false,true,false,false,true,true,false,,Somewhat Fair,true,true,false,false,true,false,false,false,,Somewhat Unfair,false,true,false,false,false,true,true,false,,Unfair,true,true,false,false,true,true,true,false,,Somewhat Fair,false,true,false,true,true,false,false,false,,Fair,true,true,false,false,true,true,false,false,
437,285,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,mentioned,version 1,Somewhat Fair,true,false,false,false,false,false,false,false,,Fair,true,false,true,false,false,true,true,false,,Somewhat Fair,true,false,true,true,false,true,true,false,,Fair,false,false,true,true,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,true,true,false,,Somewhat Unfair,false,false,false,false,false,false,false,true,,Very Fair,true,true,false,false,false,true,false,true,,Neutral,false,false,false,false,false,false,false,true,
438,299,18-29,Graduate,Male,,>100000,false,false,false,true,false,,ins,mentioned,version 2,Somewhat Fair,true,true,false,false,true,false,false,false,,Neutral,true,true,false,false,true,false,false,false,,Very Fair,true,true,false,false,true,true,false,false,,Fair,true,true,false,false,true,false,false,true,,Neutral,false,true,false,false,false,false,false,false,,Somewhat Fair,true,false,false,true,false,false,false,false,,Somewhat Fair,true,false,false,true,false,false,true,true,,Somewhat Fair,false,true,false,false,true,false,false,false,
439,855,60-69,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,not-mentioned,version 2,Fair,true,true,false,false,true,true,false,false,,Unfair,false,false,false,true,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,true,false,false,false,,Somewhat Fair,true,true,false,true,true,false,true,true,,Somewhat Fair,false,true,false,false,true,false,false,false,
440,661,50-59,Associate or Diploma,Female,,<25000,false,false,false,true,false,,ins,not-mentioned,version 1,Fair,true,true,false,false,true,false,false,true,,Very Unfair,false,true,false,true,false,false,true,true,,Very Unfair,false,true,true,false,false,false,false,false,,Unfair,true,true,true,false,false,false,false,false,,Fair,true,true,true,true,true,false,false,false,,Very Unfair,false,true,true,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,false,true,true,false,false,true,true,
441,615,30-39,High School,Male,,<25000,false,false,false,true,false,,ins,mentioned,version 1,Very Fair,true,true,true,false,true,false,false,true,,Unfair,false,false,false,true,false,false,true,true,,Somewhat Unfair,true,false,false,false,false,true,true,false,,Unfair,false,false,false,false,false,true,false,false,,Somewhat Unfair,false,false,false,false,false,true,false,false,,Somewhat Unfair,false,false,false,false,true,true,true,true,,Neutral,true,true,true,true,true,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,
