Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,MLBias,Question Order Version,Loan Amount,Loan Amount Reliability,Loan Amount Relevance,Loan Amount Privacy,Loan Amount Volitionality,Loan Amount Causes Outcome,Loan Amount Causes Cycle,Loan Amount Causes Disparity,Loan Amount Caused by Group,Loan Amount Other,Income,Income Reliability,Income Relevance,Income Privacy,Income Volitionality,Income Causes Outcome,Income Causes Cycle,Income Causes Disparity,Income Caused by Group,Income Other,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Age Other,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Gender Other,Marital and Family,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Marital and Family Other,Dependents,Dependents Reliability,Dependents Relevance,Dependents Privacy,Dependents Volitionality,Dependents Causes Outcome,Dependents Causes Cycle,Dependents Causes Disparity,Dependents Caused by Group,Dependents Other,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Education Other,Employment,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Employment Other,Credit,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Credit Other,Property,Property Reliability,Property Relevance,Property Privacy,Property Volitionality,Property Causes Outcome,Property Causes Cycle,Property Causes Disparity,Property Caused by Group,Property Other
86,780,30-39,Bachelor,Male,,50000-75000,false,true,false,false,false,,loan,not-mentioned,version 2,Somewhat Unfair,false,false,false,false,false,true,false,false,,Fair,true,true,false,false,true,false,false,false,,Somewhat Unfair,false,true,false,true,false,false,true,false,,Very Unfair,false,true,false,false,true,true,true,false,,Unfair,false,false,false,false,false,true,false,false,,Unfair,false,false,false,false,false,true,false,false,,Somewhat Unfair,false,true,false,false,true,true,false,false,,Neutral,true,true,false,false,true,false,false,false,,Very Fair,true,true,false,true,true,false,false,false,,Somewhat Unfair,true,false,true,false,false,false,false,false,
87,1393,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,mentioned,version 2,Very Unfair,false,true,false,false,false,true,true,true,,Very Fair,true,true,true,true,true,true,true,true,,Very Unfair,false,true,false,true,true,true,true,true,,Very Unfair,false,true,false,true,true,true,true,true,,Very Unfair,false,true,false,false,true,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Very Unfair,false,true,false,false,false,true,true,false,,Very Fair,true,true,true,true,false,true,true,true,,Very Fair,true,true,true,true,true,true,true,true,,Very Fair,true,true,false,false,true,true,true,true,
88,418,40-49,Bachelor,Male,,75000-100000,false,true,false,false,false,,loan,mentioned,version 2,Very Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,true,false,false,false,false,,Very Fair,true,true,false,false,false,false,false,false,,Very Unfair,false,true,false,true,false,false,false,false,,Fair,true,false,false,true,false,false,false,false,,Very Fair,true,true,false,true,false,false,false,false,,Fair,true,true,false,true,false,false,false,false,,Very Fair,true,true,false,true,false,false,false,false,,Very Fair,true,true,false,true,false,false,false,false,,Very Fair,false,true,false,false,false,false,false,false,
89,1279,30-39,Associate or Diploma,Male,,25000-50000,false,false,false,true,true,,loan,mentioned,version 2,Fair,false,true,false,false,false,false,false,false,,Fair,false,true,false,false,false,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Somewhat Unfair,false,false,false,false,true,false,true,false,,Neutral,false,true,false,true,false,false,false,false,,Neutral,false,true,true,false,false,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,
90,977,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,loan,not-mentioned,version 2,Somewhat Fair,false,true,true,false,true,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,,Very Fair,false,false,false,false,false,true,true,false,,Fair,false,false,false,false,false,false,true,false,,Fair,false,false,false,false,false,false,true,false,,Fair,true,false,true,true,false,false,false,false,,Very Fair,false,false,false,false,false,false,true,true,,Very Fair,true,false,true,true,true,false,false,false,,Fair,false,true,false,true,false,false,true,false,,Fair,true,true,false,true,true,false,false,false,
91,547,60-69,Associate or Diploma,Male,,<25000,false,false,false,true,false,,loan,mentioned,version 2,Somewhat Fair,true,true,false,false,true,false,false,false,,Very Fair,true,true,false,false,true,true,false,false,,Unfair,false,false,false,true,true,false,true,false,,Very Unfair,false,true,false,true,true,false,false,false,,Unfair,false,true,false,false,true,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,true,false,,Somewhat Unfair,false,true,false,false,true,false,false,false,,Very Fair,true,true,true,false,true,false,false,false,,Very Fair,true,true,false,true,false,false,false,false,,Somewhat Fair,true,true,true,false,true,false,false,false,
92,551,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,loan,not-mentioned,version 2,Neutral,false,true,false,true,true,false,false,false,,Very Fair,false,true,true,false,false,false,true,false,,Somewhat Unfair,false,false,true,true,false,false,false,false,,Unfair,false,true,true,true,false,false,false,false,,Somewhat Unfair,true,true,false,false,false,false,false,false,,Fair,false,false,false,true,true,false,false,false,,Neutral,true,false,true,false,false,false,false,false,,Neutral,true,true,false,false,false,false,false,false,,Fair,false,false,false,false,true,false,false,false,,Somewhat Fair,true,false,true,false,false,false,false,false,
93,288,18-29,Bachelor,Male,,50000-75000,false,true,false,false,false,,loan,mentioned,version 2,Somewhat Fair,false,true,false,false,false,false,false,false,,Very Fair,true,false,false,true,false,false,false,false,,Very Fair,true,true,false,true,false,true,false,false,,Somewhat Unfair,false,false,true,true,true,false,false,false,,Very Unfair,true,false,true,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Somewhat Fair,true,false,false,true,true,true,false,false,,Very Fair,true,true,true,true,true,true,true,false,,Very Fair,true,true,true,true,true,true,false,false,,Fair,true,true,false,true,false,false,false,false,
362,979,18-29,Bachelor,Female,,50000-75000,false,false,false,true,false,,loan,not-mentioned,version 2,Fair,false,true,false,true,true,false,false,false,,Very Fair,false,true,false,true,true,false,false,false,,Somewhat Unfair,false,false,true,true,false,true,true,true,,Unfair,false,true,false,true,true,true,true,true,,Somewhat Fair,false,false,false,true,true,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Unfair,false,true,false,false,false,true,true,true,,Fair,false,true,false,true,true,false,false,false,,Fair,false,true,false,true,true,false,false,false,,Somewhat Fair,false,true,true,false,false,false,false,false,
363,786,30-39,Graduate,Male,,25000-50000,false,true,false,false,false,,loan,not-mentioned,version 1,Very Fair,false,true,false,false,false,true,false,false,,Very Fair,false,false,false,false,true,false,false,false,,Very Fair,false,false,false,false,true,false,false,false,,Fair,false,true,false,false,false,false,false,false,,Very Fair,true,false,false,false,false,false,true,false,,Somewhat Fair,false,false,false,false,false,false,true,false,,Somewhat Fair,true,false,true,false,false,false,false,false,,Fair,false,false,false,true,false,false,false,false,,Very Fair,false,false,false,false,true,false,false,false,,Somewhat Unfair,false,false,false,false,false,true,false,false,
