Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Work History,Work History Reliability,Work History Relevance,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Skills,Skills Reliability,Skills Relevance,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Disability,Disability Reliability,Disability Relevance,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Time Unemployed,Time Unemployed Reliability,Time Unemployed Relevance,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Reason,Reason Reliability,Reason Relevance,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Initiative,Initiative Reliability,Initiative Relevance,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group
511,990,30-39,High School,Male,,25000-50000,false,false,false,true,false,,unem,fairness first,Unfair,Disagree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Very Fair,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Fair,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Neutral,Neutral,Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Disagree,Agree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
512,2189,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,unem,fairness first,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Unfair,Agree,Disagree,Strongly Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Agree,Neutral,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Very Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Disagree,Somewhat Disagree,Very Unfair,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Unfair,Neutral,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Disagree,Disagree,Neutral,Agree,Somewhat Disagree,Neutral,Disagree,Disagree
513,1930,50-59,Graduate,Female,,75000-100000,true,false,false,true,false,,unem,properties first,Neutral,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Strongly Disagree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Very Fair,Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Fair,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Very Unfair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral
514,1596,40-49,Bachelor,Male,,25000-50000,false,false,false,true,false,,unem,fairness first,Fair,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
515,2035,30-39,High School,Female,,75000-100000,false,false,false,true,false,,unem,fairness first,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Somewhat Agree,Neutral,,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Unfair,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Disagree,Disagree,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Agree,Strongly Agree,Strongly Agree
516,1812,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,unem,properties first,Very Unfair,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Unfair,Agree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Agree,Neutral,Agree,Agree,Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Unfair,Somewhat Agree,Strongly Agree,Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Unfair,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Unfair,Strongly Disagree,Agree,Somewhat Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Somewhat Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
517,735,50-59,High School,Male,,25000-50000,false,false,false,true,false,,unem,fairness first,Somewhat Fair,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neutral,Agree,Strongly Agree,Somewhat Unfair,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Fair,Agree,Agree,Somewhat Disagree,Agree,Agree,Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Fair,,,,,,,,,Unfair,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Somewhat Unfair,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Unfair,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Strongly Disagree
518,735,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,unem,fairness first,Unfair,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Fair,Agree,Strongly Agree,Disagree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Disagree,Disagree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Disagree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Agree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree
519,3068,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,unem,fairness first,Very Unfair,Strongly Agree,Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Neutral,Very Fair,Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Very Fair,Neutral,Neutral,Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
520,1650,60-69,Bachelor,Female,,<25000,false,false,false,true,false,,unem,fairness first,Somewhat Fair,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Unfair,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Unfair,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Agree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Disagree,Fair,Agree,Somewhat Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Fair,Somewhat Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
