Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,MLBias,Question Order Version,Current Charges,Current Charges Reliability,Current Charges Relevance,Current Charges Privacy,Current Charges Volitionality,Current Charges Causes Outcome,Current Charges Causes Cycle,Current Charges Causes Disparity,Current Charges Caused by Group,Current Charges Other,Criminal History,Criminal History Reliability,Criminal History Relevance,Criminal History Privacy,Criminal History Volitionality,Criminal History Causes Outcome,Criminal History Causes Cycle,Criminal History Causes Disparity,Criminal History Caused by Group,Criminal History Other,Substance Abuse,Substance Abuse Reliability,Substance Abuse Relevance,Substance Abuse Privacy,Substance Abuse Volitionality,Substance Abuse Causes Outcome,Substance Abuse Causes Cycle,Substance Abuse Causes Disparity,Substance Abuse Caused by Group,Substance Abuse Other,Employment and Living,Employment and Living Reliability,Employment and Living Relevance,Employment and Living Privacy,Employment and Living Volitionality,Employment and Living Causes Outcome,Employment and Living Causes Cycle,Employment and Living Causes Disparity,Employment and Living Caused by Group,Employment and Living Other,Personality,Personality Reliability,Personality Relevance,Personality Privacy,Personality Volitionality,Personality Causes Outcome,Personality Causes Cycle,Personality Causes Disparity,Personality Caused by Group,Personality Other,Criminal Attitudes,Criminal Attitudes Reliability,Criminal Attitudes Relevance,Criminal Attitudes Privacy,Criminal Attitudes Volitionality,Criminal Attitudes Causes Outcome,Criminal Attitudes Causes Cycle,Criminal Attitudes Causes Disparity,Criminal Attitudes Caused by Group,Criminal Attitudes Other,Neighbourhood,Neighbourhood Reliability,Neighbourhood Relevance,Neighbourhood Privacy,Neighbourhood Volitionality,Neighbourhood Causes Outcome,Neighbourhood Causes Cycle,Neighbourhood Causes Disparity,Neighbourhood Caused by Group,Neighbourhood Other,Friends and Family,Friends and Family Reliability,Friends and Family Relevance,Friends and Family Privacy,Friends and Family Volitionality,Friends and Family Causes Outcome,Friends and Family Causes Cycle,Friends and Family Causes Disparity,Friends and Family Caused by Group,Friends and Family Other,Social Life,Social Life Reliability,Social Life Relevance,Social Life Privacy,Social Life Volitionality,Social Life Causes Outcome,Social Life Causes Cycle,Social Life Causes Disparity,Social Life Caused by Group,Social Life Other,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Education Other
51,1031,30-39,High School,Female,,<25000,false,false,false,true,false,,rec,not-mentioned,version 2,Very Fair,true,true,true,true,true,true,false,false,,Very Fair,true,true,true,true,true,true,false,false,,Somewhat Fair,true,true,false,true,true,true,false,false,,Very Unfair,false,true,true,false,true,true,true,true,,Somewhat Unfair,true,true,false,false,true,false,false,false,,Somewhat Unfair,false,true,true,true,true,true,true,false,,Very Fair,true,true,false,true,true,true,true,false,,Very Unfair,true,true,true,true,true,true,true,false,,Very Unfair,true,true,true,false,true,true,true,false,,Very Unfair,false,true,true,false,true,false,true,true,
52,664,30-39,Bachelor,Female,,50000-75000,false,true,false,true,false,,rec,mentioned,version 2,Very Fair,true,true,true,false,false,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Somewhat Fair,true,false,false,true,true,false,false,false,,Fair,true,true,false,false,true,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Neutral,false,false,false,false,false,false,false,true,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Neutral,false,false,false,false,false,false,false,true,,Somewhat Unfair,false,true,false,false,false,false,false,false,
55,397,40-49,Bachelor,Female,,25000-50000,false,false,false,true,false,,rec,mentioned,version 2,Very Fair,true,true,false,true,true,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Very Fair,false,false,false,true,true,false,false,false,,Somewhat Fair,false,true,false,true,true,false,false,false,,Somewhat Unfair,true,true,false,false,false,false,false,false,,Somewhat Fair,false,false,false,true,true,false,false,false,,Somewhat Unfair,true,false,false,true,false,false,false,false,,Somewhat Fair,false,false,true,false,true,false,false,false,,Unfair,true,false,true,false,false,false,false,false,,Unfair,false,true,false,false,true,false,false,false,
57,831,50-59,Bachelor,,,50000-75000,false,false,false,true,false,,rec,mentioned,version 2,Unfair,false,true,false,false,false,false,false,false,,Somewhat Fair,false,false,false,true,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,false,false,false,true,false,false,false,,Very Unfair,false,false,false,true,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,
58,1342,30-39,Graduate,Male,,75000-100000,false,false,false,true,false,,rec,mentioned,version 2,Very Fair,true,true,false,true,true,false,false,false,,Very Fair,true,true,false,true,true,false,false,false,,Fair,false,true,false,true,true,false,false,false,,Neutral,true,false,false,false,false,false,false,false,,Very Unfair,true,true,false,true,true,false,false,false,,Very Unfair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,true,true,false,false,false,,Somewhat Unfair,true,false,false,false,false,false,false,false,,Very Unfair,true,true,false,false,false,false,false,false,,Neutral,true,false,false,false,false,false,false,false,
59,759,30-39,High School,Male,,<25000,false,false,false,true,false,,rec,not-mentioned,version 2,Somewhat Unfair,false,false,false,false,false,false,false,false,They have not been found guilty and should not be punished before being found guilty.,Somewhat Unfair,false,false,false,false,false,false,true,true,,Unfair,false,true,true,false,false,true,true,true,,Very Unfair,false,false,true,false,false,true,true,false,,Very Unfair,true,true,false,false,false,false,true,false,,Very Unfair,true,true,false,false,false,false,false,false,You'd be punishing them for an opinion,Very Unfair,false,true,false,true,true,true,true,false,,Very Unfair,false,true,true,true,false,true,true,false,,Very Unfair,true,true,true,false,false,true,false,false,,Very Unfair,false,true,false,false,true,false,false,false,
61,799,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,rec,not-mentioned,version 2,Very Fair,true,false,false,true,true,false,false,false,,Very Fair,true,false,true,true,true,false,false,false,,Fair,false,false,false,true,true,false,false,false,,Fair,true,true,false,false,true,false,false,false,,Somewhat Fair,true,false,false,true,true,false,false,false,,Fair,true,false,false,true,true,false,false,false,,Unfair,false,false,false,true,false,true,false,false,,Somewhat Fair,true,false,false,false,true,false,false,false,,Unfair,false,true,true,false,false,false,false,false,,Somewhat Fair,true,false,false,false,true,false,false,false,
62,719,30-39,Bachelor,Male,,25000-50000,true,false,false,true,false,,rec,not-mentioned,version 2,Somewhat Fair,true,false,false,true,false,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Somewhat Fair,false,false,false,true,true,false,false,false,,Unfair,false,false,false,true,true,false,false,false,,Somewhat Unfair,false,false,false,false,true,false,false,false,,Fair,false,false,false,true,true,false,false,false,,Neutral,false,false,false,false,false,false,false,true,,Unfair,true,true,false,false,false,false,false,false,,Unfair,true,true,false,false,false,false,false,false,,Unfair,true,false,false,false,false,false,false,false,
101,902,40-49,High School,Male,,<25000,false,false,false,true,false,,rec,not-mentioned,version 1,Fair,false,false,true,true,false,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Very Fair,false,false,false,true,true,false,false,false,,Somewhat Fair,true,true,true,true,false,false,false,false,,Fair,true,true,true,false,false,false,false,false,,Somewhat Fair,true,false,false,false,true,false,false,false,,Very Fair,false,true,true,false,false,false,false,false,,Somewhat Fair,true,false,true,false,true,false,false,false,,Somewhat Fair,false,false,false,true,true,false,false,false,,Somewhat Fair,true,false,true,false,false,false,false,false,
102,860,40-49,Bachelor,Female,,<25000,false,false,false,false,true,,rec,not-mentioned,version 2,Very Fair,true,true,true,false,false,false,false,false,,Somewhat Fair,false,false,true,false,true,false,false,false,,Somewhat Unfair,true,false,true,false,false,false,false,false,,Unfair,false,false,false,false,false,true,true,false,,Unfair,false,true,false,false,true,false,false,false,,Neutral,false,false,false,false,true,false,false,false,,Very Unfair,false,true,false,true,false,true,true,false,,Very Unfair,false,true,true,true,false,true,true,false,,Unfair,false,true,true,false,false,false,false,false,,Very Unfair,false,true,false,false,false,true,true,false,
