Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,MLBias,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Age Other,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Gender Other,Race,Race Reliability,Race Relevance,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Race Other,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Residence Other,Hospital Treated,Hospital Treated Reliability,Hospital Treated Relevance,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Hospital Treated Other,Admission,Admission Reliability,Admission Relevance,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Admission Other,Number of Discharges,Number of Discharges Reliability,Number of Discharges Relevance,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,Number of Discharges Other,History of Health,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group,History of Health Other
79,517,30-39,High School,Male,,25000-50000,false,false,false,true,false,,hos,mentioned,version 2,Somewhat Fair,true,true,true,false,false,true,true,false,,Fair,true,false,true,false,false,true,true,false,,Unfair,false,true,false,true,true,false,true,false,,Somewhat Unfair,false,true,true,false,false,false,false,false,,Very Fair,true,true,true,false,false,true,true,false,,Somewhat Fair,true,false,false,false,false,true,true,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,false,true,true,false,
80,827,30-39,High School,Male,,25000-50000,false,false,false,true,false,,hos,mentioned,version 2,Very Fair,true,true,false,false,true,false,false,false,,Unfair,false,true,false,true,true,false,false,false,,Unfair,false,false,false,true,true,false,false,false,,Somewhat Unfair,false,true,true,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Fair,true,true,true,false,false,false,false,false,,Very Fair,true,true,false,true,false,true,true,false,,Very Fair,true,true,false,false,true,false,false,false,
82,548,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,not-mentioned,version 2,Very Fair,false,true,false,false,true,false,false,false,,Fair,false,true,true,false,false,false,false,false,,Fair,false,true,true,false,true,false,false,false,,Very Fair,true,false,false,false,false,false,false,false,,Very Fair,true,true,false,false,false,true,false,false,,Fair,false,false,false,false,true,false,false,false,,Fair,false,false,false,false,true,false,false,false,,Very Fair,false,true,false,false,true,false,false,false,
83,1116,30-39,Graduate,Female,,>100000,false,false,false,true,false,,hos,mentioned,version 2,Somewhat Unfair,false,false,false,false,false,false,true,false,,Somewhat Unfair,false,false,false,false,false,false,true,false,,Unfair,false,false,false,false,false,false,true,false,,Unfair,false,false,false,false,false,false,true,false,,Unfair,false,true,false,false,false,false,false,false,,Fair,false,true,false,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Neutral,false,false,false,false,true,false,false,false,
312,1331,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,mentioned,version 1,Fair,true,true,false,false,true,false,false,false,,Somewhat Fair,true,true,false,false,true,false,false,false,,Neutral,true,true,true,false,false,false,false,false,,Unfair,true,true,true,false,false,false,false,false,,Fair,false,true,false,false,false,false,false,false,,Fair,true,true,false,false,true,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,,Fair,true,true,false,true,true,false,false,false,
313,225,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,hos,not-mentioned,version 2,Fair,true,false,false,false,false,false,false,false,,Unfair,false,false,false,true,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Fair,false,false,false,false,false,false,false,true,,Fair,true,false,false,false,false,false,false,false,,Fair,true,false,false,false,false,false,false,false,,Fair,false,true,false,false,false,false,false,false,,Very Fair,false,true,false,false,false,false,false,false,
314,749,50-59,Graduate,Female,,>100000,false,false,false,true,false,,hos,mentioned,version 1,Very Fair,true,true,false,false,true,false,false,false,,Very Unfair,false,true,false,true,true,true,true,true,,Very Unfair,false,true,false,true,true,true,true,true,,Unfair,false,true,false,false,true,false,false,false,,Very Fair,true,false,false,false,true,true,true,true,,Very Fair,true,true,true,false,false,true,true,true,,Very Fair,true,false,false,false,true,false,true,true,,Very Fair,true,true,false,false,true,false,true,true,
315,226,40-49,Graduate,Male,,50000-75000,false,false,false,true,false,,hos,mentioned,version 2,Very Fair,true,true,false,false,true,false,false,false,,Very Fair,true,true,false,false,false,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Somewhat Fair,true,false,true,false,false,false,false,false,,Somewhat Fair,true,true,true,true,true,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,
316,807,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,not-mentioned,version 2,Fair,false,false,true,false,false,false,true,false,,Fair,true,false,true,false,false,false,false,true,,Neutral,false,true,true,false,false,false,true,false,,Somewhat Fair,false,false,true,true,false,false,false,false,,Very Fair,true,false,false,true,true,false,false,true,,Very Fair,true,true,false,false,false,true,false,true,,Very Fair,true,true,false,false,true,true,false,false,,Very Fair,true,true,false,false,true,false,true,true,
317,587,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,not-mentioned,version 2,Somewhat Fair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,true,true,true,true,true,,Very Unfair,false,true,false,false,false,false,true,true,,Somewhat Unfair,false,false,false,true,false,false,false,false,,Fair,true,true,false,false,true,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,
