Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,MLBias,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Age Other,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Gender Other,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Education Other,Work History,Work History Reliability,Work History Relevance,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Work History Other,Skills,Skills Reliability,Skills Relevance,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Skills Other,Disability,Disability Reliability,Disability Relevance,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Disability Other,Time Unemployed,Time Unemployed Reliability,Time Unemployed Relevance,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Time Unemployed Other,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Residence Other,Reason,Reason Reliability,Reason Relevance,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Reason Other,Initiative,Initiative Reliability,Initiative Relevance,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group,Initiative Other
63,1011,40-49,High School,Male,,25000-50000,false,false,false,true,false,,unem,not-mentioned,version 2,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Neutral,false,false,false,false,true,false,false,false,,Very Fair,false,true,false,false,false,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Very Fair,false,false,false,false,true,false,false,false,,Very Fair,false,false,false,false,true,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Neutral,false,false,false,true,false,false,false,false,,Very Fair,false,false,false,false,true,false,false,false,
66,961,30-39,Associate or Diploma,Female,,75000-100000,false,false,false,true,false,,unem,not-mentioned,version 2,Somewhat Unfair,false,false,false,false,true,false,false,false,,Very Unfair,true,true,false,false,true,true,true,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Somewhat Fair,true,true,false,true,true,true,true,false,,Somewhat Unfair,true,true,false,false,false,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Very Fair,true,true,false,true,false,true,true,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Fair,true,true,false,true,false,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,
68,434,30-39,Graduate,Male,,50000-75000,false,true,false,false,false,,unem,mentioned,version 2,Somewhat Unfair,false,false,false,true,false,false,false,false,,Very Unfair,false,false,false,true,false,false,false,false,,Somewhat Fair,false,false,true,false,false,false,false,false,,Somewhat Fair,true,false,false,false,false,false,false,false,,Fair,true,false,false,false,false,false,false,false,,Very Unfair,false,false,true,true,false,false,false,false,,Neutral,false,false,false,false,true,false,false,false,,Unfair,false,false,true,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Somewhat Unfair,true,false,false,false,false,false,false,false,
166,442,40-49,High School,Female,,25000-50000,false,false,false,true,false,,unem,mentioned,version 2,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,true,false,false,,Somewhat Unfair,true,true,false,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,true,false,false,false,true,,Somewhat Unfair,false,false,false,false,false,true,false,true,,Unfair,false,true,false,false,false,true,false,false,,Very Unfair,true,true,true,false,false,false,false,false,,Somewhat Fair,false,false,false,true,false,false,false,false,
167,798,30-39,Graduate,Female,,<25000,false,true,false,false,false,,unem,not-mentioned,version 2,Somewhat Fair,true,false,true,false,false,false,true,false,,Very Unfair,false,true,true,true,false,false,true,false,,Very Fair,true,true,false,false,true,true,true,false,,Very Fair,true,true,false,true,false,true,true,false,,Fair,true,true,false,false,true,false,false,false,,Neutral,true,true,false,false,true,false,false,false,,Unfair,true,false,true,false,false,false,false,false,,Somewhat Unfair,true,false,true,false,true,false,false,false,,Somewhat Fair,false,true,true,true,false,false,true,false,,Fair,true,true,false,true,false,false,false,false,
168,370,18-29,Bachelor,Female,,50000-75000,false,false,false,true,false,,unem,not-mentioned,version 2,Unfair,false,true,false,false,false,true,true,true,,Very Unfair,false,true,true,true,true,true,true,true,,Neutral,true,true,false,false,true,false,false,false,,Somewhat Fair,true,true,true,true,true,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,,Somewhat Unfair,false,false,true,true,false,true,true,true,,Neutral,true,false,false,false,true,false,false,false,,Very Unfair,false,true,true,false,true,true,true,false,,Somewhat Unfair,true,true,true,false,true,true,false,false,,Somewhat Unfair,true,false,false,false,false,true,false,false,
169,1074,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,unem,not-mentioned,version 2,Fair,true,false,false,false,true,false,false,false,,Unfair,false,false,false,true,false,false,true,false,,Very Fair,true,true,false,true,false,false,false,false,,Somewhat Unfair,false,false,true,true,false,false,false,false,,Very Fair,true,true,false,false,false,false,true,false,,Unfair,false,false,false,false,false,false,true,false,,Very Fair,false,true,false,true,true,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Fair,true,true,false,true,false,true,false,false,,Somewhat Fair,false,false,false,false,false,false,true,false,
170,514,30-39,High School,Male,,50000-75000,false,false,false,true,false,,unem,not-mentioned,version 2,Very Unfair,false,true,false,true,false,true,true,false,,Very Unfair,false,true,false,true,true,true,true,false,,Somewhat Unfair,false,true,false,false,false,true,false,false,,Neutral,true,false,false,false,false,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Neutral,true,false,false,false,false,false,false,false,,Unfair,false,true,false,false,false,true,false,false,,Very Unfair,false,true,true,false,false,true,true,false,,Unfair,true,true,false,false,false,true,false,false,,Somewhat Fair,false,true,false,true,false,false,false,false,
171,346,40-49,Bachelor,Male,,25000-50000,false,false,false,true,false,,unem,not-mentioned,version 1,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,false,false,true,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Fair,true,true,false,false,true,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Fair,false,false,false,true,true,false,false,false,
172,121,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,unem,not-mentioned,version 2,Neutral,false,false,false,true,false,false,false,false,,Neutral,false,false,false,false,true,false,false,false,,Somewhat Fair,false,false,false,true,false,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Fair,false,false,false,false,true,false,false,false,,Somewhat Fair,false,false,false,true,false,false,false,false,,Fair,false,true,false,false,false,false,false,false,,Neutral,false,false,true,false,false,false,false,false,,Neutral,false,false,false,true,false,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,
