Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount,Loan Amount Reliability,Loan Amount Privacy,Loan Amount Volitionality,Loan Amount Causes Outcome,Loan Amount Causes Cycle,Loan Amount Causes Disparity,Loan Amount Caused by Group,Income,Income Reliability,Income Privacy,Income Volitionality,Income Causes Outcome,Income Causes Cycle,Income Causes Disparity,Income Caused by Group,Age,Age Reliability,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Dependents,Dependents Reliability,Dependents Privacy,Dependents Volitionality,Dependents Causes Outcome,Dependents Causes Cycle,Dependents Causes Disparity,Dependents Caused by Group,Education,Education Reliability,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Employment,Employment Reliability,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Property,Property Reliability,Property Privacy,Property Volitionality,Property Causes Outcome,Property Causes Cycle,Property Causes Disparity,Property Caused by Group
1459,743,18-29,Bachelor,Female,,<25000,false,true,false,false,false,,loan,fairness first,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Very Fair,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree
1460,1789,50-59,Associate or Diploma,Female,,75000-100000,false,false,false,true,false,,loan,properties first,Fair,Agree,Somewhat Agree,Neutral,Agree,Disagree,Disagree,Disagree,Fair,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Agree,,Strongly Disagree,Neutral,Neutral,Agree,Agree,Unfair,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Unfair,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Disagree,Disagree,Fair,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Agree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree
1461,907,18-29,Bachelor,Male,,50000-75000,false,true,false,false,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Very Fair,,,,,,,,Unfair,Agree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Somewhat Fair,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Neutral,Agree,Agree,Fair,Somewhat Agree,Disagree,Neutral,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Very Fair,Strongly Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Fair,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree
1462,710,60-69,Bachelor,Male,,>100000,false,false,false,true,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1463,460,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Unfair,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Very Unfair,Disagree,Somewhat Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Somewhat Fair,Somewhat Disagree,Somewhat Agree,Agree,Agree,Disagree,Disagree,Disagree,Fair,Agree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Agree,,,,,,Fair,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Disagree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Disagree
1464,771,30-39,Graduate,Female,,25000-50000,false,true,false,false,true,,loan,fairness first,Unfair,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Unfair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Unfair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Unfair,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Unfair,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Unfair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Unfair,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
1465,1022,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,fairness first,Very Fair,Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Very Fair,Disagree,Strongly Agree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Disagree,Disagree,Neutral,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Somewhat Fair,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Very Fair,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree
1466,1956,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,loan,fairness first,Very Fair,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Fair,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Unfair,Strongly Agree,Somewhat Disagree,,Somewhat Disagree,Disagree,Agree,Agree,Very Fair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree
1467,1161,18-29,High School,Male,,>100000,false,false,true,false,true,,loan,properties first,Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Agree,Neutral,Somewhat Disagree,Fair,Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Unfair,Agree,Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Unfair,Agree,Somewhat Disagree,Neutral,Disagree,Neutral,Somewhat Disagree,Disagree,Unfair,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Somewhat Fair,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Agree,Disagree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Very Fair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree
1468,1227,60-69,High School,Male,,<25000,false,false,false,true,false,,loan,fairness first,Somewhat Fair,Agree,Somewhat Agree,Neutral,Neutral,Agree,Neutral,Somewhat Agree,Fair,Agree,Disagree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Disagree,Fair,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Disagree,Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Fair,Agree,Somewhat Disagree,Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Fair,Agree,Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Fair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Fair,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree
