Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Education,Education Reliability,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Work History,Work History Reliability,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Skills,Skills Reliability,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Disability,Disability Reliability,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Time Unemployed,Time Unemployed Reliability,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Residence,Residence Reliability,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Reason,Reason Reliability,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Initiative,Initiative Reliability,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group
1161,1729,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,unem,properties first,Neutral,Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Very Unfair,Somewhat Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Very Unfair,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Fair,Somewhat Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Very Unfair,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Neutral,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Strongly Disagree,Neutral,Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Very Fair,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Agree,Strongly Agree,Strongly Agree
1162,760,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,unem,properties first,Very Unfair,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Somewhat Unfair,Somewhat Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Unfair,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Somewhat Unfair,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Neutral,Very Unfair,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,,Strongly Agree,Strongly Agree,Unfair,Somewhat Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Neutral,Agree,Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Somewhat Unfair,Strongly Disagree,Neutral,Somewhat Disagree,Disagree,Agree,Strongly Agree,Strongly Agree
1163,779,18-29,High School,Male,,25000-50000,false,false,false,true,false,,unem,properties first,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Fair,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Very Unfair,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree
1164,1387,18-29,Bachelor,Female,,75000-100000,false,true,false,false,false,,unem,properties first,Unfair,Agree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Somewhat Agree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neutral,Disagree,Disagree,Somewhat Unfair,Agree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Neutral,Disagree,Disagree,Somewhat Unfair,Agree,Disagree,Agree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Disagree
1165,1414,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,unem,fairness first,Unfair,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Agree,Disagree,Very Unfair,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Very Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Unfair,Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Unfair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Unfair,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Unfair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Unfair,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral
1166,722,18-29,Bachelor,Female,,25000-50000,false,false,true,false,false,,unem,properties first,Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Fair,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Somewhat Fair,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1167,814,18-29,Bachelor,Female,,50000-75000,false,false,true,true,false,,unem,properties first,Very Unfair,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Unfair,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Fair,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Very Unfair,Neutral,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Fair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Disagree,Disagree,Very Unfair,Disagree,Disagree,Neutral,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Unfair,Agree,Somewhat Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1168,1617,30-39,High School,Male,,<25000,false,false,false,true,false,,unem,fairness first,Very Unfair,Somewhat Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Disagree,Disagree,Somewhat Agree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Fair,Agree,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Very Unfair,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Very Unfair,Strongly Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral
1169,1346,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,unem,properties first,Somewhat Unfair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Unfair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Agree,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Disagree,,Somewhat Disagree,Somewhat Disagree,Agree,Agree
1170,1677,30-39,Graduate,Female,,50000-75000,false,false,false,true,false,,unem,fairness first,Fair,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Fair,Neutral,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Fair,Strongly Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Very Fair,Agree,Somewhat Agree,Neutral,Agree,Agree,Strongly Agree,Somewhat Agree,Very Fair,Somewhat Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Fair,Somewhat Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree
