Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Child Demographics,Child Demographics Reliability,Child Demographics Relevance,Child Demographics Privacy,Child Demographics Volitionality,Child Demographics Causes Outcome,Child Demographics Causes Cycle,Child Demographics Causes Disparity,Child Demographics Caused by Group,Child CPS,Child CPS Reliability,Child CPS Relevance,Child CPS Privacy,Child CPS Volitionality,Child CPS Causes Outcome,Child CPS Causes Cycle,Child CPS Causes Disparity,Child CPS Caused by Group,Child Justice,Child Justice Reliability,Child Justice Relevance,Child Justice Privacy,Child Justice Volitionality,Child Justice Causes Outcome,Child Justice Causes Cycle,Child Justice Causes Disparity,Child Justice Caused by Group,Child Welfare,Child Welfare Reliability,Child Welfare Relevance,Child Welfare Privacy,Child Welfare Volitionality,Child Welfare Causes Outcome,Child Welfare Causes Cycle,Child Welfare Causes Disparity,Child Welfare Caused by Group,Parent Demographics,Parent Demographics Reliability,Parent Demographics Relevance,Parent Demographics Privacy,Parent Demographics Volitionality,Parent Demographics Causes Outcome,Parent Demographics Causes Cycle,Parent Demographics Causes Disparity,Parent Demographics Caused by Group,Parent Welfare,Parent Welfare Reliability,Parent Welfare Relevance,Parent Welfare Privacy,Parent Welfare Volitionality,Parent Welfare Causes Outcome,Parent Welfare Causes Cycle,Parent Welfare Causes Disparity,Parent Welfare Caused by Group,Perp Demographics,Perp Demographics Reliability,Perp Demographics Relevance,Perp Demographics Privacy,Perp Demographics Volitionality,Perp Demographics Causes Outcome,Perp Demographics Causes Cycle,Perp Demographics Causes Disparity,Perp Demographics Caused by Group,Perp Welfare,Perp Welfare Reliability,Perp Welfare Relevance,Perp Welfare Privacy,Perp Welfare Volitionality,Perp Welfare Causes Outcome,Perp Welfare Causes Cycle,Perp Welfare Causes Disparity,Perp Welfare Caused by Group,All CPS,All CPS Reliability,All CPS Relevance,All CPS Privacy,All CPS Volitionality,All CPS Causes Outcome,All CPS Causes Cycle,All CPS Causes Disparity,All CPS Caused by Group,All Health,All Health Reliability,All Health Relevance,All Health Privacy,All Health Volitionality,All Health Causes Outcome,All Health Causes Cycle,All Health Causes Disparity,All Health Caused by Group
521,1063,30-39,High School,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Agree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Fair,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Unfair,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Very Fair,Agree,Agree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Agree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Agree,Disagree,Somewhat Agree,,Disagree,Disagree,Disagree
522,1534,50-59,Associate or Diploma,Female,,>100000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Unfair,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Agree,Somewhat Agree,Agree,Unfair,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Agree,Agree,Agree,Very Unfair,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree
523,638,30-39,Bachelor,Female,,75000-100000,false,true,false,false,false,,cps,properties first,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Very Fair,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,,Very Fair,Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
524,1977,50-59,Associate or Diploma,Male,,<25000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Unfair,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree
525,664,40-49,Graduate,Female,,<25000,false,false,false,true,false,,cps,properties first,Very Unfair,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Very Fair,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Agree,,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
526,2735,40-49,Graduate,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Neutral,Agree,Somewhat Agree,Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Fair,Neutral,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Fair,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Disagree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,Agree,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Unfair,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Fair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Fair,Neutral,Somewhat Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree
527,902,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Fair,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Fair,Agree,Agree,,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
528,1354,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Very Fair,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree
529,3108,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Very Unfair,Disagree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Very Fair,Somewhat Disagree,Disagree,Somewhat Agree,Neutral,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Agree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Agree,Neutral,Disagree,Very Unfair,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Agree,Neutral,Agree,Neutral,Very Unfair,Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Disagree,Very Unfair,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Very Unfair,Agree,Somewhat Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Very Unfair,Strongly Disagree,Neutral,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Fair,Neutral,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Unfair,Disagree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Somewhat Agree,Neutral
530,1222,30-39,Bachelor,Male,,25000-50000,false,false,false,false,true,,cps,properties first,Very Unfair,Agree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Very Fair,Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Somewhat Agree,Neutral,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,Agree,Neutral,Fair,Agree,Agree,Strongly Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Very Unfair,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Fair,Strongly Agree,Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Unfair,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Fair,Agree,Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral
