Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.8157225181598062,0.00019017062363969368,,0.9008138581396394,,,,,,
All Domains,0.7102644067796611,0.00023640588167647022,,,-0.060587747083272095,0.02059763599571922,0.5138952072155457,-0.12235046759181355,-0.2610758330017604,0.027977606082891838
All Domains,0.7458513317191283,0.0002115986918654158,0.3998691411238787,,,0.02440533485374664,0.5105919138578043,-0.09047949187743314,-0.2658456050639022,0.013724049028195642
All Domains,0.7457288135593221,0.00021915596947286582,0.3955223019953457,,-0.02297293772545151,,0.5139439227474449,-0.08604049497895389,-0.26964246702091776,0.01648878996963916
All Domains,0.6900140435835351,0.0002442256607837242,0.4064301637380838,,-0.045206409350210267,0.09096405816481568,,0.02352829325695218,-0.2725664120744687,0.03952227784327113
All Domains,0.7440145278450363,0.00021594194202020434,0.4031761219565954,,-0.033028078075079514,0.02526397714692664,0.494899379150377,,-0.3061546018297981,0.011648166005404371
All Domains,0.7391118644067797,0.00022026826746776633,0.3956409816834587,,-0.029118813764803842,0.04167178578849404,0.5086505302260689,-0.17543218535254718,,-0.13562401236514665
All Domains,0.7448518159806294,0.00022220236499022146,0.3971173686639117,,-0.026208354243141524,0.02780818333208857,0.5097799538491311,-0.086818701703126,-0.2555105862340096,
All Domains,0.7112702179176756,0.00022433597637530492,,,,0.013035656288690597,0.5172279500666241,-0.13013707295057225,-0.2632589644992493,0.02650738993953132
All Domains,0.7096334140435836,0.00022838820680994414,,,-0.057688595217012986,,0.5172010005347965,-0.12130572850334619,-0.26386576304118003,0.02950208792230442
All Domains,0.6493777239709443,0.0002657368818133877,,,-0.0814872312531216,0.08268292105402632,,-0.011369075984631376,-0.2660103391486918,0.04918760355993738
All Domains,0.7095094430992736,0.0002363019181936678,,,-0.0701286256054535,0.017390781843872983,0.49388511430987453,,-0.3187002226447918,0.023005676970467133
All Domains,0.705317191283293,0.00022708482352227973,,,-0.06535085577383341,0.03310157151545462,0.5128125548356715,-0.20851237979080905,,-0.12148706527923792
All Domains,0.7100895883777238,0.00023620978360104012,,,-0.06026192576997878,0.021510667835184745,0.5144950953097426,-0.12142292014651382,-0.24195088936559855,
All Domains,0.7462939467312348,0.00021892153015804497,0.39837871357481613,,,,0.514574884619211,-0.08898594880307707,-0.2695934822080283,0.015459552751712303
All Domains,0.6903530266343826,0.00023265253572692367,0.41225606699558237,,,0.08641222654603811,,0.01895560267860931,-0.2743928940766939,0.03830033391052805
All Domains,0.7454910411622278,0.00022080103387152732,0.4074469813344032,,,0.02146630845345842,0.49565310203788326,,-0.30836906049958057,0.01034938732113686
All Domains,0.7406489104116223,0.00021775005045556486,0.39930985458475,,,0.03859999849952098,0.5101146341847014,-0.17873024717019165,,-0.13717123554717423
All Domains,0.7456648910411623,0.0002218123841877566,0.4002137258290362,,,0.024843470937863817,0.5109473864018008,-0.09002307381970205,-0.2565154680535744,
All Domains,0.6823181598062954,0.00023487335258108645,0.40283472384112706,,-0.03451567580897988,,,0.032265622042230574,-0.2861735060463126,0.047394504392303534
All Domains,0.7448426150121066,0.00022366555887209846,0.4019774875511082,,-0.029735268793770933,,0.4992215972329448,,-0.3094277206714764,0.013275698658921906
All Domains,0.7403075060532688,0.0002224282949453806,0.3935159072056793,,-0.024034182960933324,,0.5156005060375677,-0.17552628627061984,,-0.13647774116867498
All Domains,0.7461515738498791,0.00021895294554297756,0.39595127066215624,,-0.02259046325437743,,0.514448164383644,-0.08548655313573988,-0.25848562082928384,
All Domains,0.6906523002421308,0.00023125311248996862,0.40470417755395344,,-0.04371617812428866,0.09222000275297153,,,-0.26093489516134327,0.040410903653500294
All Domains,0.6884450363196126,0.00023940797835551213,0.4039308523782301,,-0.050581528130712046,0.10497433466571242,,-0.06634229298407276,,-0.11735727756485753
All Domains,0.6908644067796611,0.0002359228997200072,0.40727253783971673,,-0.04466311458254738,0.09244513777396934,,0.024727086127231863,-0.2452047748742937,
All Domains,0.7351583535108959,0.0002232325208788404,0.41102922244993595,,-0.044069843219886246,0.041695933792520144,0.4747190111610938,,,-0.19680355388163537
All Domains,0.7444610169491525,0.000225857082715853,0.4034468173120342,,-0.03279484605055075,0.025596170068751468,0.4952653546000775,,-0.2980476348288228,
All Domains,0.7351438256658596,0.00021622923519296728,0.3904414192405728,,-0.03569047567815982,0.04328773770661454,0.5028879341447829,-0.2316592017672647,,
All Domains,0.710809200968523,0.0002358926417345547,,,,,0.5192950526478767,-0.12925261395508747,-0.26502836172200434,0.0275336414128976
All Domains,0.6530266343825665,0.0002417339029620789,,,,0.07393149853034325,,-0.01967117616910828,-0.2699947130407152,0.04740407321155837
All Domains,0.7109312348668282,0.00023740472848719985,,,,0.008405104571028738,0.49589409173163373,,-0.32509186534369783,0.02097829042360369
All Domains,0.7072246973365618,0.00022740909937411005,,,,0.025287100678484664,0.5165770921313286,-0.21681680671212122,,-0.12504000970347712
All Domains,0.7107302663438256,0.0002256233060659732,,,,0.0138961394169177,0.5177938487149903,-0.1292353684892385,-0.24511224977540003,
All Domains,0.6310280871670703,0.00029356200461473154,,,-0.0715126204670345,,,-0.003998574766595315,-0.27757815392777413,0.05626179496136887
All Domains,0.7092881355932203,0.00023251519241267667,,,-0.0676559746936356,,0.49679898114478593,,-0.32063498748258534,0.02431801174423918
All Domains,0.7039230024213075,0.00023094208521191043,,,-0.060926155960414605,,0.5181822890540031,-0.20813136014523606,,-0.12174521593511636
All Domains,0.7093690072639225,0.00022608714718536267,,,-0.05723030482299803,,0.5179731261110885,-0.12025894780758505,-0.2437691619772313,
All Domains,0.649898789346247,0.0002654573885562561,,,-0.08220334269034629,0.08211805289307055,,,-0.2716799173565382,0.04872313205006876
All Domains,0.6356406779661018,0.0002552109275971655,,,-0.0873185258655183,0.09564067332259675,,-0.09867537523130811,,-0.10492009014850627
All Domains,0.6477685230024214,0.00023777136885755042,,,-0.08097439064514564,0.08448392180661812,,-0.009787566187231145,-0.23188147868328834,
All Domains,0.7027932203389831,0.00022837670768727984,,,-0.08469563131581646,0.03177358644242835,0.47281307850531246,,,-0.1964041249778454
All Domains,0.7084663438256659,0.00023603080100880388,,,-0.06979023292579258,0.018161823736883582,0.4945120925238822,,-0.3026525257872783,
All Domains,0.7050072639225182,0.00022722784644109835,,,-0.07101679216306303,0.03367441973774925,0.5082672043550802,-0.2591283594105274,,
All Domains,0.6818455205811138,0.00022411686317327055,0.407403933433183,,,,,0.0283639031610145,-0.2872353676592533,0.04612142214919688
All Domains,0.7453370460048427,0.00021792136981849296,0.40601633939974724,,,,0.4993284560565045,,-0.3110534747445902,0.011848716658689907
All Domains,0.7415612590799031,0.00022517547297625952,0.3966732772124151,,,,0.5164326106586099,-0.17830639379889665,,-0.13778926314313283
All Domains,0.746760774818402,0.00021694373316312162,0.3987386946839895,,,,0.5150422451952885,-0.08842452015599218,-0.259128103738129,
All Domains,0.6908508474576271,0.0002396333287920912,0.4107125166698737,,,0.08754158906992297,,,-0.2649367089706633,0.03904144902127734
All Domains,0.685862469733656,0.00022631793099815977,0.41069436632581785,,,0.1002424398266702,,-0.07167324148157002,,-0.12015613974651107
All Domains,0.6903951573849879,0.00023751681771368112,0.4130420989146204,,,0.08788884782528435,,0.020156924153606957,-0.2478458504139155,
All Domains,0.7370561743341405,0.00023211452589060538,0.4171497375340858,,,0.03717715350983038,0.4759713941505312,,,-0.2005890448331548
All Domains,0.7457481840193705,0.00021359261469100624,0.4076691218063953,,,0.021776677631566033,0.4959694470660208,,-0.30115028367879876,
All Domains,0.734561259079903,0.00021492091068625477,0.39487031772727427,,,0.03972886282281162,0.5046340982992175,-0.23624636542621322,,
All Domains,0.6833520581113802,0.00022809743656393395,0.40036601558586743,,-0.03225374090087696,,,,-0.27038155134632325,0.04890430405145807
All Domains,0.6818493946731234,0.00023770955935899696,0.39940895974852797,,-0.03916487692936865,,,-0.06110377455567709,,-0.11679821240918424
All Domains,0.6817806295399517,0.0002286652031126491,0.40369487483254574,,-0.03366925198373845,,,0.034020992619947246,-0.25355666872819344,
All Domains,0.7359075060532689,0.0002236119208798897,0.40876914131001685,,-0.039140930334212475,,0.48142104729666735,,,-0.19788948033344053
All Domains,0.7449162227602906,0.00022037974111368606,0.40226564931409736,,-0.02938178707297274,,0.4997130771959275,,-0.3002416486597,
All Domains,0.7331433414043583,0.00022130717086742596,0.3880604373581794,,-0.030742440426961917,,0.5099436223394734,-0.23219073567634935,,
All Domains,0.688234382566586,0.00023135774159222043,0.4095445559773278,,-0.05594325178976529,0.10266664253559021,,,,-0.14264564839372096
All Domains,0.6915142857142857,0.00023598393325697755,0.4055079189126243,,-0.04307510839747582,0.0938184734101531,,,-0.23232667186746545,
All Domains,0.6887651331719128,0.00023469396742986713,0.3993903898674894,,-0.05634006527863734,0.10400264807231038,,-0.11645904275112529,,
All Domains,0.7264808716707022,0.00023615349633364954,0.41300639116863913,,-0.06098469756723751,0.04526609785378873,0.44772203119907217,,,
All Domains,0.6397617433414043,0.00025015994446953065,,,,,,-0.011986019407547286,-0.28029576249049043,0.053998207751015666
All Domains,0.7114237288135594,0.00023274743251176336,,,,,0.49730681639947477,,-0.32596298849358124,0.0216532567686964
All Domains,0.7063912832929782,0.0002259101559459181,,,,,0.520608127507778,-0.21613449153665962,,-0.12512472105108177
All Domains,0.7099055690072639,0.00022679073128797567,,,,,0.5200158667631317,-0.1282220953917086,-0.2462481246252275,
All Domains,0.6530324455205812,0.0002471310745041484,,,,0.07280350561097255,,,-0.2798912349684772,0.04657973342222811
All Domains,0.640261985472155,0.0002518660904820121,,,,0.08670279995920871,,-0.10845343158215039,,-0.10961346473146615
All Domains,0.651560774818402,0.0002425701481280765,,,,0.07571201042296041,,-0.018113467559542525,-0.23706632852529896,
All Domains,0.7036087167070219,0.00023161598067280087,,,,0.021811660642818424,0.47520985525933973,,,-0.20422324324921845
All Domains,0.7115486682808716,0.00023827683579644884,,,,0.009131087108451586,0.4964768953343917,,-0.3104264541909538,
All Domains,0.7058106537530267,0.00023651727411281968,,,,0.025489255610700062,0.512186519698431,-0.2693304567814621,,
All Domains,0.6306246973365618,0.0002870538514758027,,,-0.07178716854425769,,,,-0.2795452848928464,0.056074880912191406
All Domains,0.6157075060532687,0.0002567211495523157,,,-0.07635200717724482,,,-0.09382003255937005,,-0.10477261673240286
All Domains,0.6330164648910411,0.00029670269816314755,,,-0.07066635969535397,,,-0.001945675805874236,-0.23867443448017686,
All Domains,0.7027506053268764,0.0002326625451910774,,,-0.08055002012049649,,0.47788011172262174,,,-0.1964839152413937
All Domains,0.7085389830508475,0.00023989217468813195,,,-0.06719407478634849,,0.4976024212741518,,-0.3036962827120481,
All Domains,0.7056096852300242,0.00022485620195120346,,,-0.06670156673176088,,0.5137464303351602,-0.2587860027555913,,
All Domains,0.6287535108958838,0.00029773010631150795,,,-0.09563378854174148,0.09217546219481702,,,,-0.14308298895345162
All Domains,0.648446004842615,0.0002429115420397096,,,-0.081601222473983,0.08397786903050598,,,-0.23704329007572547,
All Domains,0.63195205811138,0.0002845760439386042,,,-0.09202199775700502,0.09523937741816753,,-0.14349987796927302,,
All Domains,0.6942929782082324,0.00023007135619490987,,,-0.10203129262395909,0.031755649069156525,0.44689994058404353,,,
All Domains,0.6823472154963681,0.000244843124282763,0.40498372381441694,,,,,,-0.27321036775263946,0.04751445985863547
All Domains,0.6814290556900726,0.0002330972969114716,0.40477642006412307,,,,,-0.06561405032474615,,-0.11912712374794644
All Domains,0.6806387409200968,0.00024022383076552695,0.40820308167480274,,,,,0.03015693287468222,-0.2554582708809035,
All Domains,0.7373133171912833,0.0002270153960049591,0.41441209504551635,,,,0.4819063455290044,,,-0.20131138056120232
All Domains,0.7459690072639226,0.0002119007902324202,0.4062367031918335,,,,0.4997656433506395,,-0.3028252737693964,
All Domains,0.7347554479418886,0.00022637327916751737,0.392024648174306,,,,0.5109780272636062,-0.23623454132273355,,
All Domains,0.6860687651331719,0.00022849591070615976,0.4175036736730022,,,0.09726473857337707,,,,-0.1478731761025801
All Domains,0.6905181598062955,0.00023739579408709396,0.41139141880169483,,,0.08915393226797645,,,-0.23723133341346014,
All Domains,0.6850619854721549,0.00022754384704711127,0.40684799299093116,,,0.0988205640089506,,-0.12340914227645132,,
All Domains,0.7316077481840193,0.00022814785056579813,0.4215862879772575,,,0.039864108398106966,0.44897431184304454,,,
