Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.8205888619854721,0.0001901069390287598,0.16107579702271402,0.7408822162857456,-0.009449150721929245,0.00742691381659257,0.2400381527765683,-0.041853062774578856,-0.15599209533336855,-0.014620848490051594
All Domains,0.816708474576271,0.00018487105746566886,,0.7924912596324353,-0.02204857444955044,0.002819274483745793,0.22862015891268356,-0.056264549885048504,-0.15006537680601684,-0.010342137017382822
All Domains,0.7446169491525425,0.0002236739780516048,0.39673108120776923,,-0.026481707499949173,0.02736615784877626,0.5094039606853741,-0.08728143831497377,-0.2654698668564106,0.014664058829147453
All Domains,0.8202159806295399,0.0001970242273521866,0.16216653001647363,0.7411326821885791,,0.006437759308384713,0.24028428335467295,-0.04295298991547232,-0.15619245952415609,-0.014857456348136375
All Domains,0.8200092009685229,0.0001963234557036987,0.160676755434853,0.7411698291449375,-0.008508344783337866,,0.24113360831786743,-0.041637969120760815,-0.15723170133647982,-0.013854461294399644
All Domains,0.818560774818402,0.0001904971500793966,0.1405319957453337,0.8375164248197479,-0.014813221511756609,0.030167606664906123,,0.007145449695761902,-0.14154736719329306,-0.009751388802007299
All Domains,0.8209016949152542,0.000195448956153855,0.16450443557365202,0.7431020459279737,-0.012582407641053141,0.007008056163110006,0.232650233608536,,-0.174320031501221,-0.01690716612151191
All Domains,0.8206915254237288,0.00019404000657204082,0.15759184894494305,0.7539255896201468,-0.01129775363340992,0.016243023073616407,0.2339975020029483,-0.09203549070679676,,-0.10205891405949835
All Domains,0.8202750605326876,0.0001936201004774812,0.16067453056485,0.7405829106967061,-0.009683086956391562,0.0067754890218077735,0.2398010921275251,-0.04249227636013408,-0.16580850226954957,
All Domains,0.6827254237288136,0.0002249655170013223,0.4141441533841304,,,,,,,
All Domains,0.8157394673123488,0.00019156229168970743,,0.9008138581396394,,,,,,
All Domains,0.6113404358353511,0.00023682538286253708,,,-0.09878363571798812,,,,,
All Domains,0.6111123486682809,0.0002454116754953432,,,,0.0778477831152656,,,,
All Domains,0.6958193704600485,0.00023689279296891538,,,,,0.45216601106200033,,,
All Domains,0.6156736077481839,0.00037983864355321155,,,,,,-0.15035293199730107,,
All Domains,0.6407738498789347,0.0002661715951634266,,,,,,,-0.24821086427961403,
All Domains,0.6181394673123486,0.000394791306852186,,,,,,,,-0.14992786881717282
