Prediction,Accuracy,Error,Reliability,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.7307354997943233,0.00021139214787004534,0.317067297513042,0.03627208814537497,0.10024286251888594,0.4925170634756987,0.004782294780551249,-0.2632997186716126,0.08537789462431296
All Domains,0.7232048539695598,0.00020422323067209667,,0.008638979014852527,0.1148553146855667,0.5180215949282941,-0.011601758149732322,-0.24885593889588706,0.09934801976259132
All Domains,0.7317276840806253,0.0002066974208524412,0.3135507238801422,,0.10756694228637544,0.495024943395133,0.011252223279320586,-0.2612952921010688,0.08709205855535171
All Domains,0.7298416289592761,0.0002035912086986056,0.3232309741095391,0.05921714895968535,,0.5069977643723211,0.009381409278765294,-0.2777577195835423,0.0994052306372409
All Domains,0.6880863842040312,0.00021246236360059265,0.35763345298146004,0.061758135657775465,0.14784865562488028,,0.14254730206246263,-0.2733498546674897,0.10574021677165317
All Domains,0.7309350061703003,0.00020571191663407704,0.3169084844413591,0.03676249985360158,0.10033785948880276,0.4934452014938029,,-0.2610926745072595,0.08572322043517543
All Domains,0.7276923076923076,0.00020449878460400645,0.310035966235354,0.02997601068440239,0.11276488665463233,0.4926382933992954,-0.09276899578376897,,-0.05402168294397918
All Domains,0.7301192924722336,0.0002032092379782775,0.319616753695261,0.03855482687483517,0.10574969137252281,0.49504645302815864,0.010847546525528778,-0.20766745394957922,
All Domains,0.6865499794323324,0.0002128485227936774,0.35114727432579934,,,,,,
All Domains,0.642040312628548,0.0002152127933591173,,0.07614166573623503,,,,,
All Domains,0.6402871246400658,0.00021687042976600078,,,0.18283900397068262,,,,
All Domains,0.7179876593994241,0.0002087675554435086,,,,0.4997843889931033,,,
All Domains,0.641868778280543,0.0002151782832404155,,,,,0.0646542535186678,,
All Domains,0.6417215137803374,0.0002161717794984345,,,,,,-0.06134535193665905,
All Domains,0.6419600987248046,0.00021723502502047495,,,,,,,0.037494687275795954
Within Bail,0.7258831460674158,0.0005341898908259069,0.41316547726548875,-0.050660099988143796,0.1115325904796913,0.4734511891427346,-0.0014553468608944924,-0.224168504223741,0.07337587560995615
Within Bail,0.703658426966292,0.0005068822869205545,,-0.14684058481249765,0.12305351347716008,0.5126636662535873,-0.022753117839692135,-0.1990322004738754,0.1238870547541209
Within Bail,0.7287033707865169,0.0005197377435984011,0.42449048003741685,,0.10147627294253507,0.47098903980770773,-0.010879509284343131,-0.22609427833599843,0.0724591617881285
Within Bail,0.7208898876404494,0.0005065169994376289,0.4160190926845471,-0.027225112224816234,,0.5007448223904818,-0.014714095216243247,-0.22584646224864405,0.09777440205607102
Within Bail,0.7023550561797752,0.0005138455780002983,0.4521356999350372,-0.03950802523871931,0.20222512339781315,,0.12080771442217758,-0.2460972880582579,0.051700911764431944
Within Bail,0.7270044943820223,0.0005170427092950792,0.4132179274682695,-0.050798214877270015,0.11161468689937377,0.47319256229146167,,-0.2249182085661005,0.07325256213080193
Within Bail,0.7157078651685393,0.000501671176303648,0.4079175877450924,-0.05417707567995556,0.11189501801437834,0.4792527096170549,-0.08448340254008874,,-0.05429040777402443
Within Bail,0.724923595505618,0.0004941780941974703,0.41745229836896863,-0.05008073435322452,0.11814820574221409,0.47236455827079116,0.004229757780465545,-0.17781492398794238,
