Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.75364158004158,0.000206715583438547,,0.6820280506878532,,,,,,
All Domains,0.7056598752598752,0.00021027055771634197,,,0.08205512948254766,0.1148723058907362,0.47126741772414543,-0.110776360209811,-0.2224404635566494,0.05707443971555612
All Domains,0.7216810810810811,0.00020828175776688995,0.2655662461111302,,,0.1266016104434553,0.4435185667646751,-0.06776358267333883,-0.2009951789602343,0.04504862608404672
All Domains,0.7217230769230769,0.00021507214107380923,0.27607851842389886,,0.11982515009325415,,0.45124335345645566,-0.07870697263673009,-0.2216197855050221,0.05223168080938741
All Domains,0.6792690228690229,0.00022411772025296848,0.33572496642616034,,0.12995081277214593,0.15937605919866557,,0.02754576989628659,-0.1993820222392464,0.051718332303512964
All Domains,0.7218785862785863,0.0002077253550177093,0.27927871259230513,,0.09102981532744314,0.1077526809322502,0.4182689931346722,,-0.2444170120953635,0.03013580543477222
All Domains,0.7119326403326404,0.00023039238613832883,0.2797781273930481,,0.09409031190812389,0.12148967736269112,0.4314003416464065,-0.1613767180909264,,-0.07039310915244976
All Domains,0.7211293139293139,0.00022392006956458053,0.2754165783897723,,0.10135141665994064,0.1130079259769483,0.43525292390759013,-0.08233012913519124,-0.1838682027152529,
All Domains,0.7054440748440749,0.00020299310236601017,,,,0.12870082349614737,0.4770809534213384,-0.09544626024668014,-0.2159762115563123,0.06326169147503266
All Domains,0.7049696465696466,0.00021416950728423627,,,0.1037342765896351,,0.48944988142042845,-0.10337419080933583,-0.23870262467543782,0.07399914742400926
All Domains,0.6495151767151767,0.00023297772345835083,,,0.10795880100625548,0.1704984353905471,,0.007168970972947225,-0.21488039512298152,0.07718705128559218
All Domains,0.7033696465696465,0.00021254050916941878,,,0.07026605254196279,0.11112392635439587,0.45153717817831346,,-0.27273809857391407,0.04844033979472647
All Domains,0.7012216216216217,0.0002161491933496619,,,0.07410394281466297,0.12743038976574037,0.4685122793894829,-0.19423156901459643,,-0.05764936153813147
All Domains,0.7073268191268192,0.00021775981610177398,,,0.08451767394803111,0.11919230387458894,0.4731340128201737,-0.1066525853226901,-0.18711021432946257,
All Domains,0.7164074844074844,0.00021948868763912841,0.2672349187036285,,,,0.4655420511199536,-0.05534557098702019,-0.21695870837501285,0.06577376889178904
All Domains,0.6760652806652806,0.0002252988474214632,0.32571058764028654,,,0.1821874034339283,,0.05311572237533634,-0.1883526460167558,0.06161311029291848
All Domains,0.7212661122661123,0.00021059110469604674,0.2706873610786268,,,0.12317973307728713,0.42991100474173627,,-0.23164165436359463,0.038594742684022416
All Domains,0.7142316008316009,0.00022279437363974784,0.2716091364725529,,,0.13658614599709334,0.4396960530565925,-0.14304652061653741,,-0.05954311281147092
All Domains,0.7208241164241165,0.00020851333820015778,0.2677566205288181,,,0.13024570056742918,0.44492152991846684,-0.06373034412162161,-0.17309185790392267,
All Domains,0.6692457380457381,0.00021734231298612837,0.34378518547763537,,0.16174058146579542,,,0.044830398731617094,-0.22074492237414703,0.07425580681293531
All Domains,0.7209097713097713,0.0002163992164609718,0.28126155356734023,,0.11120244559356661,,0.4360401802802123,,-0.2560411772449035,0.04551065136527868
All Domains,0.7146212058212058,0.00022189094184994892,0.2834280383958977,,0.11599679245248903,,0.44996175666785926,-0.16004379803452998,,-0.06218035684812722
All Domains,0.7204087318087318,0.00020473074560248684,0.2790283048255284,,0.1231699378983703,,0.4532106736416877,-0.07453800695823098,-0.1893846866660245,
All Domains,0.6794594594594595,0.00022844661220177432,0.3344504119299918,,0.13324950598121427,0.16096362824411736,,,-0.1862961991767457,0.05417819385316704
All Domains,0.67853762993763,0.00022346560668917744,0.34096733955193753,,0.12211771804517771,0.16955441529653084,,-0.04622809026606065,,-0.05274015828902867
All Domains,0.6814810810810811,0.00021669232250183282,0.3385818986397733,,0.1322580002471148,0.16298997341214752,,0.03184896990538219,-0.16688073521466423,
All Domains,0.7086286902286901,0.00021119160680146848,0.2963885637332238,,0.07160839625115578,0.1198354795203568,0.393886261245012,,,-0.1284160537857207
All Domains,0.7216399168399168,0.00021017119547373433,0.28070325831483467,,0.09263040757175806,0.10997144332741617,0.4195845044142373,,-0.22474274549831805,
All Domains,0.7113214137214137,0.0002078585887305973,0.27629014085333903,,0.08689310830200837,0.11768834018196085,0.427937495012574,-0.19217338397824485,,
All Domains,0.7016399168399169,0.00020485402085054392,,,,,0.4993407299190736,-0.08173530835340544,-0.23273048359098808,0.085318270408495
All Domains,0.6486898128898129,0.00023290278019605061,,,,0.18857691498511323,,0.029927943647187545,-0.20490545485377,0.0851543066691811
All Domains,0.7023683991683991,0.00021789695546223285,,,,0.12352535785769284,0.4589194285149347,,-0.2607443489191183,0.05457051567437204
