Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.7685496881496883,0.000189859884221481,0.006838341744830522,0.5521447364994915,0.04304796223420544,0.08143058891173702,0.28609925584640905,-0.01564954454960925,-0.14809172729110875,0.013522511211535578
All Domains,0.768381288981289,0.00019482931971664244,,0.5555724211347112,0.04245060795908541,0.08131816157052321,0.2860337909669788,-0.015776069420573077,-0.14805611255267015,0.013758133639681784
All Domains,0.7214673596673596,0.00021367385729964726,0.2734834161642613,,0.09961827565749634,0.11041685098764427,0.4341968167952435,-0.08512974520648667,-0.20676881041381243,0.03698819511952055
All Domains,0.76847525987526,0.00019970638723091445,0.0005790165291946189,0.5594998113721927,,0.08810385917975838,0.28849255641038396,-0.007238367467459403,-0.1453416861094133,0.016855402378893835
All Domains,0.7692752598752598,0.00020083497879325272,0.004129083075622254,0.5606657000913244,0.05722392616970272,,0.29820064686202574,-0.010820620821074017,-0.15787918488102845,0.02392907245671251
All Domains,0.761064449064449,0.0001947214744014729,0.00024804805745330715,0.6520453418673647,0.05361464261348225,0.10951971564518242,,0.06175043669466915,-0.13006281906771935,0.020007854738196704
All Domains,0.768889812889813,0.0001958421906949084,0.007076393658036313,0.5539224377520872,0.04132387251676838,0.08092993270704874,0.2827915526065197,,-0.1546974765880624,0.012183644375008358
All Domains,0.7639596673596672,0.0001954463724783751,0.005983422346636602,0.5639100155819883,0.0384304956295211,0.08865532387980699,0.27985371790831126,-0.06964165132239247,,-0.06138312068726256
All Domains,0.7682511434511434,0.00019402559498991288,0.007259379478041572,0.5526836063989647,0.04365509280824999,0.08232260951306064,0.2863942371968993,-0.014488987416947464,-0.13986835567952222,
All Domains,0.6725451143451143,0.00021260562974491557,0.33751207855524673,,,,,,,
All Domains,0.7534656964656965,0.00020863717634780638,,0.6820280506878532,,,,,,
All Domains,0.6223259875259876,0.00021518070448567497,,,0.10857422150806113,,,,,
All Domains,0.6280740124740125,0.00023117560323691154,,,,0.18684929900900304,,,,
All Domains,0.6964856548856548,0.00021038009351757026,,,,,0.43103645407295094,,,
All Domains,0.6228295218295219,0.0002221048837007665,,,,,,-0.02675843016384823,,
All Domains,0.6228091476091476,0.0002278789699182799,,,,,,,-0.1092301019655448,
All Domains,0.6228993762993763,0.0002187617924335499,,,,,,,,-0.013164589185788689
Within Bail,0.7355897435897436,0.00048416730052711673,0.10385151258025897,0.5366982872862694,-0.08059007468410102,0.08781845564330552,0.2390097812093699,-0.10808495023524774,0.07092748430001623,-0.07071514517041642
Within Bail,0.7338717948717949,0.00048256419205859656,,0.5991406265690917,-0.08827713730570609,0.09219906655540165,0.2342348796846785,-0.10185647343920448,0.0668429881253366,-0.06194411218929185
Within Bail,0.6994149184149184,0.0005217421531661751,0.3974670051998108,,-0.027335408231933766,0.09167672450450833,0.4154242253518483,-0.16095567979416775,0.03125707907981785,-0.04408948976519965
Within Bail,0.7394498834498834,0.0004989523510743769,0.11340059301819388,0.5256013311443604,,0.06344776230031628,0.23100168651988887,-0.12635624895492414,0.07185330358526573,-0.08546942698172617
Within Bail,0.7367785547785547,0.0004773483684341048,0.11000945562265185,0.5382657195483085,-0.05347465438566878,,0.2552925556366246,-0.10854710364951704,0.06505209364744034,-0.062309350285022914
Within Bail,0.7369417249417249,0.0004809704074148786,0.09113564266519221,0.6354611941288573,-0.06452860450235158,0.11982255841036182,,-0.05437994367633734,0.07452603999114353,-0.06740557547615109
Within Bail,0.7381072261072262,0.0004847439221868648,0.09804550013892462,0.5465172407469764,-0.09544304441030002,0.08779839142240557,0.21953233362736366,,0.02422302509322097,-0.07081734555660495
Within Bail,0.7352284382284382,0.0005030376589307401,0.10169188005047815,0.5329952341523063,-0.08106586585462305,0.08551239255866867,0.23994353382269829,-0.08246795586161763,,-0.029198621509360385
Within Bail,0.7354592074592073,0.0004740666053014785,0.09880754534816687,0.5335576446751975,-0.0878608275633018,0.08397734828398272,0.23847211580778743,-0.10810420548206612,0.02409872183709889,
Within Bail,0.6636550116550117,0.0005256996726497129,0.49142770347075665,,,,,,,
Within Bail,0.7487925407925409,0.0004548755973751628,,0.6901673515281795,,,,,,
Within Bail,0.5013519813519814,0.0007891405539477774,,,0.04412265392322639,,,,,
Within Bail,0.569074592074592,0.0005508526748650998,,,,0.1860448680398294,,,,
Within Bail,0.6738694638694639,0.0005324290591817118,,,,,0.47766589185857034,,,
Within Bail,0.5043799533799533,0.0008939521138746553,,,,,,-0.036129085628669365,,
Within Bail,0.4998181818181818,0.000665138096894873,,,,,,,-0.026153221751585482,
Within Bail,0.4981072261072261,0.0007125706908773833,,,,,,,,0.03241918374931016
Within Unem,0.6961226851851852,0.000541102591983947,-0.04843000954247441,0.4674327307784762,0.07940402351427647,0.16728747448709097,0.14326225991783761,0.11621480760315053,-0.14448945467184282,-0.008192425602162946
Within Unem,0.6969675925925926,0.0005123689405348234,,0.44461427294688316,0.08472660820640428,0.17336482094527775,0.14255740037394032,0.11677614692853223,-0.14668201527948838,-0.010226651900152694
Within Unem,0.6272685185185185,0.0005609036290278746,0.15097866025507536,,0.0749716651534458,0.22392742902129828,0.23604605148829055,0.03877416948527565,-0.19495865441822932,0.016568940664394675
Within Unem,0.6923518518518519,0.0005332111678692476,-0.06044259369350008,0.46668486930022673,,0.1748638344208944,0.1427664725902339,0.1283020406649781,-0.12773689394403842,-0.003591536618734149
Within Unem,0.6943495370370371,0.0005087730561338907,-0.08429472247168944,0.5045994164912355,0.09873672246773203,,0.15331490055605101,0.10920676362557556,-0.17389460052139863,0.007617983601584148
Within Unem,0.6984398148148149,0.000528888973623217,-0.046899341535965346,0.4970053434528994,0.07757403797187534,0.17227771470420605,,0.16555161907384722,-0.13127750938734886,-0.006462510254661431
Within Unem,0.6921597222222222,0.0005272226699485705,-0.05002636716756094,0.45297820165140557,0.08933525290882768,0.1648055422322184,0.1738592429016838,,-0.10364621784462594,0.008321975882615528
Within Unem,0.6906481481481481,0.0005266402629543664,-0.053506301918977275,0.4782672731975897,0.06411137886709202,0.17673697881767467,0.13478652551289488,0.07130070686724554,,-0.07956279069933116
Within Unem,0.697537037037037,0.000509677771968913,-0.04872089466244842,0.46716536959421795,0.07914479311954092,0.16692782792400038,0.1431854789896359,0.11499567337806599,-0.14922643477030162,
Within Unem,0.5808726851851852,0.0006530100864362352,0.126482687317616,,,,,,,
Within Unem,0.6858749999999999,0.0004955056550787116,,0.4814006704981363,,,,,,
Within Unem,0.5328310185185184,0.0005151960666867011,,,0.045305544942977796,,,,,
Within Unem,0.609648148148148,0.0005200614189856593,,,,0.23492242689000695,,,,
Within Unem,0.5962083333333332,0.0005413344029049104,,,,,0.2207220174232506,,,
Within Unem,0.5370300925925926,0.0005565615881431179,,,,,,0.011837131665071388,,
Within Unem,0.5553171296296295,0.0007961505427669654,,,,,,,-0.10267612363108847,
Within Unem,0.5430856481481482,0.0007243304645178322,,,,,,,,-0.036962137615889464
Within CPS,0.7834370709382151,0.0004642327058203201,-0.034313016555062976,0.6145879918314999,0.061959547789266045,0.115142633385841,0.20899223943074016,-0.00915912498055383,-0.12006672688010527,-0.1143827309935509
Within CPS,0.7860594965675056,0.00048148654472935347,,0.5969236197611579,0.06584695162849348,0.11447634608929369,0.2128973824294562,-0.012677422819718174,-0.11956036536405719,-0.11728095773880758
Within CPS,0.7512448512585813,0.0004895813347854176,0.24966866101879306,,0.1267573658576286,0.1474853673759446,0.4145981249945564,-0.10123819136131225,-0.1684334948927739,-0.12901603247721655
Within CPS,0.7849450800915331,0.00047689572826418444,-0.04502692061815831,0.6263086811669971,,0.12461378389191531,0.21301049960587962,0.004404465725189113,-0.11736895879298116,-0.10801821315319306
Within CPS,0.7785675057208239,0.0004491645880395751,-0.031413567187190294,0.6245550821720133,0.08011819373439336,,0.24508006485626546,0.008494023354236423,-0.12440010483837274,-0.09490874320257218
Within CPS,0.7866910755148742,0.00046874073565713286,-0.0669377165562224,0.7135674363805145,0.07293836707456312,0.17037039893810252,,0.036965964897003045,-0.12524052117528156,-0.10400690462669031
Within CPS,0.7844805491990846,0.00048137189644436234,-0.03515592203340999,0.6161724903425123,0.06083182469962272,0.11438584891794797,0.20764018074416185,,-0.1243189038142901,-0.11430217777619939
Within CPS,0.782237986270023,0.0004601545165009747,-0.03312253394385429,0.6204034531459881,0.0593663818731212,0.11712676767543968,0.20945171040191227,-0.056999378372543534,,-0.1808845664616247
Within CPS,0.7862402745995423,0.00047066624864384505,-0.043299696611859624,0.6169018140083375,0.05507090922891318,0.103876892539232,0.20426896774415548,-0.007917777377031502,-0.19311151838749593,
Within CPS,0.6971533180778033,0.0005243329786296129,0.2710833233185428,,,,,,,
Within CPS,0.7833020594965675,0.0004516199110682979,,0.7511131187883433,,,,,,
Within CPS,0.6927528604118994,0.00048248583918292893,,,0.16400937252291445,,,,,
Within CPS,0.6903363844393593,0.0004484955636105974,,,,0.2559156560305648,,,,
Within CPS,0.7418443935926773,0.0005070728920873692,,,,,0.4498168278888393,,,
Within CPS,0.6954805491990848,0.000490649805285623,,,,,,-0.06136990685912019,,
Within CPS,0.6950594965675057,0.0004985480984782317,,,,,,,-0.16621541208929172,
Within CPS,0.6951212814645309,0.0004732968875731722,,,,,,,,-0.10990156206288565
Within Hos,0.790439393939394,0.000535431437782292,0.0070463658588765235,0.46893772471721346,0.05337050987121167,-0.04211982880908958,0.39113707277618126,0.08426737160310653,-0.3868242538910729,0.10909652791009283
Within Hos,0.7918606060606062,0.0005332504271853816,,0.47231965713657403,0.05291226165701842,-0.04187884142850412,0.3912161919484092,0.08394116281178857,-0.3872907102297861,0.1087298629681861
Within Hos,0.7670121212121213,0.0005560971887948163,0.24414412471522895,,0.07074906236187764,-0.04729799011827971,0.5115552419240418,0.011552919726402579,-0.41416251385094116,0.16688155915873748
Within Hos,0.7917121212121212,0.0005151129278834318,-0.00099466250861082,0.47441785021332367,,-0.030103986195811994,0.39907231389730624,0.09268361538134355,-0.38362047529045945,0.10686371689219094
Within Hos,0.7918969696969698,0.0005241429371499747,0.0028654549682577022,0.47072175156062407,0.04145685569182948,,0.38632367208015994,0.08146539920395955,-0.3815323718463098,0.09964099078601424
Within Hos,0.7809969696969697,0.0005256300312208893,0.019462199977352265,0.6355754853352921,0.1007868406939244,-0.016537550114413272,,0.1725811650128853,-0.35845474170709035,0.10417691374392951
Within Hos,0.7932878787878788,0.0005169654239661314,0.002050835771627886,0.45179294278192766,0.06069738873124652,-0.03973220304546582,0.4074244199700136,,-0.35388778630542744,0.12238504355169676
Within Hos,0.7807818181818181,0.0005272318628130856,0.037959771362860203,0.49357592452165583,0.045531887249076704,-0.01845210405395726,0.3751250113148989,-0.07592885904690345,,-0.05450053077849205
Within Hos,0.7899545454545455,0.0005284746766221996,-0.0011783109018791576,0.48857996775949064,0.050274577590996926,-0.02878051532295694,0.39050180270401097,0.10447672184693614,-0.3319902877561052,
Within Hos,0.7146030303030304,0.0005664736681885598,0.3992189955726512,,,,,,,
Within Hos,0.7724212121212122,0.0004960782710854668,,0.6722032757363006,,,,,,
Within Hos,0.6956909090909091,0.0005681561131079863,,,0.08016242583641751,,,,,
Within Hos,0.6954272727272728,0.0005639014328449822,,,,0.03373746284395699,,,,
Within Hos,0.7397999999999999,0.0005505573855926433,,,,,0.48485447586242014,,,
Within Hos,0.6956939393939393,0.0005732444718161793,,,,,,-0.06821661748281967,,
Within Hos,0.6886757575757576,0.0005570783900489814,,,,,,,-0.23769296496142084,
Within Hos,0.6945575757575757,0.0005590759004507818,,,,,,,,-0.028668131015499095
Within Loan,0.8404129930394431,0.0004024874649131249,-0.08444618023816848,0.663150143302053,-0.05144881197702368,0.019354058506889964,0.5044277087780876,-0.10794117797285921,-0.19622742799776316,0.026228895063141848
Within Loan,0.8407819025522042,0.00042126442200706045,,0.6311027012299005,-0.037086985640304736,0.020585486899463865,0.4972477105637969,-0.10764024734777672,-0.20288702812257225,0.02854832460229192
Within Loan,0.8044013921113689,0.00044340266372021054,0.21145227707428235,,0.07446572430764768,0.10455844299214283,0.66759707589086,-0.10377766955931148,-0.25676442457584553,-0.0029044108221912175
Within Loan,0.8409303944315545,0.00040461090173671743,-0.0695226552177929,0.649174728190206,,0.010292869297061958,0.5023070815773085,-0.11621549699377536,-0.19936999608004527,0.021493817274137322
Within Loan,0.8401392111368909,0.0004012775067532587,-0.08483837270155671,0.6673182459416247,-0.047821214833406615,,0.5086901257396332,-0.10789593787419494,-0.2002983759132978,0.029180575307832288
Within Loan,0.8321786542923434,0.0004273764795139999,-0.04188067305960777,0.815654713599065,-0.032419283333039645,0.10687820209926713,,0.02303526665266805,-0.2084681183900351,0.07631649980420403
Within Loan,0.8396890951276101,0.00041397598685701095,-0.08433383221661699,0.6633135855076202,-0.061799489099419715,0.0190929181965282,0.48105792264386454,,-0.2460354593306995,0.014572102668505997
Within Loan,0.8398677494199535,0.0004144673859678812,-0.09610402436768398,0.6753305808038751,-0.057475724502334354,0.035940106089956084,0.5082400762182742,-0.18000976105046523,,-0.06929754239287066
Within Loan,0.8400417633410673,0.0004139855671239564,-0.08519206066961756,0.6623476259066936,-0.05000551808927403,0.021588780633738668,0.5070183620157929,-0.1050722731500541,-0.17984689949886812,
Within Loan,0.7456403712296983,0.0005025667574920426,0.3694189604992202,,,,,,,
Within Loan,0.8350116009280742,0.00040458014240708757,,0.8361852290834191,,,,,,
Within Loan,0.7285823665893272,0.0004916907911827374,,,0.08902234164468101,,,,,
Within Loan,0.7418955916473318,0.0005763485687415924,,,,0.3151767402936923,,,,
Within Loan,0.7934129930394431,0.0004515927789946103,,,,,0.6679968860825474,,,
Within Loan,0.728830626450116,0.00048168989733275713,,,,,,-0.001631403165021718,,
Within Loan,0.7286426914153132,0.0004666713538448047,,,,,,,-0.16665225017442556,
Within Loan,0.7296403712296984,0.0004957005842585131,,,,,,,,-0.028769343489447194
Within Ins,0.7358757225433525,0.0005809869739359011,0.05008817508153382,0.5286987686244102,0.09170743430225926,0.11793212780619286,0.3941742450035315,-0.1413694574235636,-0.13291857009630179,0.11242981584289045
Within Ins,0.7362485549132948,0.000587799023073876,,0.5522832252889779,0.0852113173672478,0.12004314882945769,0.3929450511919601,-0.1461582564730328,-0.1317494279874941,0.1141426521860949
Within Ins,0.6932861271676299,0.0005915173165662277,0.2868937922424927,,0.1737320167485376,0.09745329377217411,0.5109416161960307,-0.1923428159914799,-0.19941313033917657,0.1470959819078923
Within Ins,0.7361358381502889,0.0005696034871021244,0.030218284209593414,0.5535443343441138,,0.13074551087643013,0.39297832709000313,-0.11727444533683803,-0.12912126979639751,0.10969280740252116
Within Ins,0.7422658959537574,0.0005663074650354449,0.06017948427312598,0.5193689673338102,0.11136437022610002,,0.3999331156641197,-0.13391940790824303,-0.1394810798015071,0.11450809258760768
Within Ins,0.7203439306358382,0.0005659593127988416,0.03581411577963188,0.637189154762104,0.08877288453146563,0.12336707684744176,,-0.02063725327082395,-0.0368335826120196,0.09109818476886754
Within Ins,0.7341329479768786,0.0005636796860649,0.06311557332583079,0.5392771827847728,0.06865776844491228,0.11250705536603971,0.3587163234904313,,-0.18308177817997903,0.09706189067967019
Within Ins,0.7422254335260116,0.0005634274564776014,0.047910610581544,0.5441090636295857,0.08897746875685768,0.12133495640665046,0.37108617756272727,-0.18478343576382308,,0.0533070927418897
Within Ins,0.7421618497109826,0.0005606391479141618,0.055166942396805835,0.5353601190742361,0.0899014771311219,0.11888457426847347,0.3908897654799289,-0.12793859633946636,-0.0726120408205486,
Within Ins,0.6214017341040462,0.0006039054212295175,0.3133832967582603,,,,,,,
Within Ins,0.7285317919075144,0.0005540513353480181,,0.6715914829411163,,,,,,
Within Ins,0.5984624277456647,0.0006785478232141472,,,0.1711758346411435,,,,,
Within Ins,0.5689017341040462,0.0006403902703940612,,,,0.1349822040643805,,,,
Within Ins,0.6579537572254335,0.0005680608269132244,,,,,0.41974481646965706,,,
Within Ins,0.5550317919075144,0.0006266701986564413,,,,,,0.005511590500216191,,
Within Ins,0.5528381502890174,0.0006915293327476672,,,,,,,0.002632365748007842,
Within Ins,0.5480751445086706,0.0006329017719957859,,,,,,,,0.09169899485561034
